#Classification	GQ41_bracken_F.kreport
k__Bacteria	22535418
k__Bacteria|p__Firmicutes	10778058
k__Bacteria|p__Firmicutes|c__Clostridia	10625348
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	10624702
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	5312162
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	5053077
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	127882
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae	109146
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Christensenellaceae	10369
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae	11031
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII._Incertae_Sedis	361
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiales_Family_XVII._Incertae_Sedis	46
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiales_Family_XVI._Incertae_Sedis	24
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae	205
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Vallitaleaceae	145
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Heliobacteriaceae	236
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Proteinivoraceae	5
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Thermohalobacteraceae	3
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Syntrophomonadaceae	3
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Desulfallaceae	1
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales	494
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacterales_Family_III._Incertae_Sedis	153
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacteraceae	262
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacterales_Family_IV._Incertae_Sedis	72
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Zhaonellaceae	5
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermodesulfobiaceae	1
k__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales	144
k__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales|f__Halanaerobiaceae	100
k__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales|f__Halobacteroidaceae	44
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermosediminibacterales	7
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermosediminibacterales|f__Tepidanaerobacteraceae	6
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermosediminibacterales|f__Thermosediminibacteraceae	1
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	74200
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	74200
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	73746
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Turicibacteraceae	453
k__Bacteria|p__Firmicutes|c__Bacilli	63767
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	55058
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	37214
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	7809
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	9058
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	932
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae	43
