run_accession	library_name	library_strategy	run_alias	fastq_ftp	sample_alias	sample_title
SRR11659624	Kal1-57	WGS	FS-57_S10_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/024/SRR11659624/SRR11659624_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/024/SRR11659624/SRR11659624_2.fastq.gz	Kal1-57	Metagenome or environmental sample from plant metagenome
SRR11659626	Kal1-54	WGS	FS-54_S8_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/026/SRR11659626/SRR11659626_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/026/SRR11659626/SRR11659626_2.fastq.gz	Kal1-54	Metagenome or environmental sample from plant metagenome
SRR11659631	Kal2-89	WGS	P1-FS-89_R1_clipped.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/031/SRR11659631/SRR11659631_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/031/SRR11659631/SRR11659631_2.fastq.gz	Kal2-89	Metagenome or environmental sample from plant metagenome
SRR11659633	Kal2-57	WGS	P1-FS-57_R1_clipped.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/033/SRR11659633/SRR11659633_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/033/SRR11659633/SRR11659633_2.fastq.gz	Kal2-57	Metagenome or environmental sample from plant metagenome
SRR11659635	FS1-10	WGS	FS-10_S3_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/035/SRR11659635/SRR11659635_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/035/SRR11659635/SRR11659635_2.fastq.gz	FS1-10	Metagenome or environmental sample from plant metagenome
SRR11659637	Kal2-53	WGS	P1-FS-53_R1_clipped.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/037/SRR11659637/SRR11659637_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/037/SRR11659637/SRR11659637_2.fastq.gz	Kal2-53	Metagenome or environmental sample from plant metagenome
SRR11659639	FS2-43	WGS	P1-FS-43_R1_clipped.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/039/SRR11659639/SRR11659639_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/039/SRR11659639/SRR11659639_2.fastq.gz	FS2-43	Metagenome or environmental sample from plant metagenome
SRR11659642	FS2-3	WGS	P1-FS-3_R1_clipped.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/042/SRR11659642/SRR11659642_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/042/SRR11659642/SRR11659642_2.fastq.gz	FS2-3	Metagenome or environmental sample from plant metagenome
SRR11659644	Kal1-89	WGS	FS-89_S12_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/044/SRR11659644/SRR11659644_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/044/SRR11659644/SRR11659644_2.fastq.gz	Kal1-89	Metagenome or environmental sample from plant metagenome
SRR11659647	FS1-1	WGS	FS-1_S1_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/047/SRR11659647/SRR11659647_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/047/SRR11659647/SRR11659647_2.fastq.gz	FS1-1	Metagenome or environmental sample from plant metagenome
SRR11748411	Kal1-65	AMPLICON	FS-65_S11_R1.fastq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/011/SRR11748411/SRR11748411_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/011/SRR11748411/SRR11748411_2.fastq.gz	Kal1-65_16S	Metagenome or environmental sample from plant metagenome
SRR11748415	Kal1-55	AMPLICON	FS-55_S9_R1.fastq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/015/SRR11748415/SRR11748415_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/015/SRR11748415/SRR11748415_2.fastq.gz	Kal1-55_16S	Metagenome or environmental sample from plant metagenome
SRR11748416	Kal1-54	AMPLICON	FS-54_S8_R1.fastq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/016/SRR11748416/SRR11748416_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/016/SRR11748416/SRR11748416_2.fastq.gz	Kal1-54_16S	Metagenome or environmental sample from plant metagenome
SRR11748420	FS1-18	AMPLICON	FS-18_S4_R1.fastq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/020/SRR11748420/SRR11748420_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/020/SRR11748420/SRR11748420_2.fastq.gz	FS1-18_16S	Metagenome or environmental sample from plant metagenome
SRR11748427	Kal2-53	AMPLICON	P1-FS-53_R1.fastq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/027/SRR11748427/SRR11748427_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/027/SRR11748427/SRR11748427_2.fastq.gz	Kal2-53_16S	Metagenome or environmental sample from plant metagenome
SRR11748428	FS2-45	AMPLICON	P1-FS-45_R1.fastq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/028/SRR11748428/SRR11748428_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/028/SRR11748428/SRR11748428_2.fastq.gz	FS2-45_16S	Metagenome or environmental sample from plant metagenome
