feature	Akkermansia.muciniphila	Alistipes.putredinis	Anaerostipes.hadrus	Bacteroides.caccae	Bacteroides.ovatus	Bacteroides.stercoris	Bacteroides.uniformis	Bacteroides.vulgatus	Bifidobacterium.adolescentis	Bifidobacterium.bifidum	Bifidobacterium.longum	Blautia.obeum	Blautia.wexlerae	Collinsella.aerofaciens	Coprococcus.comes	Coprococcus.eutactus	Dorea.formicigenerans	Dorea.longicatena	Eubacterium.eligens	Eubacterium.hallii	Eubacterium.rectale	Eubacterium.sp.CAG.180	Eubacterium.sp.CAG.251	Eubacterium.ventriosum	Faecalibacterium.prausnitzii	Fusicatenibacter.saccharivorans	Gemmiger.formicilis	Lactobacillus.ruminis	Oscillibacter.sp.CAG.241	Parabacteroides.merdae	Prevotella.copri	Roseburia.faecis	Roseburia.intestinalis	Roseburia.inulinivorans	Ruminococcus.bicirculans	Ruminococcus.bromii	Ruminococcus.gnavus	Ruminococcus.torques	Streptococcus.salivarius
NS28	0.0645161290322581	0	0.032258064516129	0	0	0	0.032258064516129	0	0.0967741935483871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.193548387096774	0	0	0	0	0	0.548387096774194	0	0	0.032258064516129	0	0	0	0	0
NS38	0.172413793103448	0	0.0689655172413793	0.103448275862069	0	0	0.0344827586206897	0.0344827586206897	0.241379310344828	0.137931034482759	0.137931034482759	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0344827586206897	0	0	0	0	0.0344827586206897	0	0	0	0	0	0	0	0	0
NS46	0	0	0	0	0	0.0909090909090909	0.0606060606060606	0	0.151515151515152	0	0	0	0	0	0	0.121212121212121	0.0303030303030303	0.0303030303030303	0	0.0303030303030303	0.151515151515152	0.0909090909090909	0.0606060606060606	0	0	0	0	0	0	0	0	0.0909090909090909	0	0	0	0.0909090909090909	0	0	0
NS62	0.0344827586206897	0	0.0344827586206897	0	0	0	0	0	0	0	0	0.137931034482759	0	0	0.103448275862069	0.137931034482759	0	0.0689655172413793	0	0.0344827586206897	0.137931034482759	0	0	0	0	0.0689655172413793	0	0	0	0	0	0	0.0344827586206897	0	0.0344827586206897	0.137931034482759	0.0344827586206897	0	0
NS71	0.0625	0	0.15625	0.03125	0	0	0	0	0	0.125	0.21875	0.0625	0	0.0625	0	0	0	0	0	0.03125	0	0.03125	0	0	0	0	0	0	0.0625	0	0	0	0	0	0	0.125	0	0.03125	0
NS83	0.037037037037037	0	0	0	0	0	0	0	0.037037037037037	0.037037037037037	0.037037037037037	0.037037037037037	0	0.037037037037037	0.037037037037037	0	0.111111111111111	0	0.0740740740740741	0.037037037037037	0	0	0	0	0.259259259259259	0.0740740740740741	0	0.037037037037037	0.037037037037037	0	0	0	0	0.037037037037037	0	0	0	0.037037037037037	0.037037037037037
NS9	0	0.0333333333333333	0.0666666666666667	0	0	0	0.0666666666666667	0.1	0	0	0	0.0333333333333333	0	0.0333333333333333	0	0	0	0.0333333333333333	0	0	0	0.166666666666667	0	0	0.1	0.133333333333333	0	0	0	0	0	0.1	0	0	0.0333333333333333	0.0666666666666667	0	0.0333333333333333	0
NS70	0	0	0.03125	0	0	0	0	0	0	0.0625	0.03125	0.09375	0	0.03125	0.0625	0	0	0	0	0	0.21875	0.09375	0	0	0.125	0	0.03125	0	0	0	0.15625	0	0	0	0.0625	0	0	0	0
NS72	0	0	0.0294117647058824	0	0	0	0	0	0.205882352941176	0.147058823529412	0	0	0.0294117647058824	0.0882352941176471	0	0	0.0294117647058824	0.0588235294117647	0	0.0294117647058824	0	0	0	0	0.0294117647058824	0.0882352941176471	0	0.264705882352941	0	0	0	0	0	0	0	0	0	0	0
NS58	0	0	0.151515151515152	0	0	0	0	0	0	0	0.0303030303030303	0.0606060606060606	0.0606060606060606	0.0303030303030303	0	0	0.0303030303030303	0	0	0	0.272727272727273	0	0	0	0	0.181818181818182	0	0	0	0	0	0	0.121212121212121	0	0	0	0	0.0606060606060606	0
