#Classification	W-1-POLJUN-G_bracken_O.kreport
k__Bacteria	47797
k__Bacteria|p__Proteobacteria	30587
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	29008
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	21907
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	7091
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	9
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	1
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	970
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	713
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	161
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	20
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	1
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	73
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	607
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	607
k__Bacteria|p__Actinobacteria	13937
k__Bacteria|p__Actinobacteria|c__Actinomycetia	13937
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	13599
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	236
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	7
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	93
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	1
k__Bacteria|p__Firmicutes	1
k__Bacteria|p__Firmicutes|c__Bacilli	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	1
k__Bacteria|p__Acidobacteria	2362
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	2362
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	2362
k__Bacteria|p__Bacteroidetes	910
k__Bacteria|p__Bacteroidetes|c__Cytophagia	827
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales	827
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	82
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	82
k__Eukaryota	1433
k__Eukaryota|k__Viridiplantae	1270
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1270
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	1185
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida|o__Funariales	1185
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	84
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Rosales	49
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fagales	2
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Lamiales	17
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Solanales	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Apiales	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Proteales	13
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales	1
k__Eukaryota|k__Metazoa	162
k__Eukaryota|k__Metazoa|p__Chordata	162
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	162
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	162
