name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Pseudomonas_E fluorescens	138296	S	67841	3465482	3533323	0.13095
Pseudomonas_E khazarica	138405	S	13	2948	2961	0.00011
Stutzerimonas nitrititolerans	139007	S	8	840	848	0.00003
Chromobacterium violaceum	129815	S	105217	2487626	2592843	0.09609
Advenella sp023423975	126402	S	3	130	133	0.00000
Caballeronia mineralivorans	126753	S	1	7	8	0.00000
Escherichia coli_F	133042	S	220	86345	86565	0.00321
Escherichia coli	133040	S	77	37629	37706	0.00140
Escherichia fergusonii	133043	S	31	10227	10258	0.00038
Escherichia sp002965065	133046	S	26	3992	4018	0.00015
Escherichia ruysiae	133045	S	4	756	760	0.00003
Escherichia sp004211955	133047	S	4	698	702	0.00003
Citrobacter_A sp019415335	132912	S	44	17365	17409	0.00065
Xenorhabdus szentirmaii	133570	S	23	742	765	0.00003
Morganella morganii_E	133235	S	1	143	144	0.00001
Serratia_F sp024793895	133474	S	1	49	50	0.00000
Pseudoalteromonas tetraodonis	132716	S	2910	517292	520202	0.01928
Pseudoalteromonas undina	132720	S	386	32159	32545	0.00121
Pseudoalteromonas atlantica	132614	S	156	16623	16779	0.00062
Pseudoalteromonas arctica	132612	S	139	18881	19020	0.00070
Pseudoalteromonas prydzensis	132656	S	114	2336	2450	0.00009
Pseudoalteromonas distincta	132622	S	111	9713	9824	0.00036
Pseudoalteromonas nigrifaciens	132646	S	108	26495	26603	0.00099
Pseudoalteromonas sp001974855	132679	S	102	14039	14141	0.00052
Pseudoalteromonas sp002165575	132681	S	63	2184	2247	0.00008
Pseudoalteromonas sp018100905	132701	S	58	432	490	0.00002
Pseudoalteromonas shioyasakiensis_A	132668	S	28	10944	10972	0.00041
Pseudoalteromonas sp018402495	132703	S	15	558	573	0.00002
Pseudoalteromonas rhizosphaerae	132658	S	12	1186	1198	0.00004
Pseudoalteromonas fuliginea	132624	S	11	311	322	0.00001
Pseudoalteromonas prydzensis_A	132657	S	11	759	770	0.00003
Pseudoalteromonas sp030408135	132712	S	6	946	952	0.00004
Pseudoalteromonas sp011378855	132698	S	3	146	149	0.00001
Pseudoalteromonas arctica_A	132613	S	2	36	38	0.00000
Pseudoalteromonas marina	132644	S	2	173	175	0.00001
Alteromonas hispanica	132319	S	10	108	118	0.00000
Alteromonas sp000753865	132339	S	8	69	77	0.00000
Catenovulum sp025515275	132390	S	6	73	79	0.00000
Thiomargarita nelsonii_A	126254	S	1021	1748	2769	0.00010
Methylobacterium organophilum	118273	S	16	32	48	0.00000
Sinorhizobium sp004827385	120160	S	13	16	29	0.00000
Falsirhodobacter sp028307215	121249	S	5	8	13	0.00000
Wolbachia sp020278625	123283	S	1	12	13	0.00000
Bacillus subtilis	53512	S	18008	1610790	1628798	0.06036
Halobacillus halophilus	54564	S	111072	2202262	2313334	0.08573
Staphylococcus epidermidis	57090	S	88918	10690992	10779910	0.39950
Staphylococcus argenteus	57068	S	5	300	305	0.00001
Staphylococcus lugdunensis	57102	S	2	15	17	0.00000
Staphylococcus capitis	57076	S	2	45	47	0.00000
Gemella sp900766305	56999	S	34	1827	1861	0.00007
Enterococcus faecalis	55088	S	67139	3413956	3481095	0.12901
Enterococcus_I avicola	55181	S	8	1143	1151	0.00004
Enterococcus_F lowellii	55172	S	1	3	4	0.00000
Streptococcus sp934196125	56355	S	4	20	24	0.00000
Ligilactobacillus excrementavium	55564	S	2	6	8	0.00000
Metasolibacillus sp002360295	53773	S	71	1284	1355	0.00005
Alkalicoccobacillus porphyridii	54667	S	17	332	349	0.00001
Micrococcus luteus	45158	S	22330	1261277	1283607	0.04757
Brevibacterium sp943914815	42992	S	9	465	474	0.00002
UBA3913 sp002391425	44759	S	1	2	3	0.00000
Gulosibacter sp916618895	43935	S	1	4	5	0.00000
Streptomyces mutabilis	49283	S	460	13018	13478	0.00050
Actinacidiphila cocklensis	48792	S	1	4	5	0.00000
Nocardioides sp000192415	48193	S	5	33	38	0.00000
Nocardioides malaquae	48159	S	4	36	40	0.00000
Nocardia noduli	46933	S	4	6	10	0.00000
Rhodococcus sp006543605	47064	S	3	24	27	0.00000
Lawsonella clevelandensis_A	46365	S	2	9	11	0.00000
JAEWCC01 sp023459495	58946	S	349	9950	10299	0.00038
Anaerococcus sp943913325	71394	S	175	5417	5592	0.00021
SZUA-378 sp023398375	63219	S	27	1109	1136	0.00004
Alistipes_A sp949296995	81243	S	101	644	745	0.00003
Bacteroides sp959606905	77084	S	54	10944	10998	0.00041
Flavobacterium psychrophilum_B	86681	S	48	1747	1795	0.00007
Flavobacterium paronense	86659	S	22	352	374	0.00001
Nanosynbacter sp029975625	110289	S	46	44842	44888	0.00166
CR04bin15 sp004357015	103488	S	41	1186	1227	0.00005
Corallococcus interemptor	104346	S	3	9	12	0.00000
Myxococcus fallax	104398	S	2	2	4	0.00000
Coprosoma sp944358725	75193	S	2	20	22	0.00000
Desulforapulum sp024225635	99519	S	1	9	10	0.00000
Haloferax volcanii	34206	S	30958	418092	449050	0.01664
