#Classification	S-19-POLJUN-B_bracken_G.kreport
k__Bacteria	115495
k__Bacteria|p__Cyanobacteria	36974
k__Bacteria|p__Cyanobacteria|o__Nostocales	36875
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Nostocaceae	34671
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Nostocaceae|g__Nostoc	34637
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Nostocaceae|g__Cylindrospermum	34
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Rivulariaceae	839
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Rivulariaceae|g__Microchaete	839
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Scytonemataceae	620
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Scytonemataceae|g__Scytonema	593
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Scytonemataceae|g__Brasilonema	27
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Calotrichaceae	597
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Calotrichaceae|g__Calothrix	597
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Aphanizomenonaceae	139
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Aphanizomenonaceae|g__Anabaenopsis	139
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Hapalosiphonaceae	8
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Hapalosiphonaceae|g__Fischerella	8
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales	99
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales|f__Coleofasciculaceae	99
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales|f__Coleofasciculaceae|g__Allocoleopsis	99
k__Bacteria|p__Firmicutes	7443
k__Bacteria|p__Firmicutes|c__Bacilli	7443
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	4056
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	4056
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	4056
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	3386
