#Classification	S-8-POLCOM-G_bracken_F.kreport
k__Bacteria	61164
k__Bacteria|p__Proteobacteria	56443
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	26380
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	23850
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	23850
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2375
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae	2334
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae	1
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	40
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	151
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae	147
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae	4
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	2
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Legionellaceae	2
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	1
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae	1
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	23279
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	23279
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	9115
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae	13346
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae	818
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	6783
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	3451
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae	1739
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae	1335
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Bradyrhizobiaceae	256
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Phyllobacteriaceae	42
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Lichenihabitantaceae	44
