#Classification	GQ49_bracken_O.kreport
k__Bacteria	24798619
k__Bacteria|p__Bacteroidetes	14114488
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	14110728
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	14110716
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Marinilabiliales	12
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	3164
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	3164
k__Bacteria|p__Bacteroidetes|c__Cytophagia	315
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales	315
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	108
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	108
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	34
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales	34
k__Bacteria|p__Bacteroidetes|o__Bacteroidetes_Order_II._Incertae_sedis	133
k__Bacteria|p__Bacteroidetes|c__Saprospiria	3
k__Bacteria|p__Bacteroidetes|c__Saprospiria|o__Saprospirales	3
k__Bacteria|p__Chlorobi	41
k__Bacteria|p__Chlorobi|c__Chlorobia	41
k__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales	41
k__Bacteria|p__Ignavibacteriae	9
k__Bacteria|p__Ignavibacteriae|c__Ignavibacteria	9
k__Bacteria|p__Ignavibacteriae|c__Ignavibacteria|o__Ignavibacteriales	9
k__Bacteria|p__Rhodothermaeota	5
k__Bacteria|p__Rhodothermaeota|c__Rhodothermia	5
k__Bacteria|p__Rhodothermaeota|c__Rhodothermia|o__Rhodothermales	5
k__Bacteria|p__Gemmatimonadetes	17
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes	17
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales	17
k__Bacteria|p__Fibrobacteres	8
k__Bacteria|p__Fibrobacteres|c__Fibrobacteria	8
k__Bacteria|p__Fibrobacteres|c__Fibrobacteria|o__Fibrobacterales	8
k__Bacteria|p__Firmicutes	8376726
k__Bacteria|p__Firmicutes|c__Clostridia	6206043
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	6205376
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales	596
k__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales	55
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermosediminibacterales	11
k__Bacteria|p__Firmicutes|c__Clostridia|o__Natranaerobiales	3
k__Bacteria|p__Firmicutes|c__Negativicutes	1551080
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	1040422
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	508916
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	1742
k__Bacteria|p__Firmicutes|c__Bacilli	362383
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	343304
