#Classification	S-27-POLPIL-G_bracken_C.kreport
k__Bacteria	94148
k__Bacteria|p__Proteobacteria	84298
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	51242
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	19889
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1822
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	17
k__Bacteria|p__Proteobacteria|c__Oligoflexia	11326
k__Bacteria|p__Actinobacteria	7728
k__Bacteria|p__Actinobacteria|c__Actinomycetia	7727
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	1
k__Bacteria|p__Acidobacteria	1588
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	1588
k__Bacteria|p__Bacteroidetes	469
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	177
k__Bacteria|p__Bacteroidetes|c__Cytophagia	14
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	2
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	275
k__Bacteria|p__Planctomycetes	60
k__Bacteria|p__Planctomycetes|c__Planctomycetia	57
k__Bacteria|p__Planctomycetes|c__Phycisphaerae	2
k__Bacteria|p__Chlamydiae	2
k__Bacteria|p__Chlamydiae|c__Chlamydiia	2
k__Bacteria|p__Verrucomicrobia	1
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	1
k__Eukaryota	54201
k__Eukaryota|k__Viridiplantae	51301
k__Eukaryota|k__Viridiplantae|p__Streptophyta	51301
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	47935
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	3366
k__Eukaryota|k__Metazoa	2649
k__Eukaryota|k__Metazoa|p__Chordata	2649
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	2649
k__Eukaryota|k__Fungi	250
k__Eukaryota|k__Fungi|p__Ascomycota	193
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	46
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	7
k__Eukaryota|k__Fungi|p__Ascomycota|c__Dothideomycetes	25
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	113
k__Eukaryota|k__Fungi|p__Basidiomycota	57
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes	42
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes	15
