run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	library_strategy	run_alias	fastq_ftp	submitted_ftp	sra_ftp	sample_alias	sample_title
SRR15540841	SAMN05590489	SRX11839010	PRJNA328258	408170	human gut metagenome	WGS	25_021_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/041/SRR15540841/SRR15540841_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/041/SRR15540841/SRR15540841_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR155/041/SRR15540841	25	NS25
SRR15540843	SAMN05590479	SRX11839008	PRJNA328258	408170	human gut metagenome	WGS	14_011_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/043/SRR15540843/SRR15540843_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/043/SRR15540843/SRR15540843_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR155/043/SRR15540843	15	NS15
SRR15540845	SAMN05590476	SRX11839006	PRJNA328258	408170	human gut metagenome	WGS	11_016_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/045/SRR15540845/SRR15540845_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/045/SRR15540845/SRR15540845_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR155/045/SRR15540845	11	NS11
SRR15540847	SAMN05590546	SRX11839004	PRJNA328258	408170	human gut metagenome	WGS	86_001_001_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/047/SRR15540847/SRR15540847_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/047/SRR15540847/SRR15540847_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR155/047/SRR15540847	86	NS86
SRR15540849	SAMN05590541	SRX11839002	PRJNA328258	408170	human gut metagenome	WGS	81_001_001_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/049/SRR15540849/SRR15540849_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/049/SRR15540849/SRR15540849_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR155/049/SRR15540849	81	NS81
SRR15540853	SAMN05590474	SRX11838998	PRJNA328258	408170	human gut metagenome	WGS	9_009_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/053/SRR15540853/SRR15540853_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/053/SRR15540853/SRR15540853_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR155/053/SRR15540853	9	NS9
SRR15540859	SAMN05590519	SRX11838992	PRJNA328258	408170	human gut metagenome	WGS	58_014_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/059/SRR15540859/SRR15540859_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/059/SRR15540859/SRR15540859_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR155/059/SRR15540859	58	NS58
SRR15540860	SAMN05590517	SRX11838991	PRJNA328258	408170	human gut metagenome	WGS	55_012_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/060/SRR15540860/SRR15540860_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/060/SRR15540860/SRR15540860_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR155/060/SRR15540860	55	NS55
SRR15540867	SAMN05590502	SRX11838984	PRJNA328258	408170	human gut metagenome	WGS	38_004_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/067/SRR15540867/SRR15540867_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/067/SRR15540867/SRR15540867_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR155/067/SRR15540867	38	NS38
SRR15540873	SAMN05590492	SRX11838978	PRJNA328258	408170	human gut metagenome	WGS	28_023_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/073/SRR15540873/SRR15540873_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/073/SRR15540873/SRR15540873_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR155/073/SRR15540873	28	NS28
