#Classification	S-6-DICUND-B_bracken_F.kreport
k__Bacteria	713674
k__Bacteria|p__Actinobacteria	331783
k__Bacteria|p__Actinobacteria|c__Actinomycetia	305814
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	238577
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales|f__Streptomycetaceae	238577
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	22643
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Mycobacteriaceae	17425
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Nocardiaceae	2744
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Gordoniaceae	564
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae	1719
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Tsukamurellaceae	190
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Dietziaceae	1
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	10625
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales|f__Pseudonocardiaceae	10625
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales	8562
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales|f__Thermomonosporaceae	4387
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales|f__Streptosporangiaceae	3663
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales|f__Nocardiopsaceae	512
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	7454
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae	1755
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae	2616
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Cellulomonadaceae	736
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Intrasporangiaceae	755
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Dermabacteraceae	74
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Ornithinimicrobiaceae	172
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Ruaniaceae	54
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Brevibacteriaceae	402
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Dermacoccaceae	108
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Promicromonosporaceae	215
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Sanguibacteraceae	106
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Beutenbergiaceae	335
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Bogoriellaceae	55
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Dermatophilaceae	12
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Kytococcaceae	51
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	6463
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Nocardioidaceae	3703
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae	1901
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Actinopolymorphaceae	469
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Kribbellaceae	389
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	4185
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales|f__Micromonosporaceae	4185
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Frankiales	3152
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Frankiales|f__Frankiaceae	3152
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales	1364
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales|f__Catenulisporaceae	1364
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Geodermatophilales	748
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Geodermatophilales|f__Geodermatophilaceae	748
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	517
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales|f__Nakamurellaceae	517
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	497
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae	497
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	411
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	411
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jatrophihabitantales	301
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jatrophihabitantales|f__Jatrophihabitantaceae	301
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jiangellales	184
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jiangellales|f__Jiangellaceae	184
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Kineosporiales	43
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Kineosporiales|f__Kineosporiaceae	43
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Acidothermales	37
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Acidothermales|f__Acidothermaceae	37
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Glycomycetales	25
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Glycomycetales|f__Glycomycetaceae	25
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Candidatus_Nanopelagicales	16
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Candidatus_Nanopelagicales|f__Candidatus_Nanopelagicaceae	16
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	19788
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales	19330
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales|f__Conexibacteraceae	19330
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Miltoncostaeales	458
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Miltoncostaeales|f__Miltoncostaeaceae	458
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	5024
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales	5024
