#Classification	S-8-POLJUN-B_bracken_O.kreport
k__Bacteria	68046
k__Bacteria|p__Proteobacteria	57909
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	29383
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	24352
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	4240
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	771
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	12
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	7
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	23742
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	23742
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	4773
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	1188
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	320
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	3263
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	1
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	9
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	9
k__Bacteria|p__Actinobacteria	6517
k__Bacteria|p__Actinobacteria|c__Actinomycetia	6517
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	1735
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	85
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	677
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	2986
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	256
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	631
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	6
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	1
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Frankiales	108
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jatrophihabitantales	27
k__Bacteria|p__Cyanobacteria	1331
k__Bacteria|p__Cyanobacteria|o__Nostocales	1330
k__Bacteria|p__Cyanobacteria|o__Synechococcales	1
k__Bacteria|p__Firmicutes	1
k__Bacteria|p__Firmicutes|c__Bacilli	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	1
k__Bacteria|p__Bacteroidetes	1500
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	936
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	936
k__Bacteria|p__Bacteroidetes|c__Cytophagia	559
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales	559
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	3
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales	3
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	1
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	1
k__Bacteria|p__Gemmatimonadetes	1
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes	1
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales	1
k__Bacteria|p__Acidobacteria	671
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	671
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	671
k__Bacteria|p__Planctomycetes	113
k__Bacteria|p__Planctomycetes|c__Planctomycetia	113
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Gemmatales	112
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Isosphaerales	1
k__Bacteria|p__Verrucomicrobia	1
k__Bacteria|p__Verrucomicrobia|c__Opitutae	1
k__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Opitutales	1
k__Eukaryota	678
k__Eukaryota|k__Metazoa	452
k__Eukaryota|k__Metazoa|p__Chordata	452
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	452
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	452
k__Eukaryota|k__Fungi	105
k__Eukaryota|k__Fungi|p__Ascomycota	100
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	97
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales	95
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales	2
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	3
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales	3
k__Eukaryota|k__Fungi|p__Basidiomycota	4
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Ustilaginomycetes	4
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Ustilaginomycetes|o__Ustilaginales	4
k__Eukaryota|k__Viridiplantae	119
k__Eukaryota|k__Viridiplantae|p__Streptophyta	119
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	106
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida|o__Funariales	106
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	12
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Lamiales	8
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Caryophyllales	2
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fagales	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Proteales	1
k__Eukaryota|p__Euglenozoa	2
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea	2
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea|o__Trypanosomatida	2
