feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
KLE1615.sp900066985	NAFLD	Negative	-0.0481682272323635	0.00861229759998983	35	28	3.20345079824756e-06	0.00208544646965916
KLE1615.sp934292725	NAFLD	Negative	-0.0210335789245069	0.00393660254521416	35	26	6.70243975995467e-06	0.00209718839965686
Roseburia.sp900753715	NAFLD	Negative	-0.0153598331723593	0.0029429664182899	35	23	9.66446267122977e-06	0.00209718839965686
Fusicatenibacter.saccharivorans	NAFLD	Negative	-0.0971652021256293	0.0197202894745786	35	35	2.28583248985592e-05	0.00372019237724052
Lawsonibacter.sp900754605	NAFLD	Negative	0.015232455759471	0.00320915098608189	35	26	3.88510455622861e-05	0.00505840613220965
Fusicatenibacter.sp900772675	NAFLD	Negative	-0.0206889344864095	0.00442305281378658	35	31	4.75570589997053e-05	0.00515994090146802
Dysosmobacter.welbionis	NAFLD	Negative	0.0304414896344933	0.00680799324789908	35	29	8.67456096836541e-05	0.00806734170057983
Blautia.A.sp000285855	NAFLD	Negative	-0.0241391924344652	0.00579587881425553	35	32	0.000210202709376549	0.0171052454755167
Odoribacter.sp900762515	NAFLD	Negative	0.0196277599799246	0.00486385159786276	35	32	0.000304224284511433	0.0220055565796603
Blautia.A.sp934394595	NAFLD	Negative	-0.00877439436842018	0.00227682618419742	35	23	0.000508535957425004	0.0331056908283678
Bacteroides.caecimuris	NAFLD	Negative	0.0160310295432715	0.00427146733576249	35	19	0.00067425411035611	0.036578285486819
Blautia.A.sp905209435	NAFLD	Negative	-0.014156834526758	0.00375625533758473	35	29	0.000645131576451549	0.036578285486819
X43.108.sp001915545	NAFLD	Negative	0.0205662362986841	0.00600885288084414	35	25	0.00167244451001116	0.0511724558914532
Bacteroides.stercoris	NAFLD	Negative	0.0651979397026903	0.0187307390734341	35	26	0.00142825753723624	0.0511724558914532
Blautia.A.massiliensis	NAFLD	Negative	-0.0752413477649485	0.0221700426989437	35	35	0.00180793622965195	0.0511724558914532
Blautia.A.sp900751995	NAFLD	Negative	-0.0205364650435753	0.00600470110456541	35	33	0.00168421428958818	0.0511724558914532
Blautia.A.sp905206915	NAFLD	Negative	-0.013333338705048	0.00390778224973652	35	32	0.00172136952519598	0.0511724558914532
Lawsonibacter.asaccharolyticus	NAFLD	Negative	0.0117169743741976	0.00342103906822811	35	21	0.00166197792138332	0.0511724558914532
Mediterraneibacter.faecis	NAFLD	Negative	-0.0566264049312716	0.0162348918973996	35	30	0.00140073133219481	0.0511724558914532
Mediterraneibacter.sp934309345	NAFLD	Negative	-0.0207280684335585	0.00580254246407411	35	29	0.0011122709566792	0.0511724558914532
Pauljensenia.sp000278725	NAFLD	Negative	-0.00625630987926221	0.00183773367745446	35	10	0.00175725363530735	0.0511724558914532
Phocaeicola.vulgatus	NAFLD	Negative	0.12741491783163	0.0360658976544244	35	35	0.00123914553235086	0.0511724558914532
Pseudoflavonifractor.A.sp018374635	NAFLD	Negative	0.00798843044846525	0.00230410995918293	35	9	0.00148275450889208	0.0511724558914532
Bacteroides.acidifaciens	NAFLD	Negative	0.0107302403810379	0.00328617585440751	35	10	0.00255140884852802	0.0654051554745428
Blautia.A.intestinalis	NAFLD	Negative	-0.00932220728478736	0.00288643890702595	35	20	0.00280432279391058	0.0654051554745428
Blautia.A.sp900066505	NAFLD	Negative	-0.0162009670494348	0.00501815072843875	35	35	0.002813124966647	0.0654051554745428
Blautia.A.sp934371575	NAFLD	Negative	-0.00868642231838476	0.00268388100641353	35	23	0.00275381999666441	0.0654051554745428
Phocaeicola.dorei	NAFLD	Negative	0.0390352633145473	0.0120379192228319	35	29	0.00270908391361693	0.0654051554745428
Bacteroides.sp019412865	NAFLD	Negative	0.0254473618038989	0.00809958001575413	35	25	0.00353451335373347	0.0793437308027755
Bacteroides.rodentium	NAFLD	Negative	0.0161441995350686	0.00517456586240522	35	22	0.00374292116045695	0.0812213891819158
Bacteroides.luhongzhouii	NAFLD	Negative	0.0118754649630575	0.00383310872756043	35	22	0.00396179655624937	0.082038605455765
Enterocloster.pacaense	NAFLD	Negative	0.0107495346663659	0.00350376602880515	35	18	0.00428465834945624	0.082038605455765
Parabacteroides.johnsonii	NAFLD	Negative	0.00950430790953702	0.00309494813595837	35	12	0.00425236019463099	0.082038605455765
