#Classification	S-23-POLPIL-G_bracken_F.kreport
k__Bacteria	43549
k__Bacteria|p__Proteobacteria	33534
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	17864
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	13801
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae	12255
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae	1326
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Phyllobacteriaceae	105
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Bradyrhizobiaceae	103
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Lichenihabitantaceae	9
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	3980
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae	3978
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingosinicellaceae	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	74
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae	39
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillaceae	35
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	6
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae	6
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae	2
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	14631
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	14631
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	14614
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae	14
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae	1
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae	1
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1038
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	544
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	544
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	487
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	487
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	7
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae	5
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae	2
k__Bacteria|p__Cyanobacteria	6982
k__Bacteria|p__Cyanobacteria|o__Nostocales	6928
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Nostocaceae	6590
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Scytonemataceae	239
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Calotrichaceae	97
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales	53
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales|f__Coleofasciculaceae	53
k__Bacteria|p__Actinobacteria	1731
k__Bacteria|p__Actinobacteria|c__Actinomycetia	1731
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	1413
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Mycobacteriaceae	1413
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	153
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales|f__Nakamurellaceae	153
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	90
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae	90
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales	62
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales|f__Catenulisporaceae	62
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	7
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae	7
