effect	wi.eBH	Taxon	taxRank	database	dataset
-0.8944815819123354	0.010009245616311332	Dysosmobacter	Genus	MPA_db2022	NAFLD
-1.005526842364045	0.010638016851416382	Dysosmobacter	Genus	MPA_db2023	NAFLD
-0.7748671142002437	0.023695955650795453	Dysosmobacter	Genus	SM_gtdb-rs214-full	NAFLD
1.0774142806006832	0.006769224825978635	KLE1615	Genus	SM_gtdb-rs214-full	NAFLD
0.9320848929456138	0.0012094360386560848	KLE1615	Genus	SM_gtdb-rs214-rep	NAFLD
-0.984857125116255	0.01609594865517331	Bacteroides	Genus	KB20	NAFLD
-1.037208069684108	0.011759169779264094	Butyricimonas	Genus	KB20	NAFLD
-0.6775279510057455	0.026031993090038903	Flavonifractor	Genus	KB20	NAFLD
-0.8748469751191044	0.034683161606720816	Oscillibacter	Genus	KB20	NAFLD
-0.951968173124953	0.02118030619179002	Parabacteroides	Genus	KB20	NAFLD
-0.8869401148513244	0.02302953691501824	Phocaeicola	Genus	KB20	NAFLD
0.9028790924400177	0.04264711783759856	Anaerobutyricum	Genus	KB51	NAFLD
-1.029333970573124	0.012441681924003432	Bacteroides	Genus	KB51	NAFLD
-0.6812882134228573	0.030294207657642	Flavonifractor	Genus	KB51	NAFLD
-0.9887276199221297	0.01328183767926841	Parabacteroides	Genus	KB51	NAFLD
-0.9063561860971725	0.016041343867775684	Phocaeicola	Genus	KB51	NAFLD
-0.825605712818845	0.048411824407706784	Bacteroides	Genus	MOTUS	NAFLD
-0.9568554782972585	0.035540320684305966	Bacteroidaceae	Family	SM_gtdb-rs214-full	NAFLD
-0.7166324083214463	0.04331711574257594	Oscillospiraceae	Family	SM_gtdb-rs214-full	NAFLD
-0.9987692609795479	0.011024991279946954	Bacteroidaceae	Family	SM_gtdb-rs214-rep	NAFLD
-0.6471989339140318	0.01237052024309569	Marinifilaceae	Family	SM_gtdb-rs214-rep	NAFLD
-0.7492475996423202	0.0409623939809538	Oscillospiraceae	Family	SM_gtdb-rs214-rep	NAFLD
-1.0469353416203788	0.006591772676515744	Bacteroidaceae	Family	KB20	NAFLD
-0.7425455305328574	0.036632346844321886	Barnesiellaceae	Family	KB20	NAFLD
-0.8759165613527483	0.030732532044866655	Odoribacteraceae	Family	KB20	NAFLD
-0.9617208226260153	0.010782202060528651	Tannerellaceae	Family	KB20	NAFLD
-1.0466587125722144	0.0048614269420288415	Bacteroidaceae	Family	KB51	NAFLD
-0.8313189763112387	0.02744278494651603	Odoribacteraceae	Family	KB51	NAFLD
-0.9419714338957141	0.007279138757715007	Tannerellaceae	Family	KB51	NAFLD
