Taxon	coef	adj.p	taxRank	dataset	database	DAA_tool
Mycobacteriaceae	1.47121618948306	0.580319370393562	Family	AD_Skin	KB45_GTDB	MaAsLin2
Actinomycetaceae	0.311924715931619	0.794075331222245	Family	AD_Skin	KB45_GTDB	MaAsLin2
Acutalibacteraceae	0.692814744005175	0.794075331222245	Family	AD_Skin	KB45_GTDB	MaAsLin2
Alteromonadaceae	0.246968727418145	0.794075331222245	Family	AD_Skin	KB45_GTDB	MaAsLin2
Anoxybacillaceae	0.514547998379224	0.794075331222245	Family	AD_Skin	KB45_GTDB	MaAsLin2
B 17bo	0.500918401760853	0.794075331222245	Family	AD_Skin	KB45_GTDB	MaAsLin2
Bacteroidaceae	0.937037741353059	0.794075331222245	Family	AD_Skin	KB45_GTDB	MaAsLin2
Bifidobacteriaceae	0.607003676398847	0.794075331222245	Family	AD_Skin	KB45_GTDB	MaAsLin2
Brevibacteriaceae	0.22990534875032	0.794075331222245	Family	AD_Skin	KB45_GTDB	MaAsLin2
Caulobacteraceae	-0.339694996266993	0.794075331222245	Family	AD_Skin	KB45_GTDB	MaAsLin2
Chitinophagaceae	0.263840137119299	0.794075331222245	Family	AD_Skin	KB45_GTDB	MaAsLin2
Dermatophilaceae	0.345180028430704	0.794075331222245	Family	AD_Skin	KB45_GTDB	MaAsLin2
Eggerthellaceae	0.15519172077786	0.794075331222245	Family	AD_Skin	KB45_GTDB	MaAsLin2
Hyphomicrobiaceae	0.174171030901944	0.794075331222245	Family	AD_Skin	KB45_GTDB	MaAsLin2
Lachnospiraceae	0.546840281704679	0.794075331222245	Family	AD_Skin	KB45_GTDB	MaAsLin2
Micrococcaceae	0.488801134816463	0.794075331222245	Family	AD_Skin	KB45_GTDB	MaAsLin2
Micropepsaceae	-0.151090705195115	0.794075331222245	Family	AD_Skin	KB45_GTDB	MaAsLin2
Nicil 2	0.632094718750024	0.794075331222245	Family	AD_Skin	KB45_GTDB	MaAsLin2
Nocardioidaceae	-0.129443151334045	0.794075331222245	Family	AD_Skin	KB45_GTDB	MaAsLin2
Nostocaceae	-0.254055583420138	0.794075331222245	Family	AD_Skin	KB45_GTDB	MaAsLin2
Oscillospiraceae	0.450389835790812	0.794075331222245	Family	AD_Skin	KB45_GTDB	MaAsLin2
Porphyromonadaceae	0.173056639251865	0.794075331222245	Family	AD_Skin	KB45_GTDB	MaAsLin2
Pyrinomonadaceae	0.247603628128977	0.794075331222245	Family	AD_Skin	KB45_GTDB	MaAsLin2
Rhizobiaceae	-0.431356602088919	0.794075331222245	Family	AD_Skin	KB45_GTDB	MaAsLin2
Rhodocyclaceae	0.303845729122956	0.794075331222245	Family	AD_Skin	KB45_GTDB	MaAsLin2
Ruminococcaceae	0.380964224809125	0.794075331222245	Family	AD_Skin	KB45_GTDB	MaAsLin2
Sphingomonadaceae	-0.407368428880876	0.794075331222245	Family	AD_Skin	KB45_GTDB	MaAsLin2
Streptomycetaceae	-0.105652211659737	0.794075331222245	Family	AD_Skin	KB45_GTDB	MaAsLin2
Tannerellaceae	0.326082085570542	0.794075331222245	Family	AD_Skin	KB45_GTDB	MaAsLin2
Thermaceae	0.542216372187877	0.794075331222245	Family	AD_Skin	KB45_GTDB	MaAsLin2
Weeksellaceae	0.220156200642544	0.794075331222245	Family	AD_Skin	KB45_GTDB	MaAsLin2
Dermabacteraceae	0.256570825385662	0.821041980589366	Family	AD_Skin	KB45_GTDB	MaAsLin2
Lactobacillaceae	-0.32931746204106	0.842081733748899	Family	AD_Skin	KB45_GTDB	MaAsLin2
Rikenellaceae	0.282078762072822	0.842081733748899	Family	AD_Skin	KB45_GTDB	MaAsLin2
Staphylococcaceae	-0.69050720360187	0.842081733748899	Family	AD_Skin	KB45_GTDB	MaAsLin2
Deinococcaceae	0.0755025767402765	0.846152231399957	Family	AD_Skin	KB45_GTDB	MaAsLin2
Rhodobacteraceae	0.272394280869766	0.846152231399957	Family	AD_Skin	KB45_GTDB	MaAsLin2
Bacillaceae	-0.165590892755761	0.875786360253507	Family	AD_Skin	KB45_GTDB	MaAsLin2
Neisseriaceae	-0.298916933744895	0.875786360253507	Family	AD_Skin	KB45_GTDB	MaAsLin2
Streptococcaceae	-0.401441605685357	0.875786360253507	Family	AD_Skin	KB45_GTDB	MaAsLin2
Acetobacteraceae	-0.117543205329651	0.917842691637293	Family	AD_Skin	KB45_GTDB	MaAsLin2
Acidithiobacillaceae	0.0710371372809322	0.917842691637293	Family	AD_Skin	KB45_GTDB	MaAsLin2
Aerococcaceae	-0.145747612062208	0.917842691637293	Family	AD_Skin	KB45_GTDB	MaAsLin2
Atopobiaceae	0.0422302632303764	0.917842691637293	Family	AD_Skin	KB45_GTDB	MaAsLin2
Azospirillaceae	-0.196399022719725	0.917842691637293	Family	AD_Skin	KB45_GTDB	MaAsLin2
Dialisteraceae	0.0601416834827965	0.917842691637293	Family	AD_Skin	KB45_GTDB	MaAsLin2
Enterobacteriaceae	0.167747790325723	0.917842691637293	Family	AD_Skin	KB45_GTDB	MaAsLin2
Enterococcaceae	-0.111230509669511	0.917842691637293	Family	AD_Skin	KB45_GTDB	MaAsLin2
Halobacteriaceae	0.104130913708182	0.917842691637293	Family	AD_Skin	KB45_GTDB	MaAsLin2
Halomonadaceae	0.0964506365441024	0.917842691637293	Family	AD_Skin	KB45_GTDB	MaAsLin2
Listeriaceae	-0.0392855818923399	0.917842691637293	Family	AD_Skin	KB45_GTDB	MaAsLin2
Microbacteriaceae	-0.0937941394589567	0.917842691637293	Family	AD_Skin	KB45_GTDB	MaAsLin2
