Taxon	coef	adj.p	taxRank	database	dataset	DAA_tool
Absiella	-1.3960254571305741	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Adlercreutzia	0.6078417994203666	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Agathobaculum	0.9671955766001045	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Akkermansia	-0.5054153151758881	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Alistipes	-1.3529249121303286	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Anaerococcus	-1.2843762680059545	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Anaerofustis	-0.12843514827400446	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Anaeromassilibacillus	-1.1141706248541763	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Anaerostipes	1.6685016683825344	0.5239193630236568	Genus	MPA_db2019	NAFLD	ANCOMBC2
Anaerotruncus	0.03956809623981146	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Asaccharobacter	0.9853590680427231	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Bilophila	-0.09328229944286737	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Campylobacter	NA	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Catabacter	1.206895828226265	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Catenibacterium	1.2785525373963005	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Christensenella	-0.2725757267962615	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Clostridiales Family XIII Incertae Sedis unclassified	0.08137601488241007	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Clostridiales unclassified	-0.7456532705763019	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Clostridium	0.23808787777722343	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Collinsella	1.8832064319656643	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Coprobacillus	-0.5294782033248348	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Coprococcus	1.2310388935196317	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Denitrobacterium	-0.0335160853377262	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Dialister	0.5939900738703174	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Eggerthella	-0.17574623535818323	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Eisenbergiella	-0.607517012677286	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Enorma	1.223498830033183	0.3707115061715594	Genus	MPA_db2019	NAFLD	ANCOMBC2
Enterorhabdus	0.06667313503347873	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Erysipelatoclostridium	0.681231408256206	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Escherichia	0.026052476818237816	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Eubacterium	0.7622415093551342	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Faecalibacterium	0.1227288255831222	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Faecalitalea	-0.19199847577068832	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Firmicutes unclassified	-0.8529551513686274	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Gemella	1.5831775804560744	0.24907548998652287	Genus	MPA_db2019	NAFLD	ANCOMBC2
Gemmiger	1.0461849636651788	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Gordonibacter	0.7295699397834173	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Haemophilus	-0.7433009648881492	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Holdemania	0.8322506536401907	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Lachnospira	0.12307965948348457	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Lactobacillus	1.8209620042524695	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Lactococcus	0.35360088244675136	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Massiliomicrobiota	0.7133800715437548	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Megamonas	1.0616068885304972	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Mogibacterium	-0.3486503061894002	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Monoglobus	-1.1139846034757048	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Olsenella	0.9074923614421087	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Oscillibacter	-1.8689425157062645	0.5131121141696888	Genus	MPA_db2019	NAFLD	ANCOMBC2
Parabacteroides	-2.1067877799763206	0.889799924123783	Genus	MPA_db2019	NAFLD	ANCOMBC2
Paraprevotella	-0.6728738441454127	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Parasutterella	0.2699136224023315	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Parvimonas	-1.516478635866365	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Peptoniphilus	0.9686242604295757	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Phascolarctobacterium	-2.3611548344433437	0.11916160296450515	Genus	MPA_db2019	NAFLD	ANCOMBC2
Porphyromonas	-0.46502149105446566	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Proteobacteria unclassified	2.917295144065352	0.1473851886214283	Genus	MPA_db2019	NAFLD	ANCOMBC2
Rothia	0.8500982927511562	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Ruminococcaceae unclassified	0.3584124419688806	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Ruminococcus	1.365870887595034	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Ruthenibacterium	-1.1054271095568289	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Sellimonas	-1.2211195270634585	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Sharpea	0.6604686481090595	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Slackia	1.0927624171893013	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Staphylococcus	0.11160986454153031	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Stoquefichus	0.4751351609817658	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Tissierellia unclassified	0.19875364281254163	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Turicibacter	1.8559774317966897	0.4035659675413087	Genus	MPA_db2019	NAFLD	ANCOMBC2
Turicimonas	1.515554592719961	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Tyzzerella	-1.2478315757395135	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Veillonella	-0.4407945855025636	1	Genus	MPA_db2019	NAFLD	ANCOMBC2
Acidaminococcus	-0.39678374367288044	1	Genus	MPA_db2022	NAFLD	ANCOMBC2
Adlercreutzia	1.5694526247271934	1	Genus	MPA_db2022	NAFLD	ANCOMBC2
Agathobaculum	1.0898104061113274	1	Genus	MPA_db2022	NAFLD	ANCOMBC2
Akkermansia	-0.9066732444715059	1	Genus	MPA_db2022	NAFLD	ANCOMBC2
Allochristensenella	NA	1	Genus	MPA_db2022	NAFLD	ANCOMBC2
Alloscillospira	1.3711884077013887	1	Genus	MPA_db2022	NAFLD	ANCOMBC2
Anaerococcus	0.24120153208885475	1	Genus	MPA_db2022	NAFLD	ANCOMBC2
Anaerofilum	-0.3350212186519575	1	Genus	MPA_db2022	NAFLD	ANCOMBC2
Anaerofustis	2.083117354069737	0.27015785820667026	Genus	MPA_db2022	NAFLD	ANCOMBC2
Anaeromassilibacillus	-0.8191397246299642	1	Genus	MPA_db2022	NAFLD	ANCOMBC2
Anaerosacchariphilus	-0.07503296830253114	1	Genus	MPA_db2022	NAFLD	ANCOMBC2
Anaerostipes	1.1810181204909656	1	Genus	MPA_db2022	NAFLD	ANCOMBC2
Anaerotignum	-0.372539106882545	1	Genus	MPA_db2022	NAFLD	ANCOMBC2
Avimonas	-0.5456939794333786	1	Genus	MPA_db2022	NAFLD	ANCOMBC2
Barnesiella	-2.03382932944736	0.0780526447322991	Genus	MPA_db2022	NAFLD	ANCOMBC2
Bilophila	-0.19274035208048831	1	Genus	MPA_db2022	NAFLD	ANCOMBC2
Bittarella	0.20775809090746053	1	Genus	MPA_db2022	NAFLD	ANCOMBC2
Bradyrhizobium	0.6992853187628855	1	Genus	MPA_db2022	NAFLD	ANCOMBC2
Butyricicoccus	0.7821156557197657	1	Genus	MPA_db2022	NAFLD	ANCOMBC2
