Taxon	coef	adj.p	taxRank	database	dataset	DAA_tool
Actinomyces	3.172673582956426	0.04425355101907779	Genus	MPA_db2019	NAFLD	radEmu
Monoglobus	-2.3669172511425014	0.0258795735934124	Genus	MPA_db2019	NAFLD	radEmu
Prevotella	-2.383305167556974	0.01482512885373456	Genus	MPA_db2019	NAFLD	radEmu
Ralstonia	2.2004373221486206	0.038978088541929926	Genus	MPA_db2019	NAFLD	radEmu
Actinomyces	3.376871778318936	0.040089906279649076	Genus	MPA_db2022	NAFLD	radEmu
GGB12785	4.327500082263376	0.040009493357271025	Genus	MPA_db2022	NAFLD	radEmu
GGB3277	-3.639845967597272	0.029157241157474163	Genus	MPA_db2022	NAFLD	radEmu
GGB4456	2.794807325229706	0.017974891054782546	Genus	MPA_db2022	NAFLD	radEmu
GGB9634	-3.2697791075598497	0.04732137894499316	Genus	MPA_db2022	NAFLD	radEmu
GGB9635	-3.1010102086139995	0.0408339666947875	Genus	MPA_db2022	NAFLD	radEmu
Kluyvera	2.3496921286525945	0.010565530875481871	Genus	MPA_db2022	NAFLD	radEmu
Monoglobus	-2.2363498250248948	0.040631205346233025	Genus	MPA_db2022	NAFLD	radEmu
Prevotella	-2.1827556547033087	0.010356705040480207	Genus	MPA_db2022	NAFLD	radEmu
Ralstonia	2.2737302196711275	0.026033864161777595	Genus	MPA_db2022	NAFLD	radEmu
Actinomyces	3.859032629700585	0.036223327882016966	Genus	MPA_db2023	NAFLD	radEmu
GGB12785	4.054297428003297	0.044150733816264415	Genus	MPA_db2023	NAFLD	radEmu
GGB3277	-3.690569868143366	0.03007142476473272	Genus	MPA_db2023	NAFLD	radEmu
GGB4456	2.7666994974803165	0.022450816242205844	Genus	MPA_db2023	NAFLD	radEmu
GGB9634	-3.306474951053504	0.03717847826612909	Genus	MPA_db2023	NAFLD	radEmu
GGB9635	-3.1884037448521614	0.03829902456806479	Genus	MPA_db2023	NAFLD	radEmu
Luoshenia	-2.981775264876007	0.04748675750333655	Genus	MPA_db2023	NAFLD	radEmu
Monoglobus	-2.2611597455653314	0.04806525713920228	Genus	MPA_db2023	NAFLD	radEmu
Prevotella	-2.3753053859986846	0.007170395759349771	Genus	MPA_db2023	NAFLD	radEmu
Ralstonia	2.1949254019452225	0.034048270406846645	Genus	MPA_db2023	NAFLD	radEmu
Saccharibacteria unclassified	3.4454363124541096	0.042216341048557884	Genus	MPA_db2023	NAFLD	radEmu
Segatella	-2.293134670836074	0.011812508344679363	Genus	MPA_db2023	NAFLD	radEmu
Flavonifractor	-2.7119094383915514	0.049191316058694735	Genus	SM_genbank-2022.03	NAFLD	radEmu
Ralstonia	2.1363137974840045	0.022712795069953055	Genus	SM_genbank-2022.03	NAFLD	radEmu
Terrisporobacter	2.215981139244767	0.03115780022457561	Genus	SM_genbank-2022.03	NAFLD	radEmu
Guopingia	-2.00842259430817	0.014140273824160866	Genus	SM_gtdb-rs214-full	NAFLD	radEmu
JAHZIE01	-7.985576463668998	0.027101617987273417	Genus	SM_gtdb-rs214-full	NAFLD	radEmu
KLE1615	2.5964358087378887	0.0023375167384365268	Genus	SM_gtdb-rs214-full	NAFLD	radEmu
Luoshenia	-7.645200243353605	0.04251258432777976	Genus	SM_gtdb-rs214-full	NAFLD	radEmu
Pauljensenia	3.0006527983281637	0.035427746934571014	Genus	SM_gtdb-rs214-full	NAFLD	radEmu
Ralstonia	2.224219856620408	0.03175430954796163	Genus	SM_gtdb-rs214-full	NAFLD	radEmu
Terrisporobacter	2.4244532329924975	0.03068257984371679	Genus	SM_gtdb-rs214-full	NAFLD	radEmu
Butyricimonas	-2.792609464570166	0.012100406369641855	Genus	SM_gtdb-rs214-rep	NAFLD	radEmu
Diplocloster	-2.0536293358372877	0.049673018567273935	Genus	SM_gtdb-rs214-rep	NAFLD	radEmu
JAHZIE01	-8.01711900740279	0.024358029381704092	Genus	SM_gtdb-rs214-rep	NAFLD	radEmu
KLE1615	2.712825714256976	0.008315117437516192	Genus	SM_gtdb-rs214-rep	NAFLD	radEmu
Pauljensenia	2.842568939248822	0.03074190223428108	Genus	SM_gtdb-rs214-rep	NAFLD	radEmu
Ralstonia	2.1828891303348312	0.03200306300560121	Genus	SM_gtdb-rs214-rep	NAFLD	radEmu
Terrisporobacter	2.35558757025222	0.023131266256265257	Genus	SM_gtdb-rs214-rep	NAFLD	radEmu
Abiotrophia	2.7059401368917597	0.027713567345585284	Genus	KB20	NAFLD	radEmu
Butyricimonas	-2.76073282823245	0.015799240123194055	Genus	KB20	NAFLD	radEmu
Fibrobacter	2.1395885023988677	0.044622153086872916	Genus	KB20	NAFLD	radEmu
Flavonifractor	-2.5426628946513503	0.03470851550503565	Genus	KB20	NAFLD	radEmu
Geobacter	2.3266996680683603	0.04790792048747809	Genus	KB20	NAFLD	radEmu
Monoglobus	-2.882977328187328	0.016348208973859465	Genus	KB20	NAFLD	radEmu
Prevotella	-2.508957866326985	0.0050910325598546285	Genus	KB20	NAFLD	radEmu
Pseudodesulfovibrio	-2.003546224000249	0.03700331163805708	Genus	KB20	NAFLD	radEmu
Pseudomonas	-2.8566580542523226	0.01898596188834545	Genus	KB20	NAFLD	radEmu
Thermincola	-2.4555313477475207	0.017632079461903812	Genus	KB20	NAFLD	radEmu
Abiotrophia	2.2903385046982576	0.038111710359633566	Genus	KB51	NAFLD	radEmu
Berryella	3.129549962762524	0.01332614088418172	Genus	KB51	NAFLD	radEmu
Butyricimonas	-2.551998524575252	0.024330757562101252	Genus	KB51	NAFLD	radEmu
Flavonifractor	-3.002973852232123	0.038538380511713544	Genus	KB51	NAFLD	radEmu
Monoglobus	-2.8593839492057143	0.011471048477362304	Genus	KB51	NAFLD	radEmu
Phocaeicola	-2.136960196505139	0.00870937781025753	Genus	KB51	NAFLD	radEmu
Prevotella	-3.3052012934048713	0.01470044966043899	Genus	KB51	NAFLD	radEmu
Actinobacteria gen. [Xylanimonas/Schaalia/Sanguibacter]	2.1262252701452873	0.0162568086684403	Genus	MOTUS	NAFLD	radEmu
Actinomyces	2.163206976355721	0.02517806333721263	Genus	MOTUS	NAFLD	radEmu
Clostridiales gen. [Clostridium/Eubacterium]	-3.6996756776128805	0.024600631472374086	Genus	MOTUS	NAFLD	radEmu
Fusicatenibacter	2.284032261175655	0.019961074885030114	Genus	MOTUS	NAFLD	radEmu
Massilioclostridium	-2.5598663581950296	0.00867213283528195	Genus	MOTUS	NAFLD	radEmu
Mesorhizobium	2.139603396091462	0.029993875140609697	Genus	MOTUS	NAFLD	radEmu
Peptostreptococcaceae gen. incertae sedis	2.214479655374513	0.020642094838255437	Genus	MOTUS	NAFLD	radEmu
Ralstonia	2.010712383023442	0.02525232994526918	Genus	MOTUS	NAFLD	radEmu
