Taxon	coef	adj.p	taxRank	dataset	database	DAA_tool
Bacteroidaceae	-0.326968835832687	0.00656106511363515	Family	NAFLD	KB20	MaAsLin2
Lachnospiraceae	0.270664100593395	0.00656106511363515	Family	NAFLD	KB20	MaAsLin2
Bacillaceae	0.00215184320422769	0.0456492370585714	Family	NAFLD	KB20	MaAsLin2
Tannerellaceae	-0.0802681829856375	0.0456492370585714	Family	NAFLD	KB20	MaAsLin2
Streptococcaceae	0.0597236235880426	0.0467323426014266	Family	NAFLD	KB20	MaAsLin2
Bacteroidaceae	-0.312648434560606	0.00775552096354659	Family	NAFLD	KB51	MaAsLin2
Lachnospiraceae	0.264517138412203	0.0184590856520582	Family	NAFLD	KB51	MaAsLin2
Streptococcaceae	0.0462254004588224	0.0387839926485128	Family	NAFLD	KB51	MaAsLin2
Tannerellaceae	-0.0747557617683771	0.0387839926485128	Family	NAFLD	KB51	MaAsLin2
Odoribacteraceae	-0.0253330137991456	0.0404569606271213	Family	NAFLD	KB51	MaAsLin2
Bacteroidaceae	-0.204605014733596	0.0110065190306899	Family	NAFLD	MOTUS	MaAsLin2
Bacteroidaceae	-0.24941269318117	0.0156128878004742	Family	NAFLD	MPA_db2019	MaAsLin2
Streptococcaceae	0.0567905712435312	0.0272478550039413	Family	NAFLD	MPA_db2019	MaAsLin2
Bacteroidaceae	-0.196622583554556	0.0400054983340912	Family	NAFLD	MPA_db2022	MaAsLin2
Bacteroidaceae	-0.206274163651027	0.0305060040769244	Family	NAFLD	MPA_db2023	MaAsLin2
Bacteroidaceae	-0.220408488213376	0.0224796000443362	Family	NAFLD	SM_genbank-2022.03	MaAsLin2
Lachnospiraceae	0.234794294584438	0.0224796000443362	Family	NAFLD	SM_genbank-2022.03	MaAsLin2
Odoribacteraceae	-0.0365581613665116	0.0376634378664469	Family	NAFLD	SM_genbank-2022.03	MaAsLin2
Tannerellaceae	-0.0648001642691751	0.0376634378664469	Family	NAFLD	SM_genbank-2022.03	MaAsLin2
Streptococcaceae	0.0357999881404543	0.0469898898356456	Family	NAFLD	SM_genbank-2022.03	MaAsLin2
Bacteroidaceae	-0.300971836284139	7.0697616974094e-4	Family	NAFLD	SM_gtdb-rs214-full	MaAsLin2
