feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Anaerobutyricum	NAFLD	Negative	-0.112741548153331	0.0316223439717324	35	35	0.00113382139164582	0.0456363110137443
Blautia	NAFLD	Negative	-0.131715420756018	0.0367504757758448	35	35	0.00107676055602157	0.0456363110137443
Mediterraneibacter	NAFLD	Negative	-0.125030137893921	0.0343982507376985	35	35	0.000936266605038163	0.0456363110137443
Phocaeicola	NAFLD	Negative	0.186008667212271	0.0466315885322448	35	35	0.000347224863068853	0.0456363110137443
Bacteroides	NAFLD	Negative	0.211635223418928	0.0644625865331071	35	35	0.00243328263408269	0.0600573697340559
Butyricimonas	NAFLD	Negative	0.0139886035288781	0.00429552238744668	35	32	0.00261118998843721	0.0600573697340559
Parabacteroides	NAFLD	Negative	0.0745122139238422	0.0228645637500412	35	35	0.00259530181357468	0.0600573697340559
Berryella	NAFLD	Negative	-0.0028857921724046	0.000903492587063479	35	14	0.00308111443054324	0.0620074279146826
Komagataeibacter	NAFLD	Negative	-0.00152409068977431	0.000500915603034031	35	31	0.00457583351768765	0.0720355062373151
Minimicrobia	NAFLD	Negative	-0.00202476574903996	0.000661907326529884	35	22	0.00438591075792207	0.0720355062373151
Streptococcus	NAFLD	Negative	-0.0381855343384778	0.0126678125438239	35	35	0.00492168055037556	0.0720355062373151
Parolsenella	NAFLD	Negative	-0.00188783788582806	0.000648907555805431	35	23	0.00643881893254595	0.0863874873449915
Gemella	NAFLD	Negative	-0.00392060773226627	0.00137441905729022	35	33	0.00743006232696247	0.0920184642031506
Bifidobacterium	NAFLD	Negative	-0.115762281835644	0.041920731533429	35	35	0.0093271594651702	0.107262333849457
Abiotrophia	NAFLD	Negative	-0.00254054527496634	0.000989085707811004	35	19	0.0149227548746819	0.114407787372562
Collinsella	NAFLD	Negative	-0.0808381673314454	0.0304777036437172	35	35	0.0121910798948766	0.114407787372562
Faecalibacillus	NAFLD	Negative	-0.0316493387931802	0.0120692156547895	35	35	0.0131126001839348	0.114407787372562
Granulicatella	NAFLD	Negative	-0.00255570994720061	0.000994654459930232	35	29	0.0148918606417776	0.114407787372562
Odoribacter	NAFLD	Negative	0.0196968747716099	0.00760219672934244	35	33	0.0141430853583409	0.114407787372562
Porphyromonas	NAFLD	Negative	0.00230089920283319	0.000894853622643682	35	20	0.0148273511611249	0.114407787372562
Ralstonia	NAFLD	Negative	-0.0127598436405118	0.00496306212766228	35	12	0.0148378582715928	0.114407787372562
Flavonifractor	NAFLD	Negative	0.0310868628607867	0.0128406970889587	35	35	0.0211424293772078	0.147997005640455
Paeniclostridium	NAFLD	Negative	-0.00173989744589854	0.000716832923275061	35	17	0.0208378182223224	0.147997005640455
Actinomyces	NAFLD	Negative	-0.00782288340852651	0.00326516522329123	35	33	0.0224098502295266	0.150258775327092
Prevotella	NAFLD	Negative	0.126540482922413	0.053204164879062	35	35	0.0233321079700453	0.150258775327092
Longibaculum	NAFLD	Negative	-0.025456724075675	0.010877172793649	35	35	0.0254593191709913	0.151812977278874
Roseburia	NAFLD	Negative	-0.0633336523191629	0.0269988353747841	35	35	0.0251461521911251	0.151812977278874
Arachnia	NAFLD	Negative	-0.000728054901461914	0.000320023652296649	35	23	0.029531303726845	0.163897954802912
Bradyrhizobium	NAFLD	Negative	-0.00182492422496913	0.000807868782005018	35	11	0.0306178045496125	0.163897954802912
Phascolarctobacterium	NAFLD	Negative	0.0172396094540912	0.00767760456198925	35	33	0.0315579912974551	0.163897954802912
Rothia	NAFLD	Negative	-0.00199595237896774	0.000879310987963641	35	29	0.0298722622740068	0.163897954802912
Barnesiella	NAFLD	Negative	0.00132161751818524	0.000593386069848205	35	22	0.0328664853995238	0.165359504666354
Mobiluncus	NAFLD	Negative	0.000631097233878168	0.000287292303382384	35	9	0.0351723428209894	0.171598399823615
Paraprevotella	NAFLD	Negative	0.00448742002792867	0.00208743530778099	35	26	0.0390017732359578	0.184684867382036
Cupriavidus	NAFLD	Negative	-0.000639705673688324	0.000301904798709644	35	4	0.0417120072659528	0.191875233423383
Oscillibacter	NAFLD	Negative	0.017057988179793	0.00812324265613899	35	35	0.0434641139018957	0.194381176061256
Mesorhizobium	NAFLD	Negative	-0.0123752777197762	0.0059674203014971	35	14	0.0459760566906396	0.200057976410621
Leuconostoc	NAFLD	Negative	-0.00154031316839243	0.000763305644327766	35	18	0.0517869268151647	0.219413032032671
Campylobacter	NAFLD	Negative	0.0202442000140784	0.0102955007815842	35	35	0.0577203169265728	0.230251795112248
Helcococcus	NAFLD	Negative	0.00042037200538766	0.000215888430284773	35	4	0.060065685681456	0.230251795112248
Methylorubrum	NAFLD	Negative	-0.0011168949412546	0.000573104333552011	35	7	0.0598567778076601	0.230251795112248
Romboutsia	NAFLD	Negative	-0.0192021847408831	0.00978355227344531	35	34	0.0581569768826137	0.230251795112248
