name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Methylobacterium sp008039875	118308	S	712	10080	10792	0.03241
Methylobacterium sp008000895	118307	S	356	11320	11676	0.03507
Methylobacterium longum	118267	S	220	2429	2649	0.00796
Methylobacterium sp001423085	118297	S	97	1826	1923	0.00578
Methylobacterium sp022829725	118337	S	95	1160	1255	0.00377
Methylobacterium sp022702015	118321	S	69	303	372	0.00112
Methylobacterium sp022829605	118334	S	46	516	562	0.00169
Methylobacterium sp001455965	118303	S	32	406	438	0.00132
Methylobacterium cerastii	118248	S	4	54	58	0.00017
Methylobacterium mesophilicum	118269	S	4	339	343	0.00103
Methylobacterium sp022829635	118335	S	4	68	72	0.00022
Methylobacterium sp022829295	118324	S	3	36	39	0.00012
Methylobacterium sp022829465	118330	S	2	21	23	0.00007
Methylobacterium sp019745455	118316	S	2	106	108	0.00032
Methylobacterium sp022829585	118333	S	1	12	13	0.00004
Methylobacterium sp022829515	118331	S	1	14	15	0.00005
Methylobacterium sp022829365	118326	S	1	14	15	0.00005
Methylobacterium sp025813715	118340	S	1	25	26	0.00008
Methylobacterium phyllostachyos	118277	S	1	11	12	0.00004
Lichenihabitans ramalinae	118236	S	126	1165	1291	0.00388
Lichenihabitans minor	118234	S	1	9	10	0.00003
Enterovirga extorquens_A	118189	S	1	8	9	0.00003
Mesorhizobium sp004020645	119593	S	11	107	118	0.00035
Mesorhizobium sp004017275	119587	S	1	25	26	0.00008
Aureimonas_A sp001424685	119232	S	1	15	16	0.00005
Wolbachia pipientis	123258	S	33	2216	2249	0.00675
Wolbachia sp918342435	123300	S	6	234	240	0.00072
Wolbachia sp947251545	123306	S	5	193	198	0.00059
Wolbachia sp028803175	123289	S	3	88	91	0.00027
Wolbachia sp936270435	123302	S	2	202	204	0.00061
Wolbachia sp947251645	123307	S	2	79	81	0.00024
Wolbachia sp020405475	123284	S	1	64	65	0.00020
Wolbachia sp947250635	123303	S	1	110	111	0.00033
Wolbachia sp001439985	123267	S	1	104	105	0.00032
Wolbachia sp936270145	123301	S	1	23	24	0.00007
Wolbachia pipientis_B	123260	S	1	39	40	0.00012
Wolbachia sp018224395	123281	S	1	79	80	0.00024
Sphingomonas sp022662305	125216	S	32	600	632	0.00190
Sphingomonas sp026540855	125241	S	15	449	464	0.00139
Sphingomonas aerolata	125000	S	14	139	153	0.00046
Sphingomonas sp014841615	125185	S	11	150	161	0.00048
Sphingomonas faeni_A	125032	S	11	309	320	0.00096
Sphingomonas aliaeris	125003	S	9	207	216	0.00065
Sphingomonas sp018139225	125197	S	6	84	90	0.00027
Sphingomonas sp025548555	125235	S	4	139	143	0.00043
Sphingomonas sanguinis	125095	S	3	382	385	0.00116
Sphingomonas phyllosphaerae_C	125082	S	3	54	57	0.00017
Sphingomonas sp001421995	125121	S	3	44	47	0.00014
Sphingomonas yunnanensis	125318	S	2	56	58	0.00017
Sphingomonas sp003688625	125156	S	2	44	46	0.00014
Sphingomonas sp903643065	125277	S	1	8	9	0.00003
Sphingomonas sp030433805	125258	S	1	247	248	0.00074
Sphingomonas sp000251145	125102	S	1	26	27	0.00008
Sphingomonas sp002281485	125145	S	1	5	6	0.00002
Sphingomonas sp000241485	125101	S	1	13	14	0.00004
Sphingomonas aerophila	125001	S	1	10	11	0.00003
Sphingomonas sp003946805	125157	S	1	25	26	0.00008
Sphingomicrobium ginkgonis	124929	S	8	95	103	0.00031
Sphingomonas_G solaris	125331	S	2	35	37	0.00011
Sphingobium sp918741285	124896	S	1	110	111	0.00033
Novosphingobium sp023266625	124518	S	1	6	7	0.00002
Pseudoroseomonas haemaphysalidis	113999	S	7	119	126	0.00038
Roseomonas sp016107305	114091	S	2	18	20	0.00006
Halovulum sediminis	121354	S	1	116	117	0.00035
Caballeronia sp029439455	126776	S	4	30	34	0.00010
Caballeronia brachyanthoides	126734	S	1	84	85	0.00026
Telluria forsythiae	129172	S	2	702	704	0.00211
Variovorax sp024372625	129495	S	1	54	55	0.00017
QFNR01 sp003248485	130416	S	3	2682	2685	0.00806
Xylella fastidiosa	141322	S	2	72	74	0.00022
Protofrankia sp917627385	45450	S	3474	33393	36867	0.11072
Protofrankia californiensis	45447	S	1473	36112	37585	0.11287
Modestobacter lapidis	45556	S	44	10154	10198	0.03063
Modestobacter italicus	45555	S	1	515	516	0.00155
Klenkia terrae	45551	S	1	30	31	0.00009
Geodermatophilus sp019799925	45525	S	3	648	651	0.00196
Nakamurella flavida	47159	S	1	11	12	0.00004
Curtobacterium sp001422205	43843	S	38	996	1034	0.00311
Curtobacterium sp015350975	43869	S	4	118	122	0.00037
Curtobacterium sp029959645	43877	S	1	26	27	0.00008
Curtobacterium sp022815645	43875	S	1	24	25	0.00008
Curtobacterium sp026544205	43876	S	1	29	30	0.00009
Frigoribacterium sp001421165	43894	S	2	98	100	0.00030
Frigoribacterium sp001423905	43896	S	1	103	104	0.00031
Frondihabitans sp001423105	43906	S	1	24	25	0.00008
Arthrobacter_D sp002929355	45032	S	14	4774	4788	0.01438
Kineococcus rubinsiae	43565	S	7	1483	1490	0.00447
Cutibacterium acnes	48418	S	47	36436	36483	0.10957
Friedmanniella sagamiharensis	48448	S	39	299	338	0.00102
Friedmanniella antarctica	48444	S	1	15	16	0.00005
Streptomyces malachitofuscus	49255	S	39	4550	4589	0.01378
Streptomyces ruber	49385	S	10	208	218	0.00065
Streptomyces fumigatiscleroticus	49127	S	1	879	880	0.00264
Streptomyces olindensis	49306	S	1	40	41	0.00012
SYAN01 sp005787575	47913	S	21	96	117	0.00035
Sphingobacterium bovisgrunnientis	90199	S	2190	46314	48504	0.14567
Hymenobacter sp016427535	85207	S	1	7	8	0.00002
Hymenobacter sp004684095	85201	S	1	218	219	0.00066
Hymenobacter properus	85178	S	1	20	21	0.00006
Limosilactobacillus sp946579075	55642	S	156	85946	86102	0.25858
Staphylococcus hominis	57097	S	2	533	535	0.00161
Planococcus sp007859295	53811	S	1	17	18	0.00005
Clostridium_L simiarum	59754	S	15	12178	12193	0.03662
Peptoniphilus_A lacydonensis	71527	S	1	236	237	0.00071
Maridesulfovibrio sp010470665	100468	S	8	6176	6184	0.01857
