# git tag version 3.1.0 |  motus version 3.1.0 | map_tax 3.1.0 | gene database: nr3.1.0 | calc_mgc 3.1.0 -y insert.scaled_counts -l 75 | calc_motu 3.1.0 -k mOTU -C no_CAMI -g 3 -c -p | taxonomy: ref_mOTU_3.1.0 meta_mOTU_3.1.0
# call: python /nfs3_ib/nfs-ip34/home/def-ilafores/programs/motu-profiler_env/bin/motus profile -f /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/preproc/NS58/NS58_paired_1.fastq -r /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/preproc/NS58/NS58_paired_2.fastq -s /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/preproc/NS58/NS58_unmatched_1.fastq -s /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/preproc/NS58/NS58_unmatched_2.fastq -n NS58 -t 24 -c -p -k mOTU -q
#mOTU	consensus_taxonomy	NCBI_tax_id	NS58
ref_mOTU_v31_00282	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus pneumoniae	2|1239|91061|186826|1300|1301|1313	3
ref_mOTU_v31_00283	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus sp. [Streptococcus pneumoniae/Streptococcus sp. HMSC070B10/Streptococcus sp. HMSC063B03/Streptococcus sp. HMSC077D04/Streptococcus sp. HMSC073F11/Streptococcus sp. CCUG 49591/Streptococcus pseudopneumoniae/Streptococcus mitis/Streptococcus sp. M334]	2|1239|91061|186826|1300|1301|NA	36
ref_mOTU_v31_00285	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus mitis	2|1239|91061|186826|1300|1301|28037	1
ref_mOTU_v31_00287	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus oralis	2|1239|91061|186826|1300|1301|1303	1
ref_mOTU_v31_00288	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus oralis [Streptococcus oralis/Streptococcus sp. oral taxon 071/Streptococcus sp. F0441]	2|1239|91061|186826|1300|1301|1303	1
ref_mOTU_v31_00296	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus oralis	2|1239|91061|186826|1300|1301|1303	2
ref_mOTU_v31_00301	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus sp. [Streptococcus sp. SK140/Streptococcus oralis/Streptococcus sp. HMSC074B11/Streptococcus sp. HMSC061D10/Streptococcus sp. HMSC056C01/Streptococcus sp. HMSC034E03/Streptococcus sp. HMSC071D03/Streptococcus pseudopneumoniae/Streptococcus infantis/Streptococcus sp. oral taxon 431]	2|1239|91061|186826|1300|1301|NA	3
ref_mOTU_v31_00305	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus infantis	2|1239|91061|186826|1300|1301|68892	1
ref_mOTU_v31_00306	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus infantis	2|1239|91061|186826|1300|1301|68892	1
ref_mOTU_v31_00307	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus pseudopneumoniae/infantis [Streptococcus sp. HMSC062D07/Streptococcus pseudopneumoniae/Streptococcus infantis]	2|1239|91061|186826|1300|1301|NA	2
ref_mOTU_v31_00310	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus sp. [Streptococcus sp. I-G2/Streptococcus sp. I-P16]	2|1239|91061|186826|1300|1301|NA	1
ref_mOTU_v31_00311	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus australis [Streptococcus australis/Streptococcus sp. 400_SSPC/Streptococcus sp. 343_SSPC/Streptococcus sp. 1171_SSPC/Streptococcus sp. A12]	2|1239|91061|186826|1300|1301|113107	5
ref_mOTU_v31_00312	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus parasanguinis [Streptococcus sp. HSISM1/Streptococcus parasanguinis/Streptococcus sp. HMSC074F05/Streptococcus sp. HMSC057G03/Streptococcus sp. HMSC076C09/Streptococcus sp. HMSC073D05/Streptococcus sp. HMSC072C09/Streptococcus sp. HMSC072G04/Streptococcus sp. HMSC061E03/Streptococcus sp. HMSC065C01/Streptococcus sp. HMSC078D09/Streptococcus sp. HMSC065E03]	2|1239|91061|186826|1300|1301|1318	32
ref_mOTU_v31_00340	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus aureus [Staphylococcus aureus/Staphylococcus sp. HMSC34D01/Staphylococcus sp. HMSC34H10/Staphylococcus sp. HMSC35D08/Staphylococcus sp. HMSC36A10/Staphylococcus sp. HMSC36C03/Staphylococcus sp. HMSC36D07/Staphylococcus sp. HMSC36D12/Staphylococcus sp. HMSC36F05/Staphylococcus sp. HMSC36G04/Staphylococcus sp. HMSC55F09/Staphylococcus sp. HMSC56B09/Staphylococcus sp. HMSC57A07/Staphylococcus sp. HMSC57B03/Staphylococcus sp. HMSC58A02/Staphylococcus sp. HMSC58E11/Staphylococcus sp. HMSC64F10/Staphylococcus sp. HMSC66A04/Staphylococcus sp. HMSC66C11/Staphylococcus sp. HMSC70F07/Staphylococcus sp. HMSC72E08/Staphylococcus sp. HMSC73A05/Staphylococcus sp. HMSC74D05/Staphylococcus sp. HMSC74F04/Staphylococcus sp. HMSC74G01/Staphylococcus sp. HMSC74G05/Staphylococcus sp. HMSC76G03/Staphylococcus sp. HMSC77A05/Staphylococcus sp. HMSC060D12/Staphylococcus sp. HMSC035F01/Staphylococcus sp. HMSC035F11/Staphylococcus sp. HMSC057B01/Staphylococcus sp. HMSC062H10/Staphylococcus sp. HMSC058E01/Staphylococcus sp. HMSC063H12/Staphylococcus sp. HMSC075C08/Staphylococcus sp. HMSC055H04/Staphylococcus sp. HMSC063G01/Staphylococcus sp. HMSC067F10/Staphylococcus sp. HMSC060D01/Staphylococcus sp. HMSC055H07/Staphylococcus sp. HMSC58B01]	2|1239|91061|1385|90964|1279|1280	1
ref_mOTU_v31_00513	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Ralstonia|s__Ralstonia sp. MD27	2|1224|28216|80840|119060|48736|1676617	6
ref_mOTU_v31_00572	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus constellatus	2|1239|91061|186826|1300|1301|76860	2
ref_mOTU_v31_00719	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthella|s__Eggerthella lenta [Eggerthella sp. 1_3_56FAA/Eggerthella lenta/Eggerthella sp. HGA1]	2|201174|84998|1643822|1643826|84111|84112	1
ref_mOTU_v31_00856	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes hadrus [uncultured Eubacterium sp./Anaerostipes hadrus]	2|1239|186801|186802|186803|207244|649756	826
ref_mOTU_v31_00857	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes hadrus [Lachnospiraceae bacterium CAG:25/Firmicutes bacterium CAG:552_39_19/Clostridiales bacterium Nov_37_41/Clostridium sp. SS2/1/Anaerostipes hadrus/Lachnospiraceae bacterium 5_1_63FAA]	2|1239|186801|186802|186803|207244|649756	557
ref_mOTU_v31_00859	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia faecis [Roseburia sp. CAG:18/Roseburia sp. CAG:18_43_25/Roseburia faecis]	2|1239|186801|186802|186803|841|301302	2
ref_mOTU_v31_00860	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia inulinivorans [Roseburia inulinivorans CAG:15/Roseburia inulinivorans]	2|1239|186801|186802|186803|841|360807	5
ref_mOTU_v31_00861	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia hominis	2|1239|186801|186802|186803|841|301301	2
ref_mOTU_v31_01068	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus parainfluenzae	2|1224|1236|135625|712|724|729	5
