#Classification	S-5-DICUND-G_bracken_F.kreport
k__Bacteria	322174
k__Bacteria|p__Proteobacteria	164486
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	112804
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	109807
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	109807
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2440
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae	1922
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	515
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Hafniaceae	2
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Pectobacteriaceae	1
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	468
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae	451
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae	17
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	60
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales|f__Steroidobacteraceae	59
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales|f__Sinobacteraceae	1
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	18
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Legionellaceae	18
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	5
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales|f__Ectothiorhodospiraceae	5
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	3
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae	3
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	37724
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	17031
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Bradyrhizobiaceae	4002
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae	9411
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Lichenihabitantaceae	1791
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae	429
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Phyllobacteriaceae	657
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Aurantimonadaceae	225
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylocystaceae	221
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Beijerinckiaceae	34
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Boseaceae	55
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Chelatococcaceae	122
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Hyphomicrobiaceae	17
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Devosiaceae	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Xanthobacteraceae	25
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Brucellaceae	37
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	11844
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae	11081
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingosinicellaceae	95
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae	667
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	6779
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae	5227
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillaceae	678
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Azospirillaceae	859
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Elioraeaceae	13
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	2047
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae	2047
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	16
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae	16
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	5
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Rickettsiaceae	4
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae	1
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	13624
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	13305
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	10224
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae	1490
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae	1589
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae	2
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	316
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Chromobacteriaceae	316
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	2
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Methylophilaceae	2
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	304
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	304
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Polyangiaceae	250
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Labilitrichaceae	28
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Myxococcaceae	25
k__Bacteria|p__Proteobacteria|c__Oligoflexia	28
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Silvanigrellales	20
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Silvanigrellales|f__Silvanigrellaceae	20
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales	8
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales|f__Bdellovibrionaceae	8
k__Bacteria|p__Cyanobacteria	110291
k__Bacteria|p__Cyanobacteria|o__Nostocales	109950
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Nostocaceae	101680
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Calotrichaceae	1394
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Scytonemataceae	186
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Aphanizomenonaceae	2602
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Rivulariaceae	3893
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Hapalosiphonaceae	44
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Tolypothrichaceae	147
k__Bacteria|p__Cyanobacteria|o__Pseudanabaenales	227
k__Bacteria|p__Cyanobacteria|o__Pseudanabaenales|f__Leptolyngbyaceae	227
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales	104
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales|f__Coleofasciculaceae	61
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales|f__Oscillatoriaceae	9
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales|f__Microcoleaceae	33
k__Bacteria|p__Cyanobacteria|o__Chroococcales	2
k__Bacteria|p__Cyanobacteria|o__Chroococcales|f__Chroococcaceae	2
k__Bacteria|p__Cyanobacteria|o__Synechococcales	6
k__Bacteria|p__Cyanobacteria|o__Synechococcales|f__Synechococcaceae	5
k__Bacteria|p__Cyanobacteria|o__Synechococcales|f__Chamaesiphonaceae	1
k__Bacteria|p__Actinobacteria	36739
k__Bacteria|p__Actinobacteria|c__Actinomycetia	33150
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	29704
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales|f__Streptomycetaceae	29704
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	1903
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Mycobacteriaceae	1588
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Nocardiaceae	55
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Gordoniaceae	137
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae	122
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	847
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae	845
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Cellulomonadaceae	2
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	452
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae	441
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Nocardioidaceae	5
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Actinopolymorphaceae	5
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	106
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales|f__Pseudonocardiaceae	106
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales	51
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales|f__Catenulisporaceae	51
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales	47
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales|f__Thermomonosporaceae	35
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales|f__Streptosporangiaceae	11
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Frankiales	14
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Frankiales|f__Frankiaceae	14
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	13
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales|f__Micromonosporaceae	13
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jatrophihabitantales	5
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jatrophihabitantales|f__Jatrophihabitantaceae	5
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Candidatus_Nanopelagicales	5
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Candidatus_Nanopelagicales|f__Candidatus_Nanopelagicaceae	5
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	2652
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales	2652
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales|f__Conexibacteraceae	2652
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	877
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales	877
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales|f__Baekduiaceae	877
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	58
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales	58
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__Iamiaceae	58
k__Bacteria|p__Firmicutes	2831
k__Bacteria|p__Firmicutes|c__Bacilli	2802
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	1911
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae	1909
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae	2
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	891
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	461
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	430
k__Bacteria|p__Firmicutes|c__Clostridia	28
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	28
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	28
k__Bacteria|p__Armatimonadetes	8
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia	8
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia|o__Fimbriimonadales	8
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia|o__Fimbriimonadales|f__Fimbriimonadaceae	8
k__Bacteria|p__Acidobacteria	6522
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	6522
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	6509
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae	6509
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Bryobacterales	13
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Bryobacterales|f__Bryobacteraceae	13
k__Bacteria|p__Bacteroidetes	824
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	777
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	777
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae	777
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	34
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	34
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae	34
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	7
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales	7
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae	7
k__Bacteria|p__Bacteroidetes|c__Cytophagia	6
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales	6
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae	6
k__Bacteria|p__Planctomycetes	421
k__Bacteria|p__Planctomycetes|c__Planctomycetia	413
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Isosphaerales	172
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Isosphaerales|f__Isosphaeraceae	172
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Gemmatales	167
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Gemmatales|f__Gemmataceae	167
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales	73
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Planctomycetaceae	73
k__Bacteria|p__Planctomycetes|c__Phycisphaerae	8
k__Bacteria|p__Planctomycetes|c__Phycisphaerae|o__Tepidisphaerales	8
k__Bacteria|p__Planctomycetes|c__Phycisphaerae|o__Tepidisphaerales|f__Tepidisphaeraceae	8
k__Bacteria|p__Verrucomicrobia	36
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	27
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	27
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	27
k__Bacteria|p__Verrucomicrobia|c__Opitutae	9
k__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Opitutales	9
k__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Opitutales|f__Opitutaceae	9
k__Bacteria|p__Chlamydiae	5
k__Bacteria|p__Chlamydiae|c__Chlamydiia	5
k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Parachlamydiales	5
k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Parachlamydiales|f__Parachlamydiaceae	3
k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Parachlamydiales|f__Criblamydiaceae	2
k__Bacteria|c__Candidatus_Babeliae	5
k__Bacteria|c__Candidatus_Babeliae|o__Candidatus_Babeliales	5
k__Bacteria|c__Candidatus_Babeliae|o__Candidatus_Babeliales|f__Candidatus_Babeliaceae	5
k__Eukaryota	14921
k__Eukaryota|k__Viridiplantae	12960
k__Eukaryota|k__Viridiplantae|p__Streptophyta	12958
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	12593
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida|o__Funariales	12593
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida|o__Funariales|f__Funariaceae	12593
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	364
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Rosales	291
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Rosales|f__Rosaceae	291
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fabales	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fabales|f__Fabaceae	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Cucurbitales	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Cucurbitales|f__Cucurbitaceae	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fagales	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fagales|f__Fagaceae	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Vitales	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Vitales|f__Vitaceae	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Caryophyllales	17
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Caryophyllales|f__Chenopodiaceae	17
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Zingiberales	43
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Zingiberales|f__Zingiberaceae	43
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales	8
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales|f__Poaceae	8
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	1
k__Eukaryota|k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae	1
k__Eukaryota|k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chlamydomonadales	1
k__Eukaryota|k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chlamydomonadales|f__Chlamydomonadaceae	1
k__Eukaryota|k__Metazoa	1644
k__Eukaryota|k__Metazoa|p__Chordata	1644
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	1644
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	1644
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates|f__Hominidae	1644
k__Eukaryota|k__Fungi	312
k__Eukaryota|k__Fungi|p__Ascomycota	265
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	91
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Glomerellales	57
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Glomerellales|f__Glomerellaceae	57
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales	22
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Clavicipitaceae	9
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Nectriaceae	13
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales	11
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Sordariaceae	11
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	68
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales	68
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Sclerotiniaceae	68
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	75
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales	75
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Trichocomaceae	74
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae	1
k__Eukaryota|k__Fungi|p__Ascomycota|c__Dothideomycetes	29
k__Eukaryota|k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Mycosphaerellales	29
k__Eukaryota|k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Mycosphaerellales|f__Mycosphaerellaceae	29
k__Eukaryota|k__Fungi|p__Basidiomycota	47
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes	47
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales	30
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Marasmiaceae	30
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Cantharellales	16
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Cantharellales|f__Ceratobasidiaceae	16
k__Eukaryota|p__Euglenozoa	3
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea	3
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea|o__Trypanosomatida	3
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea|o__Trypanosomatida|f__Trypanosomatidae	3
k__Eukaryota|p__Apicomplexa	1
k__Eukaryota|p__Apicomplexa|c__Aconoidasida	1
k__Eukaryota|p__Apicomplexa|c__Aconoidasida|o__Haemosporida	1
k__Eukaryota|p__Apicomplexa|c__Aconoidasida|o__Haemosporida|f__Plasmodiidae	1
