#Classification	S-9-POLCOM-B_bracken_O.kreport
k__Bacteria	36043
k__Bacteria|p__Proteobacteria	31669
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	15718
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	15718
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	11406
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	9361
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	1404
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	640
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	4539
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	1482
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	1422
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	623
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	1011
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	3
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	3
k__Bacteria|p__Actinobacteria	2708
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2708
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	1906
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	106
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	9
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	8
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	171
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	332
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	2
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales	171
k__Bacteria|p__Cyanobacteria	828
k__Bacteria|p__Cyanobacteria|o__Nostocales	828
k__Bacteria|p__Firmicutes	1
k__Bacteria|p__Firmicutes|c__Bacilli	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	1
k__Bacteria|p__Acidobacteria	624
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	624
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	624
k__Bacteria|p__Bacteroidetes	195
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	188
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	188
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	5
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	5
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	2
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales	2
k__Bacteria|p__Planctomycetes	14
k__Bacteria|p__Planctomycetes|c__Planctomycetia	14
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Gemmatales	14
k__Eukaryota	190
k__Eukaryota|k__Metazoa	138
k__Eukaryota|k__Metazoa|p__Chordata	138
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	138
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	138
k__Eukaryota|k__Fungi	4
k__Eukaryota|k__Fungi|p__Ascomycota	4
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	4
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales	4
k__Eukaryota|k__Viridiplantae	47
k__Eukaryota|k__Viridiplantae|p__Streptophyta	47
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	44
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida|o__Funariales	44
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	3
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Proteales	2
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Lamiales	1
k__Eukaryota|p__Euglenozoa	1
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea	1
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea|o__Trypanosomatida	1
k__Viruses	1
k__Viruses|k__Bamfordvirae	1
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	1
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota|c__Megaviricetes	1
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales	1
