Taxon	coef	adj.p	taxRank	database	dataset	DAA_tool
Actinomycetales bacterium	2.35798089180361	0.0677602570340899	Species	SM_genbank-2022.03	Moss	radEmu
Actinomycetospora endophytica	-7.477587952929363	0.0032389321555291225	Species	SM_genbank-2022.03	Moss	radEmu
Actinoplanes durhamensis	-7.513353946608493	0.004421489303174033	Species	SM_genbank-2022.03	Moss	radEmu
Bradyrhizobium canariense	-2.189722062286963	1.8905950823862877e-5	Species	SM_genbank-2022.03	Moss	radEmu
Bradyrhizobium sp.	-2.0574875595885875	6.616462973939244e-5	Species	SM_genbank-2022.03	Moss	radEmu
Bradyrhizobium sp. S2-11-2	-7.321234879958218	3.0404452503029675e-4	Species	SM_genbank-2022.03	Moss	radEmu
Deltaproteobacteria bacterium	-7.37207570371537	0.0028262683224539514	Species	SM_genbank-2022.03	Moss	radEmu
Desmonostoc muscorum	2.6907918672279694	0.02576163993674774	Species	SM_genbank-2022.03	Moss	radEmu
Enhydrobacter aerosaccus	-2.530666849250464	2.8095143557803673e-5	Species	SM_genbank-2022.03	Moss	radEmu
Gammaproteobacteria bacterium	2.1001950661167794	0.03459051249818697	Species	SM_genbank-2022.03	Moss	radEmu
Iningainema tapete	-7.649973086627583	0.00569841740233317	Species	SM_genbank-2022.03	Moss	radEmu
Labilithrix sp.	-2.5502481515521165	0.002646481498051442	Species	SM_genbank-2022.03	Moss	radEmu
Luteibacter sp. dw 328	-2.4623843434430346	0.08164024750687855	Species	SM_genbank-2022.03	Moss	radEmu
Methylobacterium cerastii	5.6914125335676315	6.880534123371241e-4	Species	SM_genbank-2022.03	Moss	radEmu
Methylobacterium sp. WL119	2.3955314650025383	1.0479428916860265e-5	Species	SM_genbank-2022.03	Moss	radEmu
Methylobacterium sp. WL12	3.5805417450665376	0.0017894414666225782	Species	SM_genbank-2022.03	Moss	radEmu
Methylobacterium sp. WL120	2.6016387582553566	0.010106398341010223	Species	SM_genbank-2022.03	Moss	radEmu
Methylobacterium sp. WL6	2.1823636321863624	5.338492772941156e-5	Species	SM_genbank-2022.03	Moss	radEmu
Nostoc sp. NMS4	2.094823774868933	0.006488985881900053	Species	SM_genbank-2022.03	Moss	radEmu
Nostoc sp. NOS(2021)	2.028186409648781	0.03379842158238459	Species	SM_genbank-2022.03	Moss	radEmu
Phenylobacterium sp.	-7.448961806207478	2.5084256553604365e-4	Species	SM_genbank-2022.03	Moss	radEmu
Polymorphobacter sp. PAMC 29362	-7.495928815815395	0.008727542211649592	Species	SM_genbank-2022.03	Moss	radEmu
Rhizobacter sp.	-7.89855958175608	0.0010959969407032305	Species	SM_genbank-2022.03	Moss	radEmu
Rhizobiales bacterium dw 265	-3.1374777133757594	2.143244633107279e-4	Species	SM_genbank-2022.03	Moss	radEmu
Rhizobium sp. B21/90	4.017226318099902	0.06755299482208593	Species	SM_genbank-2022.03	Moss	radEmu
Rhizobium sp. L245/93	3.9709093634281616	1.8639028660583212e-4	Species	SM_genbank-2022.03	Moss	radEmu
Rhizobium sp. VS19-DR104.1	2.008674896161283	0.007440749862057288	Species	SM_genbank-2022.03	Moss	radEmu
Rhizobium tumorigenes	9.62209762415475	1.3972565665647355e-4	Species	SM_genbank-2022.03	Moss	radEmu
Rhodanobacter sp. ANJX3	2.838535043202969	0.003595497574246557	Species	SM_genbank-2022.03	Moss	radEmu
Rhodanobacter sp. K2T2	3.311430268211074	1.929483340724906e-6	Species	SM_genbank-2022.03	Moss	radEmu
Sphingomonas bacterium	3.4020439535194016	2.215866357276705e-6	Species	SM_genbank-2022.03	Moss	radEmu
Sphingomonas sp. PAMC 26605	2.5781942359394376	4.5990656863050374e-5	Species	SM_genbank-2022.03	Moss	radEmu
Streptomyces purpurogeneiscleroticus	2.468363526734721	0.007138421293683058	Species	SM_genbank-2022.03	Moss	radEmu
Xanthobacteraceae bacterium	-7.145596634520519	7.867247997547724e-4	Species	SM_genbank-2022.03	Moss	radEmu
uncultured Alphaproteobacteria bacterium	-8.467084587775023	1.629966211600736e-4	Species	SM_genbank-2022.03	Moss	radEmu
uncultured Hyphomicrobiales bacterium	-7.259400994369406	0.002839037700410651	Species	SM_genbank-2022.03	Moss	radEmu
uncultured Mucilaginibacter sp.	-7.689041533343774	0.001089690195355112	Species	SM_genbank-2022.03	Moss	radEmu
uncultured Rhodospirillales bacterium	2.6206312284135898	1.126363554423446e-5	Species	SM_genbank-2022.03	Moss	radEmu
Actinomycetospora endophytica	-7.218623146650157	4.2778306545362407e-4	Species	SM_gtdb-rs214-full	Moss	radEmu
Actinoplanes durhamensis	-2.1236855768518557	0.004500366885969313	Species	SM_gtdb-rs214-full	Moss	radEmu
BOG-1363 sp013821615	-2.152456796927264	0.00354962739998687	Species	SM_gtdb-rs214-full	Moss	radEmu
