# git tag version 3.1.0 |  motus version 3.1.0 | map_tax 3.1.0 | gene database: nr3.1.0 | calc_mgc 3.1.0 -y insert.scaled_counts -l 75 | calc_motu 3.1.0 -k mOTU -C no_CAMI -g 3 -c -p | taxonomy: ref_mOTU_3.1.0 meta_mOTU_3.1.0
# call: python /nfs3_ib/nfs-ip34/home/def-ilafores/programs/motu-profiler_env/bin/motus profile -f /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-8-DICUND-B/S-8-DICUND-B_paired_1.fastq.gz -r /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-8-DICUND-B/S-8-DICUND-B_paired_2.fastq.gz -s /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-8-DICUND-B/S-8-DICUND-B_unmatched_1.fastq.gz -s /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-8-DICUND-B/S-8-DICUND-B_unmatched_2.fastq.gz -n S-8-DICUND-B -t 24 -c -p -k mOTU -q
#mOTU	consensus_taxonomy	NCBI_tax_id	S-8-DICUND-B
ref_mOTU_v31_02840	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Paraburkholderia|s__Paraburkholderia phenazinium	2|1224|28216|80840|119060|1822464|60549	2
ref_mOTU_v31_11294	k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella|s__Granulicella pectinivorans	2|57723|204432|204433|204434|940557|474950	1
ext_mOTU_v31_14983	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order incertae sedis|f__Actinobacteria fam. incertae sedis|g__Actinobacteria gen. incertae sedis|s__Actinobacteria species incertae sedis	2|201174|1760|NA|NA|NA|NA	1
ext_mOTU_v31_22737	k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidobacteriaceae gen. incertae sedis|s__Acidobacteriaceae species incertae sedis	2|57723|204432|204433|204434|NA|NA	2
ext_mOTU_v31_22739	k__Bacteria|p__Acidobacteria|c__Acidobacteria class incertae sedis|o__Acidobacteria order incertae sedis|f__Acidobacteria fam. incertae sedis|g__Acidobacteria gen. incertae sedis|s__Acidobacteria species incertae sedis	2|57723|NA|NA|NA|NA|NA	1
ext_mOTU_v31_22748	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Gammaproteobacteria order incertae sedis|f__Gammaproteobacteria fam. incertae sedis|g__Gammaproteobacteria gen. incertae sedis|s__Gammaproteobacteria species incertae sedis	2|1224|1236|NA|NA|NA|NA	1
ext_mOTU_v31_22760	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptosporangiales|f__Streptosporangiales fam. incertae sedis|g__Streptosporangiales gen. incertae sedis|s__Streptosporangiales species incertae sedis	2|201174|1760|85012|NA|NA|NA	1
ext_mOTU_v31_22773	k__Bacteria|p__Acidobacteria|c__Acidobacteria class incertae sedis|o__Acidobacteria order incertae sedis|f__Acidobacteria fam. incertae sedis|g__Acidobacteria gen. incertae sedis|s__Acidobacteria species incertae sedis	2|57723|NA|NA|NA|NA|NA	1
ext_mOTU_v31_29871	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptosporangiales|f__Streptosporangiales fam. incertae sedis|g__Streptosporangiales gen. incertae sedis|s__Streptosporangiales species incertae sedis	2|201174|1760|85012|NA|NA|NA	1
ext_mOTU_v31_32663	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiales fam. incertae sedis|g__Rhizobiales gen. incertae sedis|s__Rhizobiales species incertae sedis	2|1224|28211|356|NA|NA|NA	1
ext_mOTU_v31_32711	k__Bacteria|p__Acidobacteria|c__Acidobacteria class incertae sedis|o__Acidobacteria order incertae sedis|f__Acidobacteria fam. incertae sedis|g__Acidobacteria gen. incertae sedis|s__Acidobacteria species incertae sedis	2|57723|NA|NA|NA|NA|NA	1
unassigned	unassigned	NA	56
