./boreal_moss/preproc/S-25-POLPIL-B/S-25-POLPIL-B_paired_1.fastq.gz  FASTQ   DNA   11,346,180  1,593,836,087       50    140.5      151
./boreal_moss/preproc/S-4-POLCOM-G/S-4-POLCOM-G_paired_1.fastq.gz    FASTQ   DNA    7,857,863  1,091,620,128       50    138.9      151
./boreal_moss/preproc/S-7-POLPIL-B/S-7-POLPIL-B_paired_1.fastq.gz    FASTQ   DNA   11,541,277  1,613,106,026       50    139.8      151
./boreal_moss/preproc/S-8-POLPIL-B/S-8-POLPIL-B_paired_1.fastq.gz    FASTQ   DNA   11,979,677  1,677,877,543       50    140.1      151
./boreal_moss/preproc/S-16-POLJUN-B/S-16-POLJUN-B_paired_1.fastq.gz  FASTQ   DNA    7,889,424  1,102,503,048       50    139.7      151
./boreal_moss/preproc/S-19-POLJUN-B/S-19-POLJUN-B_paired_1.fastq.gz  FASTQ   DNA   11,293,276  1,581,576,417       50      140      151
./boreal_moss/preproc/S-22-POLJUN-G/S-22-POLJUN-G_paired_1.fastq.gz  FASTQ   DNA    7,493,964  1,041,821,907       50      139      151
./boreal_moss/preproc/S-4-DICUND-G/S-4-DICUND-G_paired_1.fastq.gz    FASTQ   DNA   10,222,207  1,420,315,818       50    138.9      151
./boreal_moss/preproc/S-11-POLPIL-G/S-11-POLPIL-G_paired_1.fastq.gz  FASTQ   DNA   10,218,754  1,418,680,090       50    138.8      151
./boreal_moss/preproc/N-2-TORTOR-G/N-2-TORTOR-G_paired_1.fastq.gz    FASTQ   DNA    8,413,935  1,171,306,891       50    139.2      151
./boreal_moss/preproc/S-3-POLPIL-G/S-3-POLPIL-G_paired_1.fastq.gz    FASTQ   DNA    8,991,854  1,251,090,122       50    139.1      151
./boreal_moss/preproc/S-12-POLJUN-G/S-12-POLJUN-G_paired_1.fastq.gz  FASTQ   DNA    8,880,174  1,236,521,444       50    139.2      151
./boreal_moss/preproc/S-21-POLPIL-G/S-21-POLPIL-G_paired_1.fastq.gz  FASTQ   DNA    8,431,239  1,167,417,046       50    138.5      151
./boreal_moss/preproc/S-15-POLPIL-B/S-15-POLPIL-B_paired_1.fastq.gz  FASTQ   DNA   10,889,341  1,524,211,599       50      140      151
./boreal_moss/preproc/S-26-POLJUN-B/S-26-POLJUN-B_paired_1.fastq.gz  FASTQ   DNA    8,572,276  1,199,355,682       50    139.9      151
./boreal_moss/preproc/S-25-POLJUN-G/S-25-POLJUN-G_paired_1.fastq.gz  FASTQ   DNA    7,723,755  1,073,040,459       50    138.9      151
./boreal_moss/preproc/S-7-POLJUN-G/S-7-POLJUN-G_paired_1.fastq.gz    FASTQ   DNA    8,621,075  1,198,112,907       50      139      151
./boreal_moss/preproc/S-8-POLJUN-G/S-8-POLJUN-G_paired_1.fastq.gz    FASTQ   DNA    7,422,396  1,033,249,836       50    139.2      151
./boreal_moss/preproc/S-3-DICUND-G/S-3-DICUND-G_paired_1.fastq.gz    FASTQ   DNA    9,984,044  1,388,371,521       50    139.1      151
./boreal_moss/preproc/S-16-POLPIL-G/S-16-POLPIL-G_paired_1.fastq.gz  FASTQ   DNA   10,899,716  1,511,031,733       50    138.6      151
./boreal_moss/preproc/S-19-POLPIL-G/S-19-POLPIL-G_paired_1.fastq.gz  FASTQ   DNA    9,819,977  1,351,703,383       50    137.6      151
./boreal_moss/preproc/S-22-POLPIL-B/S-22-POLPIL-B_paired_1.fastq.gz  FASTQ   DNA   11,872,963  1,660,520,505       50    139.9      151
./boreal_moss/preproc/S-3-POLCOM-G/S-3-POLCOM-G_paired_1.fastq.gz    FASTQ   DNA    7,438,490  1,031,934,545       50    138.7      151
./boreal_moss/preproc/S-11-POLJUN-B/S-11-POLJUN-B_paired_1.fastq.gz  FASTQ   DNA    9,357,598  1,308,316,710       50    139.8      151
./boreal_moss/preproc/S-7-DICUND-B/S-7-DICUND-B_paired_1.fastq.gz    FASTQ   DNA   10,939,859  1,519,024,335       50    138.9      151
./boreal_moss/preproc/S-8-DICUND-B/S-8-DICUND-B_paired_1.fastq.gz    FASTQ   DNA   11,771,564  1,646,638,265       50    139.9      151
./boreal_moss/preproc/S-3-POLJUN-B/S-3-POLJUN-B_paired_1.fastq.gz    FASTQ   DNA    9,863,242  1,379,025,521       50    139.8      151
./boreal_moss/preproc/S-12-POLPIL-B/S-12-POLPIL-B_paired_1.fastq.gz  FASTQ   DNA   10,837,142  1,507,996,987       50    139.2      151
./boreal_moss/preproc/S-21-POLJUN-B/S-21-POLJUN-B_paired_1.fastq.gz  FASTQ   DNA   10,283,302  1,437,966,324       50    139.8      151
./boreal_moss/preproc/S-4-POLPIL-G/S-4-POLPIL-G_paired_1.fastq.gz    FASTQ   DNA    9,125,035  1,265,829,785       50    138.7      151
./boreal_moss/preproc/S-15-POLJUN-G/S-15-POLJUN-G_paired_1.fastq.gz  FASTQ   DNA    8,379,716  1,166,959,043       50    139.3      151
