#Classification	S-6-DICUND-G_bracken_G.kreport
k__Bacteria	16142
k__Bacteria|p__Cyanobacteria	7504
k__Bacteria|p__Cyanobacteria|o__Nostocales	7504
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Nostocaceae	7305
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Nostocaceae|g__Nostoc	6187
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Nostocaceae|g__Anabaena	1081
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Nostocaceae|g__Cylindrospermum	36
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Aphanizomenonaceae	171
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Aphanizomenonaceae|g__Nodularia	125
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Aphanizomenonaceae|g__Anabaenopsis	46
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Calotrichaceae	23
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Calotrichaceae|g__Calothrix	23
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Scytonemataceae	4
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Scytonemataceae|g__Brasilonema	4
k__Bacteria|p__Actinobacteria	3939
k__Bacteria|p__Actinobacteria|c__Actinomycetia	3939
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	3873
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales|f__Streptomycetaceae	3873
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales|f__Streptomycetaceae|g__Streptacidiphilus	3873
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	50
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Mycobacteriaceae	49
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacterium	47
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium	2
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Nocardiaceae	1
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Nocardiaceae|g__Rhodococcus	1
