#Classification	S-27-POLPIL-B_bracken_F.kreport
k__Bacteria	22491
k__Bacteria|p__Proteobacteria	15994
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	10945
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	10945
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	10939
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae	6
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	4404
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	2219
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae	1816
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Bradyrhizobiaceae	208
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae	109
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Lichenihabitantaceae	24
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Phyllobacteriaceae	59
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	1721
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae	1721
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	437
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae	437
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	26
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae	26
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	643
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	416
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae	416
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	142
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	142
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	83
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae	83
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	1
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae	1
k__Bacteria|p__Cyanobacteria	3386
k__Bacteria|p__Cyanobacteria|o__Nostocales	3311
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Nostocaceae	3001
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Scytonemataceae	109
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Calotrichaceae	133
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Hapalosiphonaceae	4
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Aphanizomenonaceae	62
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales	74
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales|f__Coleofasciculaceae	74
k__Bacteria|p__Actinobacteria	1900
k__Bacteria|p__Actinobacteria|c__Actinomycetia	1900
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	817
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Mycobacteriaceae	816
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Gordoniaceae	1
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	813
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae	812
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Nocardioidaceae	1
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	124
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales|f__Nakamurellaceae	124
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales	121
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales|f__Catenulisporaceae	121
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	19
