#Classification	S-27-POLPIL-B_bracken_O.kreport
k__Bacteria	22498
k__Bacteria|p__Proteobacteria	15995
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	10945
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	10945
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	4404
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	2219
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	437
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	1721
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	26
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	643
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	142
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	416
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	1
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	83
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	1
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	1
k__Bacteria|p__Cyanobacteria	3386
k__Bacteria|p__Cyanobacteria|o__Nostocales	3311
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales	74
k__Bacteria|p__Actinobacteria	1906
k__Bacteria|p__Actinobacteria|c__Actinomycetia	1906
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	817
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	19
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	813
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	7
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	124
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	2
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales	121
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	1
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	1
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria|o__Ktedonobacterales	1
k__Bacteria|p__Firmicutes	1
k__Bacteria|p__Firmicutes|c__Bacilli	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	1
k__Bacteria|p__Acidobacteria	1097
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	1097
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	1097
k__Bacteria|p__Bacteroidetes	81
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	80
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	80
k__Bacteria|p__Bacteroidetes|c__Cytophagia	1
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales	1
k__Bacteria|p__Planctomycetes	29
k__Bacteria|p__Planctomycetes|c__Planctomycetia	29
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Gemmatales	29
k__Bacteria|p__Verrucomicrobia	1
k__Bacteria|p__Verrucomicrobia|c__Opitutae	1
k__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Opitutales	1
k__Eukaryota	572
k__Eukaryota|k__Metazoa	358
k__Eukaryota|k__Metazoa|p__Chordata	358
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	358
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	358
k__Eukaryota|k__Fungi	45
k__Eukaryota|k__Fungi|p__Ascomycota	37
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	34
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales	34
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	2
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales	2
k__Eukaryota|k__Fungi|p__Basidiomycota	8
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes	8
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales	8
k__Eukaryota|k__Viridiplantae	169
k__Eukaryota|k__Viridiplantae|p__Streptophyta	169
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	167
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida|o__Funariales	167
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	2
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Caryophyllales	2
