#Classification	S-11-POLPIL-G_bracken_F.kreport
k__Bacteria	15500
k__Bacteria|p__Proteobacteria	13142
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	6946
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	5872
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae	4734
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae	908
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Bradyrhizobiaceae	180
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Phyllobacteriaceae	48
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	1058
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae	1057
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingosinicellaceae	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	14
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae	14
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae	1
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	3869
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	3869
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	3749
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae	115
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae	4
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2326
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	1421
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	1421
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	590
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae	167
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae	422
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	315
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae	315
k__Bacteria|p__Actinobacteria	1297
k__Bacteria|p__Actinobacteria|c__Actinomycetia	1297
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	576
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Mycobacteriaceae	322
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Nocardiaceae	253
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Gordoniaceae	1
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	538
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales|f__Streptomycetaceae	538
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	65
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae	65
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	35
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales|f__Pseudonocardiaceae	35
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	34
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae	34
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	30
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales|f__Nakamurellaceae	30
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales	17
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales|f__Catenulisporaceae	17
k__Bacteria|p__Cyanobacteria	429
k__Bacteria|p__Cyanobacteria|o__Nostocales	429
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Nostocaceae	394
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Hapalosiphonaceae	4
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Scytonemataceae	30
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	1
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria|o__Ktedonobacterales	1
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria|o__Ktedonobacterales|f__Ktedonosporobacteraceae	1
k__Bacteria|p__Acidobacteria	362
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	362
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	362
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae	362
k__Bacteria|p__Bacteroidetes	191
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	189
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	189
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae	189
k__Bacteria|p__Bacteroidetes|c__Cytophagia	2
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales	2
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae	2
k__Bacteria|p__Planctomycetes	75
k__Bacteria|p__Planctomycetes|c__Planctomycetia	75
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Gemmatales	72
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Gemmatales|f__Gemmataceae	72
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Isosphaerales	2
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Isosphaerales|f__Isosphaeraceae	2
k__Eukaryota	1741
k__Eukaryota|k__Viridiplantae	1545
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1545
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	1544
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida|o__Funariales	1544
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida|o__Funariales|f__Funariaceae	1544
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Rosales	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Rosales|f__Rosaceae	1
k__Eukaryota|k__Metazoa	153
k__Eukaryota|k__Metazoa|p__Chordata	153
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	153
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	153
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates|f__Hominidae	153
k__Eukaryota|k__Fungi	42
k__Eukaryota|k__Fungi|p__Ascomycota	42
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	21
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales	21
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Trichocomaceae	21
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	12
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales	12
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Sclerotiniaceae	12
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	8
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales	5
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Sordariaceae	5
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales	2
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Clavicipitaceae	2
