#Classification	S-19-POLJUN-B_bracken_O.kreport
k__Bacteria	59367
k__Bacteria|p__Proteobacteria	28652
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	11186
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	8673
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	2510
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	1
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	10959
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	10959
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	6504
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	5891
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	264
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	329
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	7
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	12
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	2
k__Bacteria|p__Cyanobacteria	19632
k__Bacteria|p__Cyanobacteria|o__Nostocales	19537
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales	94
k__Bacteria|p__Actinobacteria	3236
k__Bacteria|p__Actinobacteria|c__Actinomycetia	3236
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	2204
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	69
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	356
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	14
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	13
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	121
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales	455
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	2
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	1
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria|o__Ktedonobacterales	1
k__Bacteria|p__Firmicutes	1
k__Bacteria|p__Firmicutes|c__Bacilli	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	1
k__Bacteria|p__Acidobacteria	5368
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	5368
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	5368
k__Bacteria|p__Bacteroidetes	2417
k__Bacteria|p__Bacteroidetes|c__Cytophagia	2177
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales	2177
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	228
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	228
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	11
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales	11
k__Bacteria|p__Planctomycetes	57
k__Bacteria|p__Planctomycetes|c__Planctomycetia	57
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Gemmatales	49
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Isosphaerales	7
k__Bacteria|p__Chlamydiae	1
k__Bacteria|p__Chlamydiae|c__Chlamydiia	1
k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Parachlamydiales	1
k__Eukaryota	308
k__Eukaryota|k__Metazoa	163
k__Eukaryota|k__Metazoa|p__Chordata	163
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	163
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	163
k__Eukaryota|k__Fungi	33
k__Eukaryota|k__Fungi|p__Basidiomycota	17
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes	15
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales	15
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Ustilaginomycetes	1
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Ustilaginomycetes|o__Ustilaginales	1
k__Eukaryota|k__Fungi|p__Ascomycota	16
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	16
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales	16
k__Eukaryota|k__Viridiplantae	111
k__Eukaryota|k__Viridiplantae|p__Streptophyta	111
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	105
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida|o__Funariales	105
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	5
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Rosales	5
