feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Blautia.massiliensis	NAFLD	Negative	-0.108814061302454	0.0346512675734063	35	16	0.00354889807441694	0.0742998267483915
Fusicatenibacter.saccharivorans	NAFLD	Negative	-0.10012794372852	0.0324492148091889	35	19	0.00409225550807273	0.0742998267483915
Phocaeicola.vulgatus	NAFLD	Negative	0.169014716497615	0.0479175834623674	35	16	0.00125841311813022	0.0742998267483915
Romboutsia.timonensis	NAFLD	Negative	-0.0714352564500232	0.023175519081418	35	9	0.00412776815268841	0.0742998267483915
Bacteroides.ovatus	NAFLD	Negative	0.0820493191096095	0.0295254978680302	35	12	0.0089313996118061	0.0803825965062549
Bifidobacterium.adolescentis	NAFLD	Negative	-0.126322801601035	0.0441869269109025	35	18	0.00731376712908437	0.0803825965062549
Blautia.faecis	NAFLD	Negative	-0.0552943211728884	0.0198153155359001	35	8	0.0086784143634707	0.0803825965062549
Clostridiales.bacterium.KLE1615	NAFLD	Negative	-0.0554968470620551	0.0190083986994383	35	6	0.00627201165893841	0.0803825965062549
Collinsella.aerofaciens	NAFLD	Negative	-0.0683919702861289	0.0258437698185331	35	12	0.0123703950937088	0.0989631607496701
Bacteroides.stercoris	NAFLD	Negative	0.0742144936944413	0.0289104119115526	35	6	0.0149774683966312	0.107837772455745
Ligilactobacillus.ruminis	NAFLD	Negative	-0.0661425845081537	0.0267526661058059	35	5	0.0187483487415856	0.122716464490378
Prevotella.copri.clade	NAFLD	Negative	0.173162972541384	0.0716929501599024	35	11	0.0214204793159533	0.12852287589572
Streptococcus.thermophilus	NAFLD	Negative	-0.0359829450699975	0.0159551717584138	35	4	0.0308719110935885	0.170982892210644
Blautia.wexlerae	NAFLD	Negative	-0.103884596199952	0.0485380653426586	35	23	0.0398161205024462	0.191117378411742
Catenibacterium.SGB4425	NAFLD	Negative	-0.0423999522762555	0.0196139542870136	35	4	0.0379903202026909	0.191117378411742
