feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Bacteroidaceae	Group	Negative	0.327026096866711	0.0708821085860033	35	35	5.73172489888852e-05	0.00757271386447284
Lachnospiraceae	Group	Negative	-0.270721259141609	0.061842019929184	35	35	0.000113875396458238	0.00757271386447284
Bacillaceae	Group	Negative	-0.00214939086331756	0.000609096213568418	35	35	0.00125283675298277	0.0533581547902045
Tannerellaceae	Group	Negative	0.0801949010147282	0.0233266501607586	35	35	0.00160475653504374	0.0533581547902045
Streptococcaceae	Group	Negative	-0.0596663161930619	0.0178392884138058	35	35	0.0020637281974653	0.0548951700525768
Nanosynbacteraceae	Group	Negative	-0.00208013122102311	0.000645967010101027	35	35	0.00287554839463401	0.0621133619294546
Odoribacteraceae	Group	Negative	0.032756906338833	0.0103283616723913	35	35	0.00326912431207656	0.0621133619294546
Acetobacteraceae	Group	Negative	-0.00255005298269155	0.000834933627621719	35	35	0.00444065363027391	0.06562299253627
Bifidobacteriaceae	Group	Negative	-0.157671558017011	0.0510788041053478	35	35	0.00408005582105712	0.06562299253627
Aerococcaceae	Group	Negative	-0.00195515260866962	0.000664276427656121	35	33	0.00590513487998881	0.0785382939038512
Burkholderiaceae	Group	Negative	-0.0131220819516897	0.00492112319236896	35	29	0.0117794131060239	0.120512457161629
Carnobacteriaceae	Group	Negative	-0.0027107279262308	0.00101033068196736	35	35	0.0113135790138017	0.120512457161629
Vallitaleaceae	Group	Negative	-0.000715841833056973	0.000264539871800695	35	33	0.0106943851000185	0.120512457161629
Methylobacteriaceae	Group	Negative	-0.00312484010200366	0.00119495563946981	35	16	0.0133457639234546	0.126784757272818
Coriobacteriaceae	Group	Negative	-0.0725420796720313	0.0294952317829488	35	35	0.0193256220341224	0.155228816931415
Fervidobacteriaceae	Group	Negative	-0.000197972637570819	8.08644764266351e-05	35	10	0.0198412773521358	0.155228816931415
Peptostreptococcaceae	Group	Negative	-0.0375392518112819	0.0150525789932407	35	35	0.0178226887404046	0.155228816931415
Bradyrhizobiaceae	Group	Negative	-0.00354418215160933	0.00156306443178205	35	13	0.0300371910746953	0.198547483005404
Fibrobacteraceae	Group	Negative	-7.53558692852264e-05	3.38286454385038e-05	35	4	0.0328424407978864	0.198547483005404
Micrococcaceae	Group	Negative	-0.0028791346402578	0.00126613871519943	35	35	0.0296015410691125	0.198547483005404
Prevotellaceae	Group	Negative	0.137449959984267	0.0615459661302417	35	35	0.0324266415918675	0.198547483005404
Pseudomonadaceae	Group	Negative	0.00528651784732418	0.00234963022078096	35	35	0.0312420017633521	0.198547483005404
Barnesiellaceae	Group	Negative	0.00582556336319308	0.00266347879483215	35	35	0.0359190598605495	0.201971596851714
Erysipelotrichaceae	Group	Negative	-0.0460996548993062	0.0214746011555622	35	35	0.0392604207993845	0.201971596851714
Phyllobacteriaceae	Group	Negative	-0.0118121623156521	0.00550910401161181	35	20	0.0394831693093575	0.201971596851714
Sulfurovaceae	Group	Negative	-0.000200003456428779	9.26559569218326e-05	35	5	0.0382548022531013	0.201971596851714
Beutenbergiaceae	Group	Negative	8.80051473990165e-05	4.17240390979325e-05	35	4	0.0425966467663719	0.20982792666398
Acidaminococcaceae	Group	Negative	0.0296715162965308	0.0143288173871706	35	35	0.0462777569255747	0.21981934539648
Actinomycetaceae	Group	Negative	-0.00546675190453997	0.0027017016021252	35	35	0.0511878306220346	0.223227432619966
Erythrobacteraceae	Group	Negative	-0.000206364831016464	0.000102881993257741	35	4	0.0531284976158475	0.223227432619966
Flavobacteriaceae	Group	Negative	0.000439125104699899	0.000220999552159029	35	19	0.0552764325968208	0.223227432619966
Pseudoalteromonadaceae	Group	Negative	9.47999237367077e-05	4.70240542226737e-05	35	4	0.0520023292187711	0.223227432619966
Treponemataceae	Group	Negative	-0.00335959998110963	0.00169160692230703	35	35	0.055387257717736	0.223227432619966
Nitrospiraceae	Group	Negative	0.00012500512077217	6.34812067219019e-05	35	6	0.057377775580875	0.224448357419305
Lactobacillaceae	Group	Negative	-0.0434063282892702	0.0224184702328457	35	35	0.061448726384178	0.233505160259876
Geobacteraceae	Group	Negative	-0.000394343701386845	0.00020538368812628	35	20	0.0635320462514185	0.234715615317741
