feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Blautia.sp..SC05B48	NAFLD	Negative	-0.0476939196128856	0.0120393473179891	35	35	0.000375258535671457	0.0233011465084389
Coprococcus.catus	NAFLD	Negative	-0.0623893663398863	0.0150885594134373	35	35	0.000229067453113342	0.0233011465084389
Gemella.haemolysans	NAFLD	Negative	-0.00142529077688436	0.000357979669221017	35	18	0.000354602199730884	0.0233011465084389
Phocaeicola.dorei	NAFLD	Negative	0.0374069812954486	0.00954153156867779	35	35	0.000421467766302513	0.0233011465084389
Streptococcus.sanguinis	NAFLD	Negative	-0.00427014673280458	0.00108008731034228	35	34	0.00038383664665332	0.0233011465084389
Streptococcus.sp..HSISS2	NAFLD	Negative	-0.00168217462444438	0.000422041505382914	35	14	0.000350286101442095	0.0233011465084389
X.Ruminococcus..torques	NAFLD	Negative	-0.137460139767615	0.0326261021565624	35	35	0.000182992098595405	0.0233011465084389
Phocaeicola.vulgatus	NAFLD	Negative	0.178054710945164	0.0468160622484287	35	35	0.000585939183136346	0.0283448079842207
Granulicatella.adiacens	NAFLD	Negative	-0.00322055048664948	0.000860373933623196	35	26	0.000693030878949931	0.029800327794847
Blautia.massiliensis	NAFLD	Negative	-0.123203740349308	0.0338802828096512	35	35	0.000931978820402785	0.0327887094087162
Minimicrobia.vallesae	NAFLD	Negative	-0.00223488775424959	0.000612291163239746	35	22	0.000897602902192712	0.0327887094087162
Anaerobutyricum.hallii	NAFLD	Negative	-0.112921849529999	0.0316418039388286	35	35	0.00112296282514531	0.0362155511109362
Bacteroides.stercoris	NAFLD	Negative	0.0670228715065313	0.0202695972436917	35	33	0.00228534975237836	0.0635982485155039
Blautia.obeum	NAFLD	Negative	-0.0322364144648863	0.0098335626971541	35	35	0.0024650483920738	0.0635982485155039
Phocaeicola.coprophilus	NAFLD	Negative	0.00754882920682956	0.00228590870569557	35	31	0.00231138438934869	0.0635982485155039
Bacteroides.sp..CACC.737	NAFLD	Negative	0.0102890458549089	0.00321867046321582	35	30	0.00305977520593884	0.0740083127936458
Berryella.intestinalis	NAFLD	Negative	-0.00294870967708792	0.000932621662538347	35	14	0.00335447393624501	0.0763636125486365
Clostridium.sp..SY8519	NAFLD	Negative	-0.0051055512436958	0.00163734388456939	35	34	0.00375980169253553	0.0808357363895139
Actinomyces.pacaensis	NAFLD	Negative	-0.000811755943501849	0.000263852552047465	35	21	0.00419052737465731	0.085354425999599
Bacteroides.sp..A1C1	NAFLD	Negative	0.016854531784593	0.00568574767354278	35	29	0.00559591487959521	0.0866247623361338
Bacteroides.thetaiotaomicron	NAFLD	Negative	0.0530313454212713	0.0178855718667236	35	35	0.0055860858864641	0.0866247623361338
Bifidobacterium.adolescentis	NAFLD	Negative	-0.0956488986034044	0.0320864070788232	35	35	0.00536264442806892	0.0866247623361338
Parabacteroides.distasonis	NAFLD	Negative	0.0418385785076825	0.0140202149866363	35	35	0.00531907003053849	0.0866247623361338
Parolsenella.catena	NAFLD	Negative	-0.00163913323529686	0.000551904576475009	35	14	0.00551617665559321	0.0866247623361338
Prevotella.buccalis	NAFLD	Negative	0.00454023400020489	0.00150368102224251	35	28	0.00485820843770444	0.0866247623361338
Bacteroides.ovatus	NAFLD	Negative	0.0586834786689539	0.0200317815091621	35	35	0.00611577791871397	0.0879959974531645
Lactococcus.cremoris	NAFLD	Negative	-0.00515905847581294	0.00176196601291505	35	32	0.00613925563626729	0.0879959974531645
Komagataeibacter.oboediens	NAFLD	Negative	-0.00136900676346959	0.000476766362317462	35	32	0.00708499993403296	0.0973961450803467
Schaalia.odontolytica	NAFLD	Negative	-0.00194762145172004	0.000681066985204725	35	31	0.00729841914038773	0.0973961450803467
Eubacterium.limosum	NAFLD	Negative	0.00618470277265153	0.00217840562419916	35	35	0.00768555304321012	0.0991436342574106
Streptococcus.mitis	NAFLD	Negative	-0.0026341233032819	0.000932944519032115	35	27	0.00799284779353295	0.0997816805192661
