#Classification	SRR20002375_bracken_F.kreport
k__Bacteria	592026
k__Bacteria|p__Proteobacteria	508540
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	490418
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	444175
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	444175
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	43932
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae	43932
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	1284
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	635
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae	534
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae	9
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae	105
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	451
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae	327
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae	123
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	362
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae	362
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	121
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae	121
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	27
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae	27
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	18
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales|f__Ectothiorhodospiraceae	18
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	18
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	18
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	14
