#Classification	S-7-DICUND-G_bracken_F.kreport
k__Bacteria	754172
k__Bacteria|p__Actinobacteria	222752
k__Bacteria|p__Actinobacteria|c__Actinomycetia	201857
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	101245
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales|f__Streptomycetaceae	101245
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	23494
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Mycobacteriaceae	18523
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Nocardiaceae	3815
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae	643
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Gordoniaceae	512
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Dietziaceae	1
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	16828
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales|f__Pseudonocardiaceae	16828
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales	12665
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales|f__Catenulisporaceae	12665
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	12434
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Nocardioidaceae	5108
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Actinopolymorphaceae	1175
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Kribbellaceae	962
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae	5187
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales	11253
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales|f__Thermomonosporaceae	6658
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales|f__Streptosporangiaceae	3543
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales|f__Nocardiopsaceae	1051
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	8591
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae	3008
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae	2255
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Cellulomonadaceae	1007
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Intrasporangiaceae	864
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Dermabacteraceae	69
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Ornithinimicrobiaceae	175
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Ruaniaceae	55
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Promicromonosporaceae	624
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Bogoriellaceae	124
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Brevibacteriaceae	80
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Dermacoccaceae	50
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Sanguibacteraceae	60
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Beutenbergiaceae	216
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	7053
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales|f__Micromonosporaceae	7053
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Frankiales	3786
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Frankiales|f__Frankiaceae	3786
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Geodermatophilales	1504
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Geodermatophilales|f__Geodermatophilaceae	1504
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	1131
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales|f__Nakamurellaceae	1131
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Sporichthyales	665
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Sporichthyales|f__Sporichthyaceae	665
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jiangellales	585
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jiangellales|f__Jiangellaceae	585
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jatrophihabitantales	261
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jatrophihabitantales|f__Jatrophihabitantaceae	261
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Kineosporiales	165
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Kineosporiales|f__Kineosporiaceae	165
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	56
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae	56
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Glycomycetales	43
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Glycomycetales|f__Glycomycetaceae	43
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Acidothermales	33
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Acidothermales|f__Acidothermaceae	33
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinopolysporales	25
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinopolysporales|f__Actinopolysporaceae	25
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	16
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	16
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Candidatus_Nanopelagicales	13
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Candidatus_Nanopelagicales|f__Candidatus_Nanopelagicaceae	13
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	15394
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales	14943
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales|f__Conexibacteraceae	14943
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Miltoncostaeales	450
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Miltoncostaeales|f__Miltoncostaeaceae	450
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	3983
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales	3983
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales|f__Baekduiaceae	3903
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteraceae	80
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	1226
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales	1226
