#Classification	S-18-POLPIL-G_bracken_O.kreport
k__Bacteria	22023
k__Bacteria|p__Proteobacteria	20215
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	9851
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	9851
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	9344
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	7588
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	1666
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	89
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1019
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	377
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	104
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	537
k__Bacteria|p__Actinobacteria	1113
k__Bacteria|p__Actinobacteria|c__Actinomycetia	1113
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	778
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	256
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	14
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	4
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	3
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	2
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales	36
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	1
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jatrophihabitantales	17
k__Bacteria|p__Cyanobacteria	6
k__Bacteria|p__Cyanobacteria|o__Nostocales	6
k__Bacteria|p__Firmicutes	1
k__Bacteria|p__Firmicutes|c__Bacilli	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	1
k__Bacteria|p__Bacteroidetes	476
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	357
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	357
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	116
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	116
k__Bacteria|p__Bacteroidetes|c__Cytophagia	2
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales	2
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	1
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales	1
k__Bacteria|p__Acidobacteria	185
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	185
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	185
k__Bacteria|p__Planctomycetes	25
k__Bacteria|p__Planctomycetes|c__Planctomycetia	25
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Gemmatales	25
k__Eukaryota	2180
k__Eukaryota|k__Viridiplantae	1711
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1711
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	1711
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida|o__Funariales	1711
k__Eukaryota|k__Metazoa	464
k__Eukaryota|k__Metazoa|p__Chordata	464
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	464
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	464
k__Eukaryota|k__Fungi	5
k__Eukaryota|k__Fungi|p__Ascomycota	5
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	5
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales	5
