#Classification	S-9-DICUND-G_bracken_C.kreport
k__Bacteria	255
k__Bacteria|p__Proteobacteria	231
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	201
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	29
k__Bacteria|p__Actinobacteria	19
k__Bacteria|p__Actinobacteria|c__Actinomycetia	19
k__Bacteria|p__Firmicutes	1
k__Bacteria|p__Firmicutes|c__Bacilli	1
k__Bacteria|p__Acidobacteria	3
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	3
k__Eukaryota	1
k__Eukaryota|k__Viridiplantae	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	1
