# git tag version 3.1.0 |  motus version 3.1.0 | map_tax 3.1.0 | gene database: nr3.1.0 | calc_mgc 3.1.0 -y insert.scaled_counts -l 75 | calc_motu 3.1.0 -k mOTU -C no_CAMI -g 3 -c -p | taxonomy: ref_mOTU_3.1.0 meta_mOTU_3.1.0
# call: python /nfs3_ib/nfs-ip34/home/def-ilafores/programs/motu-profiler_env/bin/motus profile -f /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-7-POLCOM-B/S-7-POLCOM-B_paired_1.fastq.gz -r /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-7-POLCOM-B/S-7-POLCOM-B_paired_2.fastq.gz -s /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-7-POLCOM-B/S-7-POLCOM-B_unmatched_1.fastq.gz -s /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-7-POLCOM-B/S-7-POLCOM-B_unmatched_2.fastq.gz -n S-7-POLCOM-B -t 24 -c -p -k mOTU -q
#mOTU	consensus_taxonomy	NCBI_tax_id	S-7-POLCOM-B
ref_mOTU_v31_00168	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas koreensis/fluorescens [Pseudomonas sp. GM30/Pseudomonas sp. URIL14HWK12:I6/Pseudomonas sp. H1h/Pseudomonas sp. RIT288/Pseudomonas koreensis/Pseudomonas fluorescens/Pseudomonas sp. W15Feb9B]	2|1224|1236|72274|135621|286|NA	11
ref_mOTU_v31_00870	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia sp. [Burkholderia paludis/Burkholderia sp. MSh2/Aquamicrobium sp. SK-2/Burkholderia sp. E168m22/Burkholderia sp. NFPP32/Burkholderia sp. NFACC38-1/Burkholderia sp. NFACC33-1/Burkholderia sp. LK4/Burkholderia sp. NRF60-BP8/Burkholderia sp. ABCPW 11/Burkholderia sp. MSMB1072/Burkholderia sp. MSMB1826/Burkholderia sp. MSMB1835/Burkholderia sp. MSMB1078WGS/Burkholderia sp. MSMB2157WGS/Burkholderia sp. MSMB1459WGS/Burkholderia anthina/Burkholderia puraquae/Burkholderia sp. A2/Burkholderia cepacia/Burkholderia lata/Burkholderia contaminans/Burkholderia metallica/Burkholderia seminalis/Burkholderia pyrrocinia/Burkholderia stabilis/Burkholderia cenocepacia]	2|1224|28216|80840|119060|32008|NA	1
ref_mOTU_v31_01133	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Methylobacteriaceae|g__Methylobacterium|s__Methylobacterium sp. GXS13	2|1224|28211|356|119045|407|1730094	1
ref_mOTU_v31_01274	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium colombiense	2|201174|1760|85007|1762|1763|339268	1
ref_mOTU_v31_02839	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Paraburkholderia|s__Paraburkholderia phenazinium	2|1224|28216|80840|119060|1822464|60549	2
ref_mOTU_v31_02840	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Paraburkholderia|s__Paraburkholderia phenazinium	2|1224|28216|80840|119060|1822464|60549	1
ref_mOTU_v31_02853	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Paraburkholderia|s__Paraburkholderia aspalathi [Paraburkholderia aspalathi/Burkholderia sp. ST111/Burkholderia sp. OLGA172/Burkholderia sp. GAS332]	2|1224|28216|80840|119060|1822464|1324617	1
ref_mOTU_v31_03448	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Caballeronia|s__Caballeronia udeis	2|1224|28216|80840|119060|1827195|1232866	1
ref_mOTU_v31_03449	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Caballeronia|s__Caballeronia sordidicola	2|1224|28216|80840|119060|1827195|196367	1
ref_mOTU_v31_03450	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Caballeronia|s__Caballeronia sordidicola [Burkholderia sp. PAMC 26561/Burkholderia sp. PAMC 28687/Caballeronia sordidicola]	2|1224|28216|80840|119060|1827195|196367	2
ref_mOTU_v31_07332	k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella|s__Granulicella tundricola	2|57723|204432|204433|204434|940557|940615	1
ref_mOTU_v31_07767	k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidobacteriaceae gen. incertae sedis|s__Acidobacteriaceae bacterium KBS 89	2|57723|204432|204433|204434|NA|1267534	1
ref_mOTU_v31_08295	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Bradyrhizobium|s__Bradyrhizobium erythrophlei	2|1224|28211|356|41294|374|1437360	1
ref_mOTU_v31_10367	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Pseudonocardia|s__Pseudonocardia sp. 73-21	2|201174|1760|85010|2070|1847|1895809	2
ref_mOTU_v31_10380	k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacterales fam. incertae sedis|g__Solirubrobacterales gen. incertae sedis|s__Solirubrobacterales bacterium 70-9	2|201174|1497346|588673|NA|NA|1895833	1
ref_mOTU_v31_11294	k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella|s__Granulicella pectinivorans	2|57723|204432|204433|204434|940557|474950	1
ref_mOTU_v31_11771	k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella|s__Granulicella mallensis	2|57723|204432|204433|204434|940557|940614	1
ext_mOTU_v31_32744	k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Thermoleophilia order incertae sedis|f__Thermoleophilia fam. incertae sedis|g__Thermoleophilia gen. incertae sedis|s__Thermoleophilia species incertae sedis	2|201174|1497346|NA|NA|NA|NA	2
unassigned	unassigned	NA	48
