#Classification	S-5-POLCOM-G_bracken_P.kreport
k__Bacteria	481849
k__Bacteria|p__Proteobacteria	378924
k__Bacteria|p__Actinobacteria	71678
k__Bacteria|p__Cyanobacteria	2427
k__Bacteria|p__Firmicutes	907
k__Bacteria|p__Armatimonadetes	9
k__Bacteria|p__Chloroflexi	7
k__Bacteria|p__Deinococcus-Thermus	3
k__Bacteria|p__Acidobacteria	15696
k__Bacteria|p__Bacteroidetes	9895
k__Bacteria|p__Rhodothermaeota	19
k__Bacteria|p__Gemmatimonadetes	17
k__Bacteria|p__Planctomycetes	1909
k__Bacteria|p__Verrucomicrobia	233
k__Bacteria|p__Chlamydiae	23
k__Bacteria|p__Candidatus_Saccharibacteria	7
k__Bacteria|p__Spirochaetes	25
k__Bacteria|p__Synergistetes	22
k__Bacteria|p__Coprothermobacterota	40
k__Eukaryota	33388
k__Eukaryota|k__Viridiplantae	28315
k__Eukaryota|k__Viridiplantae|p__Streptophyta	28289
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	25
k__Eukaryota|k__Metazoa	3604
k__Eukaryota|k__Metazoa|p__Chordata	3604
k__Eukaryota|k__Fungi	1451
k__Eukaryota|k__Fungi|p__Ascomycota	1304
k__Eukaryota|k__Fungi|p__Basidiomycota	147
k__Eukaryota|p__Euglenozoa	8
k__Eukaryota|p__Evosea	6
k__Eukaryota|p__Apicomplexa	3
k__Archaea	2
k__Archaea|p__Euryarchaeota	2
k__Viruses	8
k__Viruses|k__Heunggongvirae	6
k__Viruses|k__Heunggongvirae|p__Uroviricota	6
k__Viruses|k__Bamfordvirae	2
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	2
