#Classification	S-9-POLCOM-B_bracken_P.kreport
k__Bacteria	1036174
k__Bacteria|p__Proteobacteria	769631
k__Bacteria|p__Actinobacteria	192894
k__Bacteria|p__Cyanobacteria	15817
k__Bacteria|p__Firmicutes	3692
k__Bacteria|p__Armatimonadetes	21
k__Bacteria|p__Deinococcus-Thermus	24
k__Bacteria|p__Chloroflexi	9
k__Bacteria|p__Acidobacteria	33199
k__Bacteria|p__Bacteroidetes	16893
k__Bacteria|p__Chlorobi	2
k__Bacteria|p__Gemmatimonadetes	82
k__Bacteria|p__Planctomycetes	2714
k__Bacteria|p__Verrucomicrobia	680
k__Bacteria|p__Chlamydiae	26
k__Bacteria|p__Candidatus_Saccharibacteria	16
k__Bacteria|p__Spirochaetes	461
k__Bacteria|p__Nitrospirae	2
k__Bacteria|p__Atribacterota	3
k__Bacteria|p__Thermotogae	1
k__Eukaryota	10555
k__Eukaryota|k__Metazoa	3516
k__Eukaryota|k__Metazoa|p__Chordata	3516
k__Eukaryota|k__Fungi	2876
k__Eukaryota|k__Fungi|p__Ascomycota	2527
k__Eukaryota|k__Fungi|p__Basidiomycota	348
k__Eukaryota|k__Viridiplantae	4140
k__Eukaryota|k__Viridiplantae|p__Streptophyta	4081
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	58
k__Eukaryota|p__Euglenozoa	16
k__Eukaryota|p__Apicomplexa	2
k__Eukaryota|p__Cercozoa	1
k__Eukaryota|p__Evosea	2
k__Archaea	4
k__Archaea|p__Euryarchaeota	4
k__Viruses	7
k__Viruses|k__Heunggongvirae	6
k__Viruses|k__Heunggongvirae|p__Uroviricota	6
k__Viruses|k__Bamfordvirae	1
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	1
