# git tag version 3.1.0 |  motus version 3.1.0 | map_tax 3.1.0 | gene database: nr3.1.0 | calc_mgc 3.1.0 -y insert.scaled_counts -l 75 | calc_motu 3.1.0 -k mOTU -C no_CAMI -g 3 -c -p -u | taxonomy: ref_mOTU_3.1.0 meta_mOTU_3.1.0
# call: python /nfs3_ib/nfs-ip34/home/def-ilafores/programs/motu-profiler_env/bin/motus profile -f /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-6-POLPIL-B/S-6-POLPIL-B_paired_1.fastq.gz -r /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-6-POLPIL-B/S-6-POLPIL-B_paired_2.fastq.gz -s /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-6-POLPIL-B/S-6-POLPIL-B_unmatched_1.fastq.gz -s /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-6-POLPIL-B/S-6-POLPIL-B_unmatched_2.fastq.gz -n S-6-POLPIL-B -t 24 -u -c -p
#mOTU	consensus_taxonomy	NCBI_tax_id	S-6-POLPIL-B
ref_mOTU_v31_00445	Derxia gummosa	203699	1
ref_mOTU_v31_01226	Bradyrhizobium retamae [Bradyrhizobium retamae/Bradyrhizobium sp. LMTR 3]	1300035	1
ref_mOTU_v31_02804	Rhodanobacter spathiphylli [Rhodanobacter sp. Root179/Rhodanobacter sp. Root561/Rhodanobacter spathiphylli]	347483	1
ref_mOTU_v31_03448	Caballeronia udeis	1232866	1
ref_mOTU_v31_03450	Caballeronia sordidicola [Burkholderia sp. PAMC 26561/Burkholderia sp. PAMC 28687/Caballeronia sordidicola]	196367	2
ref_mOTU_v31_06430	Afipia clevelandensis [Afipia clevelandensis/Bradyrhizobiaceae bacterium SG-6C]	1034	1
ref_mOTU_v31_07767	Acidobacteriaceae bacterium KBS 89	1267534	1
ref_mOTU_v31_08294	Bradyrhizobium erythrophlei	1437360	1
ref_mOTU_v31_09315	Bradyrhizobiaceae bacterium Ga0074131	1752203	1
ref_mOTU_v31_10900	Rhodopseudomonas palustris	1076	1
ref_mOTU_v31_11294	Granulicella pectinivorans	474950	1
ref_mOTU_v31_11695	Mucilaginibacter mallensis	652787	1
ref_mOTU_v31_11771	Granulicella mallensis	940614	1
ext_mOTU_v31_15000	Burkholderiales species incertae sedis	NA	1
ext_mOTU_v31_29704	Bradyrhizobium species incertae sedis	NA	1
unassigned	unassigned	NA	34
