# git tag version 3.1.0 |  motus version 3.1.0 | map_tax 3.1.0 | gene database: nr3.1.0 | calc_mgc 3.1.0 -y insert.scaled_counts -l 75 | calc_motu 3.1.0 -k mOTU -C no_CAMI -g 3 -c -p -u | taxonomy: ref_mOTU_3.1.0 meta_mOTU_3.1.0
# call: python /nfs3_ib/nfs-ip34/home/def-ilafores/programs/motu-profiler_env/bin/motus profile -f /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-3-DICUND-B/S-3-DICUND-B_paired_1.fastq.gz -r /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-3-DICUND-B/S-3-DICUND-B_paired_2.fastq.gz -s /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-3-DICUND-B/S-3-DICUND-B_unmatched_1.fastq.gz -s /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-3-DICUND-B/S-3-DICUND-B_unmatched_2.fastq.gz -n S-3-DICUND-B -t 24 -u -c -p
#mOTU	consensus_taxonomy	NCBI_tax_id	S-3-DICUND-B
ref_mOTU_v31_02853	Paraburkholderia aspalathi [Paraburkholderia aspalathi/Burkholderia sp. ST111/Burkholderia sp. OLGA172/Burkholderia sp. GAS332]	1324617	2
ref_mOTU_v31_02856	Burkholderia sp. 9120	1500897	1
ref_mOTU_v31_03449	Caballeronia sordidicola	196367	1
ref_mOTU_v31_03450	Caballeronia sordidicola [Burkholderia sp. PAMC 26561/Burkholderia sp. PAMC 28687/Caballeronia sordidicola]	196367	1
ref_mOTU_v31_11294	Granulicella pectinivorans	474950	1
ref_mOTU_v31_11307	Catenulispora acidiphila	304895	1
ext_mOTU_v31_22747	Gammaproteobacteria species incertae sedis	NA	1
ext_mOTU_v31_22760	Streptosporangiales species incertae sedis	NA	1
ext_mOTU_v31_32567	Rhizobiales species incertae sedis	NA	1
ext_mOTU_v31_32570	Alphaproteobacteria species incertae sedis	NA	1
ext_mOTU_v31_32596	Acidobacteriaceae species incertae sedis	NA	1
ext_mOTU_v31_32666	Rhizobiales species incertae sedis	NA	2
ext_mOTU_v31_32711	Acidobacteria species incertae sedis	NA	1
unassigned	unassigned	NA	60
