# git tag version 3.1.0 |  motus version 3.1.0 | map_tax 3.1.0 | gene database: nr3.1.0 | calc_mgc 3.1.0 -y insert.scaled_counts -l 75 | calc_motu 3.1.0 -k mOTU -C no_CAMI -g 3 -c -p -u | taxonomy: ref_mOTU_3.1.0 meta_mOTU_3.1.0
# call: python /nfs3_ib/nfs-ip34/home/def-ilafores/programs/motu-profiler_env/bin/motus profile -f /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-8-DICUND-B/S-8-DICUND-B_paired_1.fastq.gz -r /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-8-DICUND-B/S-8-DICUND-B_paired_2.fastq.gz -s /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-8-DICUND-B/S-8-DICUND-B_unmatched_1.fastq.gz -s /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-8-DICUND-B/S-8-DICUND-B_unmatched_2.fastq.gz -n S-8-DICUND-B -t 24 -u -c -p
#mOTU	consensus_taxonomy	NCBI_tax_id	S-8-DICUND-B
ref_mOTU_v31_02840	Paraburkholderia phenazinium	60549	2
ref_mOTU_v31_11294	Granulicella pectinivorans	474950	1
ext_mOTU_v31_14983	Actinobacteria species incertae sedis	NA	1
ext_mOTU_v31_22737	Acidobacteriaceae species incertae sedis	NA	2
ext_mOTU_v31_22739	Acidobacteria species incertae sedis	NA	1
ext_mOTU_v31_22748	Gammaproteobacteria species incertae sedis	NA	1
ext_mOTU_v31_22760	Streptosporangiales species incertae sedis	NA	1
ext_mOTU_v31_22773	Acidobacteria species incertae sedis	NA	1
ext_mOTU_v31_29871	Streptosporangiales species incertae sedis	NA	1
ext_mOTU_v31_32663	Rhizobiales species incertae sedis	NA	1
ext_mOTU_v31_32711	Acidobacteria species incertae sedis	NA	1
unassigned	unassigned	NA	56
