# git tag version 3.1.0 |  motus version 3.1.0 | map_tax 3.1.0 | gene database: nr3.1.0 | calc_mgc 3.1.0 -y insert.scaled_counts -l 75 | calc_motu 3.1.0 -k mOTU -C no_CAMI -g 3 -c -p -u | taxonomy: ref_mOTU_3.1.0 meta_mOTU_3.1.0
# call: python /nfs3_ib/nfs-ip34/home/def-ilafores/programs/motu-profiler_env/bin/motus profile -f /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/W-2-POLJUN-G/W-2-POLJUN-G_paired_1.fastq.gz -r /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/W-2-POLJUN-G/W-2-POLJUN-G_paired_2.fastq.gz -s /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/W-2-POLJUN-G/W-2-POLJUN-G_unmatched_1.fastq.gz -s /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/W-2-POLJUN-G/W-2-POLJUN-G_unmatched_2.fastq.gz -n W-2-POLJUN-G -t 24 -u -c -p
#mOTU	consensus_taxonomy	NCBI_tax_id	W-2-POLJUN-G
ref_mOTU_v31_01134	Methylobacterium oryzae/phyllosphaerae [Methylobacterium sp. UNCCL110/Methylobacterium sp. UNCCL125/Methylobacterium oryzae/Methylobacterium phyllosphaerae]	NA	1
ref_mOTU_v31_01135	Bacteria sp. [Methylobacterium sp. 285MFTsu5.1/Methylobacterium sp. EUR3 AL-11/Methylobacterium sp. C1/Methylobacterium sp. 275MFSha3.1/Methylobacterium sp. UNC300MFChir4.1/Methylobacterium sp. 13MFTsu3.1M2/Methylobacterium sp. ME121/Methylobacterium sp. Leaf361/Methylobacterium sp. yr668/Methylobacterium radiotolerans/Asanoa ferruginea]	NA	1
ref_mOTU_v31_01137	Methylobacterium mesophilicum	39956	1
ref_mOTU_v31_01336	Sphingomonas sp. [Sphingomonas sp. Ant20/Sphingomonas sp. FUKUSWIS1/Sphingomonas sp. Leaf226/Sphingomonas sp. Leaf30]	NA	2
ref_mOTU_v31_01338	Sphingomonas sp. [Sphingomonas sp. Leaf230/Sphingomonas sp. OK281]	NA	1
ref_mOTU_v31_01340	Sphingomonas sp. [Sphingomonas sp. Leaf34/Sphingomonas sp. Leaf38]	NA	4
ref_mOTU_v31_01341	Sphingomonas sp. Leaf28	1735695	3
ref_mOTU_v31_01342	Sphingomonas sp. Leaf20	1735685	3
ref_mOTU_v31_01966	Sphingomonas sp. [Sphingomonas sp. PAMC 26621/Sphingomonas sp. PAMC 26617]	NA	4
ref_mOTU_v31_03450	Caballeronia sordidicola [Burkholderia sp. PAMC 26561/Burkholderia sp. PAMC 28687/Caballeronia sordidicola]	196367	1
ref_mOTU_v31_06679	Sphingomonas sp. PAMC 26605	1112214	6
ref_mOTU_v31_08406	Hymenobacter sp. PAMC 26554	1484116	4
ref_mOTU_v31_10367	Pseudonocardia sp. 73-21	1895809	1
ref_mOTU_v31_12102	Terriglobus roseus	392734	1
unassigned	unassigned	NA	6
