# git tag version 3.1.0 |  motus version 3.1.0 | map_tax 3.1.0 | gene database: nr3.1.0 | calc_mgc 3.1.0 -y insert.scaled_counts -l 75 | calc_motu 3.1.0 -k mOTU -C no_CAMI -g 3 -c -p | taxonomy: ref_mOTU_3.1.0 meta_mOTU_3.1.0
# call: python /nfs3_ib/nfs-ip34/home/def-ilafores/programs/motu-profiler_env/bin/motus profile -f /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-16-POLPIL-B/S-16-POLPIL-B_paired_1.fastq.gz -r /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-16-POLPIL-B/S-16-POLPIL-B_paired_2.fastq.gz -s /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-16-POLPIL-B/S-16-POLPIL-B_unmatched_1.fastq.gz -s /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-16-POLPIL-B/S-16-POLPIL-B_unmatched_2.fastq.gz -n S-16-POLPIL-B -t 24 -c -p -k mOTU -q
#mOTU	consensus_taxonomy	NCBI_tax_id	S-16-POLPIL-B
ref_mOTU_v31_00441	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Duganella|s__Duganella sp. CF402	2|1224|28216|80840|75682|75654|1855289	1
ref_mOTU_v31_00469	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales fam. incertae sedis|g__Rhizobacter|s__Rhizobacter sp. Root404	2|1224|28216|80840|NA|212743|1736528	1
ref_mOTU_v31_00487	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Variovorax|s__Variovorax sp. [Variovorax sp. CF313/Variovorax sp. Root411/Variovorax sp. Root434]	2|1224|28216|80840|80864|34072|NA	1
ref_mOTU_v31_00516	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales fam. incertae sedis|g__Burkholderiales gen. incertae sedis|s__Burkholderiales bacterium RIFCSPHIGHO2_01_FULL_63_240	2|1224|28216|80840|NA|NA|1797552	1
ref_mOTU_v31_00517	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales fam. incertae sedis|g__Leptothrix|s__Leptothrix cholodnii	2|1224|28216|80840|NA|88|34029	1
ref_mOTU_v31_00781	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Phyllobacteriaceae|g__Mesorhizobium|s__Mesorhizobium loti	2|1224|28211|356|69277|68287|381	2
ref_mOTU_v31_01135	k__Bacteria|p__Bacteria phylum [Proteobacteria/Actinobacteria]|c__Bacteria class [Actinobacteria/Alphaproteobacteria]|o__Bacteria order [Rhizobiales/Micromonosporales]|f__Bacteria fam. [Methylobacteriaceae/Micromonosporaceae]|g__Bacteria gen. [Asanoa/Methylobacterium]|s__Bacteria sp. [Methylobacterium sp. 285MFTsu5.1/Methylobacterium sp. EUR3 AL-11/Methylobacterium sp. C1/Methylobacterium sp. 275MFSha3.1/Methylobacterium sp. UNC300MFChir4.1/Methylobacterium sp. 13MFTsu3.1M2/Methylobacterium sp. ME121/Methylobacterium sp. Leaf361/Methylobacterium sp. yr668/Methylobacterium radiotolerans/Asanoa ferruginea]	2|NA|NA|NA|NA|NA|NA	2
ref_mOTU_v31_01174	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Bradyrhizobium|s__Bradyrhizobium sp. [Bradyrhizobium sp. LTSP849/Bradyrhizobium sp. LTSP857]	2|1224|28211|356|41294|374|NA	1
ref_mOTU_v31_01185	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Bradyrhizobium|s__Bradyrhizobium diazoefficiens/japonicum [Bradyrhizobium sp. WSM2254/Bradyrhizobium diazoefficiens/Bradyrhizobium sp. cf659/Bradyrhizobium japonicum]	2|1224|28211|356|41294|374|NA	1
ref_mOTU_v31_01430	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptacidiphilus|s__Streptacidiphilus albus	2|201174|1760|85011|2062|228398|105425	1
ref_mOTU_v31_01431	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptacidiphilus|s__Streptacidiphilus carbonis/jeojiense	2|201174|1760|85011|2062|228398|NA	3
