# git tag version 3.1.0 |  motus version 3.1.0 | map_tax 3.1.0 | gene database: nr3.1.0 | calc_mgc 3.1.0 -y insert.scaled_counts -l 75 | calc_motu 3.1.0 -k mOTU -C no_CAMI -g 3 -c -p | taxonomy: ref_mOTU_3.1.0 meta_mOTU_3.1.0
# call: python /nfs3_ib/nfs-ip34/home/def-ilafores/programs/motu-profiler_env/bin/motus profile -f /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-17-POLJUN-B/S-17-POLJUN-B_paired_1.fastq.gz -r /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-17-POLJUN-B/S-17-POLJUN-B_paired_2.fastq.gz -s /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-17-POLJUN-B/S-17-POLJUN-B_unmatched_1.fastq.gz -s /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-17-POLJUN-B/S-17-POLJUN-B_unmatched_2.fastq.gz -n S-17-POLJUN-B -t 24 -c -p -k mOTU -q
#mOTU	consensus_taxonomy	NCBI_tax_id	S-17-POLJUN-B
ref_mOTU_v31_00424	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Janthinobacterium|s__Janthinobacterium lividum [Janthinobacterium sp. RA13/Janthinobacterium sp. HH100/Janthinobacterium sp. HH102/Janthinobacterium sp. HH103/Janthinobacterium sp. HH104/Janthinobacterium sp. HH106/Janthinobacterium sp. HH107/Janthinobacterium sp. 344/Janthinobacterium sp. 551a/Janthinobacterium sp. 1_2014MBL_MicDiv/Janthinobacterium sp. KBS0711/Janthinobacterium sp. Ant5-2-1/Janthinobacterium sp. MP5059B/Janthinobacterium sp. OK676/Janthinobacterium sp. YR213/Janthinobacterium sp. TND4EL3/Janthinobacterium sp. LM6/Janthinobacterium sp. GW460W/Janthinobacterium sp. GW460P/Janthinobacterium sp. GW458P/Janthinobacterium sp. GW456W/Janthinobacterium sp. GW456P/Janthinobacterium lividum]	2|1224|28216|80840|75682|29580|29581	1
ref_mOTU_v31_00436	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Massilia|s__Massilia alkalitolerans [Massilia sp. LC238/Massilia alkalitolerans]	2|1224|28216|80840|75682|149698|286638	1
ref_mOTU_v31_00528	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Rugamonas|s__Rugamonas rubra	2|1224|1236|72274|135621|212744|758825	2
ref_mOTU_v31_00529	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Oxalobacteraceae gen. [Janthinobacterium/Duganella]|s__Oxalobacteraceae sp. [Janthinobacterium sp. HH01/Duganella sp. HH101/Duganella sp. HH105]	2|1224|28216|80840|75682|NA|NA	3
ref_mOTU_v31_00531	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Duganella|s__Duganella sp. CF517	2|1224|28216|80840|75682|75654|1881038	1
ref_mOTU_v31_01131	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Methylobacteriaceae|g__Methylobacterium|s__Methylobacterium brachiatum [Methylobacterium sp. GXF4/Methylobacterium sp. ARG-1/Methylobacterium brachiatum]	2|1224|28211|356|119045|407|269660	1
ref_mOTU_v31_02840	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Paraburkholderia|s__Paraburkholderia phenazinium	2|1224|28216|80840|119060|1822464|60549	2
ref_mOTU_v31_03448	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Caballeronia|s__Caballeronia udeis	2|1224|28216|80840|119060|1827195|1232866	1
ref_mOTU_v31_03449	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Caballeronia|s__Caballeronia sordidicola	2|1224|28216|80840|119060|1827195|196367	2
ref_mOTU_v31_03450	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Caballeronia|s__Caballeronia sordidicola [Burkholderia sp. PAMC 26561/Burkholderia sp. PAMC 28687/Caballeronia sordidicola]	2|1224|28216|80840|119060|1827195|196367	5
ref_mOTU_v31_03451	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia sp. Leaf177	2|1224|28216|80840|119060|32008|1736287	1
ref_mOTU_v31_05351	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales fam. incertae sedis|g__Methylibium|s__Methylibium sp. Root1272	2|1224|28216|80840|NA|316612|1736441	1
ref_mOTU_v31_07767	k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidobacteriaceae gen. incertae sedis|s__Acidobacteriaceae bacterium KBS 89	2|57723|204432|204433|204434|NA|1267534	2
