# git tag version 3.1.0 |  motus version 3.1.0 | map_tax 3.1.0 | gene database: nr3.1.0 | calc_mgc 3.1.0 -y insert.scaled_counts -l 75 | calc_motu 3.1.0 -k mOTU -C no_CAMI -g 3 -c -p -u | taxonomy: ref_mOTU_3.1.0 meta_mOTU_3.1.0
# call: python /nfs3_ib/nfs-ip34/home/def-ilafores/programs/motu-profiler_env/bin/motus profile -f /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-3-POLCOM-B/S-3-POLCOM-B_paired_1.fastq.gz -r /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-3-POLCOM-B/S-3-POLCOM-B_paired_2.fastq.gz -s /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-3-POLCOM-B/S-3-POLCOM-B_unmatched_1.fastq.gz -s /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-3-POLCOM-B/S-3-POLCOM-B_unmatched_2.fastq.gz -n S-3-POLCOM-B -t 24 -u -c -p
#mOTU	consensus_taxonomy	NCBI_tax_id	S-3-POLCOM-B
ref_mOTU_v31_00442	Duganella sacchari	551987	1
ref_mOTU_v31_00517	Leptothrix cholodnii	34029	1
ref_mOTU_v31_00870	Burkholderia sp. [Burkholderia paludis/Burkholderia sp. MSh2/Aquamicrobium sp. SK-2/Burkholderia sp. E168m22/Burkholderia sp. NFPP32/Burkholderia sp. NFACC38-1/Burkholderia sp. NFACC33-1/Burkholderia sp. LK4/Burkholderia sp. NRF60-BP8/Burkholderia sp. ABCPW 11/Burkholderia sp. MSMB1072/Burkholderia sp. MSMB1826/Burkholderia sp. MSMB1835/Burkholderia sp. MSMB1078WGS/Burkholderia sp. MSMB2157WGS/Burkholderia sp. MSMB1459WGS/Burkholderia anthina/Burkholderia puraquae/Burkholderia sp. A2/Burkholderia cepacia/Burkholderia lata/Burkholderia contaminans/Burkholderia metallica/Burkholderia seminalis/Burkholderia pyrrocinia/Burkholderia stabilis/Burkholderia cenocepacia]	NA	1
ref_mOTU_v31_01131	Methylobacterium brachiatum [Methylobacterium sp. GXF4/Methylobacterium sp. ARG-1/Methylobacterium brachiatum]	269660	2
ref_mOTU_v31_02852	Paraburkholderia fungorum [Paraburkholderia fungorum/Burkholderia sp. K24]	134537	1
ref_mOTU_v31_02853	Paraburkholderia aspalathi [Paraburkholderia aspalathi/Burkholderia sp. ST111/Burkholderia sp. OLGA172/Burkholderia sp. GAS332]	1324617	1
ref_mOTU_v31_02854	Paraburkholderia ginsengisoli	311231	1
ref_mOTU_v31_03449	Caballeronia sordidicola	196367	1
ref_mOTU_v31_03450	Caballeronia sordidicola [Burkholderia sp. PAMC 26561/Burkholderia sp. PAMC 28687/Caballeronia sordidicola]	196367	5
ref_mOTU_v31_03451	Burkholderia sp. Leaf177	1736287	1
ref_mOTU_v31_03946	Bradyrhizobium sp. URHA0002	1298867	1
ref_mOTU_v31_04813	Frigoribacterium sp. [Frigoribacterium sp. MEB024/Frigoribacterium sp. RIT-PI-h/Frigoribacterium sp. Leaf8/Frigoribacterium sp. Leaf44/Frigoribacterium sp. Leaf254/Frigoribacterium sp. Leaf415/Frigoribacterium sp. MCBA15_019]	NA	1
ref_mOTU_v31_10367	Pseudonocardia sp. 73-21	1895809	2
ref_mOTU_v31_10380	Solirubrobacterales bacterium 70-9	1895833	2
ref_mOTU_v31_11294	Granulicella pectinivorans	474950	1
ref_mOTU_v31_11771	Granulicella mallensis	940614	2
ext_mOTU_v31_18769	Sphingomonas species incertae sedis	NA	1
ext_mOTU_v31_18841	Burkholderiales species incertae sedis	NA	1
ext_mOTU_v31_29704	Bradyrhizobium species incertae sedis	NA	1
ext_mOTU_v31_30089	Bradyrhizobium species incertae sedis	NA	1
unassigned	unassigned	NA	35
