# git tag version 3.1.0 |  motus version 3.1.0 | map_tax 3.1.0 | gene database: nr3.1.0 | calc_mgc 3.1.0 -y insert.scaled_counts -l 75 | calc_motu 3.1.0 -k mOTU -C no_CAMI -g 3 -c -p -u | taxonomy: ref_mOTU_3.1.0 meta_mOTU_3.1.0
# call: python /nfs3_ib/nfs-ip34/home/def-ilafores/programs/motu-profiler_env/bin/motus profile -f /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-11-POLJUN-B/S-11-POLJUN-B_paired_1.fastq.gz -r /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-11-POLJUN-B/S-11-POLJUN-B_paired_2.fastq.gz -s /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-11-POLJUN-B/S-11-POLJUN-B_unmatched_1.fastq.gz -s /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-11-POLJUN-B/S-11-POLJUN-B_unmatched_2.fastq.gz -n S-11-POLJUN-B -t 24 -u -c -p
#mOTU	consensus_taxonomy	NCBI_tax_id	S-11-POLJUN-B
ref_mOTU_v31_00119	Pseudomonas batumici	226910	1
ref_mOTU_v31_00527	Methylibium sp. CF059	1500261	1
ref_mOTU_v31_00529	Oxalobacteraceae sp. [Janthinobacterium sp. HH01/Duganella sp. HH101/Duganella sp. HH105]	NA	1
ref_mOTU_v31_00531	Duganella sp. CF517	1881038	1
ref_mOTU_v31_00781	Mesorhizobium loti	381	1
ref_mOTU_v31_01176	Bradyrhizobium canariense [Bradyrhizobium sp. WSM4349/Bradyrhizobium sp. URHA0013/Bradyrhizobium canariense/Bradyrhizobium sp. WSM1253/Bradyrhizobium sp. WSM471/Bradyrhizobium sp./Bradyrhizobium sp. WSM1417]	255045	1
ref_mOTU_v31_01185	Bradyrhizobium diazoefficiens/japonicum [Bradyrhizobium sp. WSM2254/Bradyrhizobium diazoefficiens/Bradyrhizobium sp. cf659/Bradyrhizobium japonicum]	NA	1
ref_mOTU_v31_01397	Agrobacterium deltaense/tumefaciens [Agrobacterium deltaense/Agrobacterium sp. JL28/Agrobacterium sp. D14/Agrobacterium sp. YIC 4121/Agrobacterium tumefaciens/Agrobacterium sp. C13/Agrobacterium sp. LY4/Agrobacterium sp. TS43/Agrobacterium sp. TS45]	NA	1
ref_mOTU_v31_01692	Bradyrhizobium pachyrhizi/elkanii [Bradyrhizobium sp. UFLA 03-321/Bradyrhizobium sp. R5/Bradyrhizobium pachyrhizi/Bradyrhizobium elkanii]	NA	2
ref_mOTU_v31_02849	Burkholderia sp. WP9	1500263	1
ref_mOTU_v31_02850	Paraburkholderia phytofirmans	261302	1
ref_mOTU_v31_02853	Paraburkholderia aspalathi [Paraburkholderia aspalathi/Burkholderia sp. ST111/Burkholderia sp. OLGA172/Burkholderia sp. GAS332]	1324617	3
ref_mOTU_v31_02855	Paraburkholderia fungorum	134537	1
ref_mOTU_v31_02981	Xanthomonas translucens	343	1
ref_mOTU_v31_03212	Dyella japonica	231455	1
ref_mOTU_v31_03449	Caballeronia sordidicola	196367	1
ref_mOTU_v31_03450	Caballeronia sordidicola [Burkholderia sp. PAMC 26561/Burkholderia sp. PAMC 28687/Caballeronia sordidicola]	196367	1
ref_mOTU_v31_03452	Caballeronia sordidicola	196367	1
ref_mOTU_v31_04458	Luteibacter rhizovicinus	242606	2
ref_mOTU_v31_04737	Pseudomonas graminis	158627	1
ref_mOTU_v31_10367	Pseudonocardia sp. 73-21	1895809	1
ref_mOTU_v31_10380	Solirubrobacterales bacterium 70-9	1895833	1
ref_mOTU_v31_11649	Nostoc punctiforme	272131	1
ext_mOTU_v31_25077	Streptosporangiales species incertae sedis	NA	1
ext_mOTU_v31_29927	Acidobacteriaceae species incertae sedis	NA	1
ext_mOTU_v31_32663	Rhizobiales species incertae sedis	NA	2
ext_mOTU_v31_32744	Thermoleophilia species incertae sedis	NA	2
ext_mOTU_v31_34619	Burkholderiales species incertae sedis	NA	1
unassigned	unassigned	NA	41
