# git tag version 3.1.0 |  motus version 3.1.0 | map_tax 3.1.0 | gene database: nr3.1.0 | calc_mgc 3.1.0 -y insert.scaled_counts -l 75 | calc_motu 3.1.0 -k mOTU -C no_CAMI -g 3 -c -p -u | taxonomy: ref_mOTU_3.1.0 meta_mOTU_3.1.0
# call: python /nfs3_ib/nfs-ip34/home/def-ilafores/programs/motu-profiler_env/bin/motus profile -f /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-25-POLJUN-B/S-25-POLJUN-B_paired_1.fastq.gz -r /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-25-POLJUN-B/S-25-POLJUN-B_paired_2.fastq.gz -s /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-25-POLJUN-B/S-25-POLJUN-B_unmatched_1.fastq.gz -s /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-25-POLJUN-B/S-25-POLJUN-B_unmatched_2.fastq.gz -n S-25-POLJUN-B -t 24 -u -c -p
#mOTU	consensus_taxonomy	NCBI_tax_id	S-25-POLJUN-B
ref_mOTU_v31_00781	Mesorhizobium loti	381	1
ref_mOTU_v31_00786	Mesorhizobium sp. [Mesorhizobium sp. SEMIA 3007/Mesorhizobium japonicum/Mesorhizobium huakuii/Mesorhizobium loti]	NA	1
ref_mOTU_v31_01131	Methylobacterium brachiatum [Methylobacterium sp. GXF4/Methylobacterium sp. ARG-1/Methylobacterium brachiatum]	269660	1
ref_mOTU_v31_01132	Methylobacterium pseudosasicola	582667	1
ref_mOTU_v31_01134	Methylobacterium oryzae/phyllosphaerae [Methylobacterium sp. UNCCL110/Methylobacterium sp. UNCCL125/Methylobacterium oryzae/Methylobacterium phyllosphaerae]	NA	1
ref_mOTU_v31_01141	Methylorubrum zatmanii/extorquens [Methylobacterium sp. Leaf90/Methylobacterium sp. Leaf92/Methylobacterium sp. Leaf119/Methylobacterium sp. Leaf121/Methylobacterium sp. Leaf122/Methylobacterium sp. Leaf123/Methylorubrum zatmanii/Methylorubrum extorquens/Methylobacterium sp. AMS5]	NA	1
ref_mOTU_v31_02102	Actinoplanes globisporus	113565	1
ref_mOTU_v31_03450	Caballeronia sordidicola [Burkholderia sp. PAMC 26561/Burkholderia sp. PAMC 28687/Caballeronia sordidicola]	196367	2
ref_mOTU_v31_04020	Kineosporia aurantiaca	49185	1
ref_mOTU_v31_04105	Actinoplanes sp. SE50/110	134676	1
ref_mOTU_v31_07816	Conexibacter woesei	191495	2
ref_mOTU_v31_10367	Pseudonocardia sp. 73-21	1895809	1
ref_mOTU_v31_11649	Nostoc punctiforme	272131	2
ext_mOTU_v31_24795	Solirubrobacterales species incertae sedis	NA	3
ext_mOTU_v31_32744	Thermoleophilia species incertae sedis	NA	3
unassigned	unassigned	NA	28
