run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	library_strategy	run_alias	fastq_ftp	submitted_ftp	sra_ftp	sample_alias	sample_title
SRR20002344	SAMN29453755	SRX16043321	PRJNA854811	539655	human skin metagenome	WGS	4000006216_CP04262_S22_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/044/SRR20002344/SRR20002344_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/044/SRR20002344/SRR20002344_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR200/044/SRR20002344/SRR20002344	Sample 5	Metagenome or environmental sample from human skin metagenome
SRR20002349	SAMN29453751	SRX16043316	PRJNA854811	539655	human skin metagenome	WGS	582178590_CP04262_S120_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/049/SRR20002349/SRR20002349_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/049/SRR20002349/SRR20002349_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR200/049/SRR20002349/SRR20002349	Sample 46	Metagenome or environmental sample from human skin metagenome
SRR20002352	SAMN29453748	SRX16043313	PRJNA854811	539655	human skin metagenome	WGS	582178558_CP04262_S141_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/052/SRR20002352/SRR20002352_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/052/SRR20002352/SRR20002352_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR200/052/SRR20002352/SRR20002352	Sample 43	Metagenome or environmental sample from human skin metagenome
SRR20002359	SAMN29453698	SRX16043306	PRJNA854811	539655	human skin metagenome	WGS	582372531_CP04262_S74_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/059/SRR20002359/SRR20002359_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/059/SRR20002359/SRR20002359_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR200/059/SRR20002359/SRR20002359	Sample 131	Metagenome or environmental sample from human skin metagenome
SRR20002361	SAMN29453696	SRX16043304	PRJNA854811	539655	human skin metagenome	WGS	4000027006_CP04262_S32_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/061/SRR20002361/SRR20002361_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/061/SRR20002361/SRR20002361_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR200/061/SRR20002361/SRR20002361	Sample 13	Metagenome or environmental sample from human skin metagenome
SRR20002362	SAMN29453695	SRX16043303	PRJNA854811	539655	human skin metagenome	WGS	582355698_CP04262_S39_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/062/SRR20002362/SRR20002362_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/062/SRR20002362/SRR20002362_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR200/062/SRR20002362/SRR20002362	Sample 129	Metagenome or environmental sample from human skin metagenome
SRR20002364	SAMN29453693	SRX16043301	PRJNA854811	539655	human skin metagenome	WGS	582355538_CP04262_S83_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/064/SRR20002364/SRR20002364_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/064/SRR20002364/SRR20002364_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR200/064/SRR20002364/SRR20002364	Sample 127	Metagenome or environmental sample from human skin metagenome
SRR20002365	SAMN29453692	SRX16043300	PRJNA854811	539655	human skin metagenome	WGS	582355476_CP04262_S79_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/065/SRR20002365/SRR20002365_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/065/SRR20002365/SRR20002365_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR200/065/SRR20002365/SRR20002365	Sample 126	Metagenome or environmental sample from human skin metagenome
SRR20002384	SAMN29453677	SRX16043281	PRJNA854811	539655	human skin metagenome	WGS	582343858_CP04262_S40_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/084/SRR20002384/SRR20002384_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/084/SRR20002384/SRR20002384_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR200/084/SRR20002384/SRR20002384	Sample 112	Metagenome or environmental sample from human skin metagenome
SRR20002385	SAMN29453809	SRX16043280	PRJNA854811	539655	human skin metagenome	WGS	582323292_CP04262_S53_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/085/SRR20002385/SRR20002385_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/085/SRR20002385/SRR20002385_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR200/085/SRR20002385/SRR20002385	Sample 99	Metagenome or environmental sample from human skin metagenome
SRR20002386	SAMN29453808	SRX16043279	PRJNA854811	539655	human skin metagenome	WGS	582323264_CP04262_S94_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/086/SRR20002386/SRR20002386_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/086/SRR20002386/SRR20002386_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR200/086/SRR20002386/SRR20002386	Sample 98	Metagenome or environmental sample from human skin metagenome
SRR20002388	SAMN29453806	SRX16043277	PRJNA854811	539655	human skin metagenome	WGS	582323227_CP04262_S6_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/088/SRR20002388/SRR20002388_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/088/SRR20002388/SRR20002388_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR200/088/SRR20002388/SRR20002388	Sample 96	Metagenome or environmental sample from human skin metagenome
SRR20002389	SAMN29453805	SRX16043276	PRJNA854811	539655	human skin metagenome	WGS	582323164_CP04262_S86_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/089/SRR20002389/SRR20002389_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/089/SRR20002389/SRR20002389_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR200/089/SRR20002389/SRR20002389	Sample 95	Metagenome or environmental sample from human skin metagenome
SRR20002396	SAMN29453799	SRX16043269	PRJNA854811	539655	human skin metagenome	WGS	4000018137_CP04262_S29_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/096/SRR20002396/SRR20002396_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/096/SRR20002396/SRR20002396_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR200/096/SRR20002396/SRR20002396	Sample 9	Metagenome or environmental sample from human skin metagenome
SRR20002397	SAMN29453798	SRX16043268	PRJNA854811	539655	human skin metagenome	WGS	582314994_CP04262_S104_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/097/SRR20002397/SRR20002397_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/097/SRR20002397/SRR20002397_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR200/097/SRR20002397/SRR20002397	Sample 89	Metagenome or environmental sample from human skin metagenome
SRR20002401	SAMN29453794	SRX16043264	PRJNA854811	539655	human skin metagenome	WGS	582312108_CP04262_S65_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/001/SRR20002401/SRR20002401_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/001/SRR20002401/SRR20002401_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR200/001/SRR20002401/SRR20002401	Sample 85	Metagenome or environmental sample from human skin metagenome
SRR20002405	SAMN29453791	SRX16043260	PRJNA854811	539655	human skin metagenome	WGS	582311438_CP04262_S69_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/005/SRR20002405/SRR20002405_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/005/SRR20002405/SRR20002405_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR200/005/SRR20002405/SRR20002405	Sample 82	Metagenome or environmental sample from human skin metagenome
SRR20002406	SAMN29453744	SRX16043259	PRJNA854811	539655	human skin metagenome	WGS	4000004774_CP04262_S9_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/006/SRR20002406/SRR20002406_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/006/SRR20002406/SRR20002406_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR200/006/SRR20002406/SRR20002406	Sample 4	Metagenome or environmental sample from human skin metagenome
