run_accession	sample_accession	library_name	library_strategy	run_alias	fastq_ftp	submitted_ftp	sra_ftp	sample_alias	sample_title
SRR13256642	SAMN17084059	march07	WGS	mehbel7_S8_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/042/SRR13256642/SRR13256642_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/042/SRR13256642/SRR13256642_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR132/042/SRR13256642	March07	Metagenome or environmental sample from metagenome
SRR13256647	SAMN17084057	march05	WGS	mehbel5_S6_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/047/SRR13256647/SRR13256647_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/047/SRR13256647/SRR13256647_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR132/047/SRR13256647	March05	Metagenome or environmental sample from metagenome
SRR13256637	SAMN17084065	march13	WGS	mehbel13_S14_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/037/SRR13256637/SRR13256637_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/037/SRR13256637/SRR13256637_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR132/037/SRR13256637	March13	Metagenome or environmental sample from metagenome
SRR13256648	SAMN17084092	may20	WGS	20_S20_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/048/SRR13256648/SRR13256648_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/048/SRR13256648/SRR13256648_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR132/048/SRR13256648	May20	Metagenome or environmental sample from metagenome
SRR13256641	SAMN17084053	march01	WGS	mehbel1_S2_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/041/SRR13256641/SRR13256641_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/041/SRR13256641/SRR13256641_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR132/041/SRR13256641	March01	Metagenome or environmental sample from metagenome
SRR13256649	SAMN17084091	may19	WGS	19_S17_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/049/SRR13256649/SRR13256649_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/049/SRR13256649/SRR13256649_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR132/049/SRR13256649	May19	Metagenome or environmental sample from metagenome
SRR13256645	SAMN17084062	march10	WGS	mehbel10_S11_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/045/SRR13256645/SRR13256645_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/045/SRR13256645/SRR13256645_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR132/045/SRR13256645	March10	Metagenome or environmental sample from metagenome
SRR13256654	SAMN17084086	may14	WGS	14_S13_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/054/SRR13256654/SRR13256654_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/054/SRR13256654/SRR13256654_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR132/054/SRR13256654	May14	Metagenome or environmental sample from metagenome
SRR13256646	SAMN17084058	march06	WGS	mehbel6_S7_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/046/SRR13256646/SRR13256646_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/046/SRR13256646/SRR13256646_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR132/046/SRR13256646	March06	Metagenome or environmental sample from metagenome
SRR13256655	SAMN17084085	may13	WGS	13_S8_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/055/SRR13256655/SRR13256655_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/055/SRR13256655/SRR13256655_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR132/055/SRR13256655	May13	Metagenome or environmental sample from metagenome
SRR13256650	SAMN17084090	may18	WGS	18_S19_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/050/SRR13256650/SRR13256650_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/050/SRR13256650/SRR13256650_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR132/050/SRR13256650	May18	Metagenome or environmental sample from metagenome
SRR13256656	SAMN17084084	may12	WGS	12_S12_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/056/SRR13256656/SRR13256656_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/056/SRR13256656/SRR13256656_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR132/056/SRR13256656	May12	Metagenome or environmental sample from metagenome
SRR13256657	SAMN17084083	may11	WGS	11_S11_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/057/SRR13256657/SRR13256657_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/057/SRR13256657/SRR13256657_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR132/057/SRR13256657	May11	Metagenome or environmental sample from metagenome
SRR13256659	SAMN17084082	may10	WGS	10_S10_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/059/SRR13256659/SRR13256659_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/059/SRR13256659/SRR13256659_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR132/059/SRR13256659	May10	Metagenome or environmental sample from metagenome
