#Classification	S-3-DICUND-B_bracken_O.kreport
k__Bacteria	15499
k__Bacteria|p__Proteobacteria	9474
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	5946
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	5794
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	152
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2635
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	1199
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	1423
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	2
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	7
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	892
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	779
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	111
k__Bacteria|p__Actinobacteria	5750
k__Bacteria|p__Actinobacteria|c__Actinomycetia	5683
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	5483
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	54
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales	74
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	6
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jatrophihabitantales	11
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Candidatus_Nanopelagicales	1
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	53
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	66
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales	66
k__Bacteria|p__Cyanobacteria	58
k__Bacteria|p__Cyanobacteria|o__Nostocales	58
k__Bacteria|p__Firmicutes	1
k__Bacteria|p__Firmicutes|c__Bacilli	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	1
k__Bacteria|p__Acidobacteria	187
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	187
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	186
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Bryobacterales	1
k__Bacteria|p__Planctomycetes	13
k__Bacteria|p__Planctomycetes|c__Planctomycetia	13
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Gemmatales	11
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Isosphaerales	2
k__Bacteria|p__Verrucomicrobia	1
k__Bacteria|p__Verrucomicrobia|c__Opitutae	1
k__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Opitutales	1
k__Bacteria|p__Chlamydiae	1
k__Bacteria|p__Chlamydiae|c__Chlamydiia	1
k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Parachlamydiales	1
k__Bacteria|p__Bacteroidetes	12
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	9
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	9
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	3
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales	3
k__Eukaryota	278
k__Eukaryota|k__Metazoa	135
k__Eukaryota|k__Metazoa|p__Chordata	135
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	135
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	135
k__Eukaryota|k__Fungi	7
k__Eukaryota|k__Fungi|p__Ascomycota	7
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	7
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales	4
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales	3
k__Eukaryota|k__Viridiplantae	134
k__Eukaryota|k__Viridiplantae|p__Streptophyta	134
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	131
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida|o__Funariales	131
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	3
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fagales	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Vitales	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales	1
