#Classification	S-24-POLJUN-B_bracken_F.kreport
k__Bacteria	49921
k__Bacteria|p__Proteobacteria	24639
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	17485
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	12375
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae	8573
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae	3261
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Bradyrhizobiaceae	263
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Lichenihabitantaceae	147
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Phyllobacteriaceae	38
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Beijerinckiaceae	66
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Aurantimonadaceae	24
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	4884
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae	4793
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingosinicellaceae	91
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	223
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae	223
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	3
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae	3
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	5331
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	5331
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	5326
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae	3
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae	2
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1822
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	1509
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	1509
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	312
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae	312
k__Bacteria|p__Cyanobacteria	18215
k__Bacteria|p__Cyanobacteria|o__Nostocales	17826
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Nostocaceae	16248
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Scytonemataceae	669
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Calotrichaceae	145
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Hapalosiphonaceae	17
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Rivulariaceae	589
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Aphanizomenonaceae	94
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Tolypothrichaceae	62
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales	368
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales|f__Coleofasciculaceae	368
k__Bacteria|p__Cyanobacteria|o__Pseudanabaenales	19
k__Bacteria|p__Cyanobacteria|o__Pseudanabaenales|f__Leptolyngbyaceae	19
k__Bacteria|p__Actinobacteria	1796
k__Bacteria|p__Actinobacteria|c__Actinomycetia	1796
