#Classification	S-25-POLPIL-B_bracken_O.kreport
k__Bacteria	37104
k__Bacteria|p__Proteobacteria	25716
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	16915
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	16915
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	7867
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	3213
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	1479
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	3169
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	4
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	1
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	934
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	933
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	1
k__Bacteria|p__Acidobacteria	8521
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	8521
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	8521
k__Bacteria|p__Actinobacteria	2240
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2240
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	1263
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	604
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	13
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	5
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	353
k__Bacteria|p__Cyanobacteria	418
k__Bacteria|p__Cyanobacteria|o__Nostocales	405
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales	13
k__Bacteria|p__Firmicutes	1
k__Bacteria|p__Firmicutes|c__Bacilli	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	1
k__Bacteria|p__Planctomycetes	119
k__Bacteria|p__Planctomycetes|c__Planctomycetia	119
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Gemmatales	113
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Isosphaerales	6
k__Bacteria|p__Bacteroidetes	86
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	84
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	84
k__Bacteria|p__Bacteroidetes|c__Cytophagia	2
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales	2
k__Eukaryota	300
k__Eukaryota|k__Viridiplantae	176
k__Eukaryota|k__Viridiplantae|p__Streptophyta	176
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	172
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida|o__Funariales	172
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	4
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Caryophyllales	3
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Proteales	1
k__Eukaryota|k__Metazoa	82
k__Eukaryota|k__Metazoa|p__Chordata	82
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	82
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	82
k__Eukaryota|k__Fungi	41
k__Eukaryota|k__Fungi|p__Ascomycota	41
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	25
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales	25
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	16
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales	16
