#Classification	S-24-POLJUN-B_bracken_P.kreport
k__Bacteria	706265
k__Bacteria|p__Cyanobacteria	171007
k__Bacteria|p__Actinobacteria	93295
k__Bacteria|p__Chloroflexi	267
k__Bacteria|p__Firmicutes	1411
k__Bacteria|p__Armatimonadetes	28
k__Bacteria|p__Deinococcus-Thermus	42
k__Bacteria|p__Proteobacteria	409150
k__Bacteria|p__Acidobacteria	21920
k__Bacteria|p__Planctomycetes	4255
k__Bacteria|p__Verrucomicrobia	432
k__Bacteria|p__Chlamydiae	9
k__Bacteria|p__Bacteroidetes	3545
k__Bacteria|p__Rhodothermaeota	16
k__Bacteria|p__Balneolaeota	2
k__Bacteria|p__Gemmatimonadetes	854
k__Bacteria|p__Candidatus_Saccharibacteria	8
k__Bacteria|p__Candidatus_Absconditabacteria	7
k__Bacteria|p__Spirochaetes	8
k__Bacteria|p__Synergistetes	1
k__Eukaryota	23604
k__Eukaryota|k__Viridiplantae	14575
k__Eukaryota|k__Viridiplantae|p__Streptophyta	14403
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	172
k__Eukaryota|k__Metazoa	5118
k__Eukaryota|k__Metazoa|p__Chordata	5118
k__Eukaryota|k__Fungi	3891
k__Eukaryota|k__Fungi|p__Ascomycota	3709
k__Eukaryota|k__Fungi|p__Basidiomycota	182
k__Eukaryota|p__Bacillariophyta	12
k__Eukaryota|p__Cercozoa	3
k__Eukaryota|p__Apicomplexa	2
k__Archaea	5
k__Archaea|p__Euryarchaeota	5
k__Viruses	3
k__Viruses|k__Heunggongvirae	3
k__Viruses|k__Heunggongvirae|p__Uroviricota	3
