GCA_000010505.1,431947,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas gingivalis
GCA_000010725.1,137722,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Azospirillum,Azospirillum sp. B510
GCA_000011745.1,291272,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Candidatus Blochmanniella,Candidatus Blochmanniella pennsylvanica
GCA_000021085.1,563178,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Buchnera,Buchnera aphidicola
GCA_000210815.2,932920,Bacteria,Bacillota,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria monocytogenes
GCA_000210855.2,216597,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
GCA_001010505.1,1113728,Bacteria,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,Alcanivorax sp. NBRC 101098
GCA_001019695.1,1314,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pyogenes
GCA_001021085.1,1277257,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Liberibacter,Candidatus Liberibacter africanus
GCA_001021915.1,129394,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Xanthomonas,Xanthomonas oryzae
GCA_001316945.3,72407,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae
GCA_001506165.1,470934,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,Pantoea vagans
GCA_001506185.1,197,Bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni
GCA_001651105.1,1435450,,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Umbravirus,Sclerotinia sclerotiorum umbra-like virus 1
GCA_001651125.1,1844928,,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Circovirus yaa
GCA_001651145.1,1848040,,Artverviricota,Revtraviricetes,Ortervirales,Caulimoviridae,Soymovirus,Water chestnut soymovirus 1
GCA_001651165.1,1844927,,Negarnaviricota,Monjiviricetes,Jingchuvirales,Chuviridae,Mivirus,Mivirus amblyommae
GCA_001651185.1,2560568,,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Roseolovirus,Roseolovirus macacinebeta9
GCA_001651205.1,1848169,,,,,,,Fusarium poae dsRNA virus 3
GCA_001745615.1,1887641,,Uroviricota,Caudoviricetes,,,Bantamvirus,Bantamvirus bantam
GCA_001745635.1,1883373,,Uroviricota,Caudoviricetes,,,Machinavirus,Machinavirus machina
GCA_001745655.1,1874002,,Uroviricota,Caudoviricetes,,Salasmaviridae,Claudivirus,Claudivirus stitch
GCA_001745675.1,1873998,,Uroviricota,Caudoviricetes,,Herelleviridae,Wphvirus,Bacillus phage Kida
GCA_001745695.1,160796,,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Orthopoxvirus,Skunkpox virus
GCA_001753205.1,298596,Bacteria,Bacillota,Bacilli,Bacillales,Caryophanaceae,Sporosarcina,Sporosarcina ureilytica
GCA_001753225.1,180282,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,Delftia tsuruhatensis
GCA_001753245.1,2819280,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Acidihalobacter,Acidihalobacter yilgarnensis
GCA_001753265.1,446,Bacteria,Pseudomonadota,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella pneumophila
GCA_001753285.1,446,Bacteria,Pseudomonadota,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella pneumophila
