feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Bacteroidaceae	Group	Negative	0.301198645595164	0.0580164487492481	35	35	1.04836649508404e-05	0.000702405551706306
Lachnospiraceae	Group	Negative	-0.214187028273725	0.0618932103845424	35	35	0.00150895709527065	0.0505500626915666
Marinifilaceae	Group	Negative	0.0328882277430659	0.010326732144254	35	23	0.00315735790815761	0.0596424186963001
Tannerellaceae	Group	Negative	0.0617593230695961	0.0196749025640343	35	35	0.00356074141470448	0.0596424186963001
Oscillospiraceae	Group	Negative	0.0788413606588087	0.0268174293019315	35	35	0.0059557955410829	0.0665063835420923
Streptococcaceae	Group	Negative	-0.0343603160608194	0.0116048177773438	35	34	0.00564593574022171	0.0665063835420923
Bifidobacteriaceae	Group	Negative	-0.0965029848703287	0.0344221204491656	35	34	0.00840107572358959	0.0804102962115004
Acidaminococcaceae	Group	Negative	0.0309890841069686	0.0128507119277551	35	20	0.0216139789466518	0.120678049118806
Coriobacteriaceae	Group	Negative	-0.0495076501287888	0.0196007093375014	35	29	0.0165249900240563	0.120678049118806
GCA.900066905	Group	Negative	0.00414138797921462	0.00170834244126746	35	6	0.020983180197867	0.120678049118806
Gemellaceae	Group	Negative	-0.00275316518478337	0.00108152426401525	35	5	0.0157636132776787	0.120678049118806
UBA1381	Group	Negative	-0.0221916460889593	0.00901240202891718	35	32	0.019194936058581	0.120678049118806
Nanosynbacteraceae	Group	Negative	-0.0025955093626833	0.0010940177782636	35	5	0.0236533961090571	0.121905964562064
Peptostreptococcaceae	Group	Negative	-0.0507985200245117	0.0220160458069734	35	35	0.0274490861714115	0.131363483820326
Campylobacteraceae	Group	Negative	0.00335866709057509	0.0014966156003545	35	5	0.0316475295274428	0.132524029896167
Rhizobiaceae	Group	Negative	-0.00826633725174848	0.00364302177411941	35	10	0.0299272198761456	0.132524029896167
Rikenellaceae	Group	Negative	0.055575137196861	0.0255468053828977	35	34	0.0368636559576205	0.145286173480034
Barnesiellaceae	Group	Negative	0.0231103389464846	0.0109978178587532	35	14	0.0433274045800935	0.161274228159237
Monoglobaceae	Group	Negative	0.0262662612067218	0.0126842881374712	35	19	0.046276447474105	0.163185367408686
Desulfovibrionaceae	Group	Negative	0.0139147109181227	0.00704754292757221	35	23	0.056753221936171	0.190123293486173
