#Classification	S-4-DICUND-B_bracken_O.kreport
k__Bacteria	165
k__Bacteria|p__Actinobacteria	86
k__Bacteria|p__Actinobacteria|c__Actinomycetia	86
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	86
k__Bacteria|p__Cyanobacteria	2
k__Bacteria|p__Cyanobacteria|o__Nostocales	2
k__Bacteria|p__Proteobacteria	56
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	53
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	53
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	2
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	1
k__Bacteria|p__Acidobacteria	20
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	20
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	20
