# git tag version 3.1.0 |  motus version 3.1.0 | map_tax 3.1.0 | gene database: nr3.1.0 | calc_mgc 3.1.0 -y insert.scaled_counts -l 75 | calc_motu 3.1.0 -k mOTU -C no_CAMI -g 3 -c -p | taxonomy: ref_mOTU_3.1.0 meta_mOTU_3.1.0
# call: python /nfs3_ib/nfs-ip34/home/def-ilafores/programs/motu-profiler_env/bin/motus profile -f /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002373/SRR20002373_paired_1.fastq -r /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002373/SRR20002373_paired_2.fastq -s /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002373/SRR20002373_unmatched_1.fastq -s /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002373/SRR20002373_unmatched_2.fastq -n SRR20002373 -t 24 -c -p -k mOTU -q
#mOTU	consensus_taxonomy	NCBI_tax_id	SRR20002373
ref_mOTU_v31_00201	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas aeruginosa	2|1224|1236|72274|135621|286|287	179
ref_mOTU_v31_00214	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas stutzeri [Pseudomonadales bacterium RIFCSPHIGHO2_01_FULL_64_12/Pseudomonas stutzeri]	2|1224|1236|72274|135621|286|316	82
ref_mOTU_v31_00233	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas oleovorans/pseudoalcaligenes [Pseudomonas oleovorans/Pseudomonas pseudoalcaligenes/Pseudomonas sp. 1-7]	2|1224|1236|72274|135621|286|NA	2
ref_mOTU_v31_00516	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales fam. incertae sedis|g__Burkholderiales gen. incertae sedis|s__Burkholderiales bacterium RIFCSPHIGHO2_01_FULL_63_240	2|1224|28216|80840|NA|NA|1797552	8
ref_mOTU_v31_00800	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium acnes [Propionibacterium sp. CC003-HC2/Propionibacterium sp. KPL1847/Propionibacterium sp. KPL1849/Propionibacterium sp. KPL1854/Propionibacterium sp. KPL2003/Propionibacterium sp. KPL2008/Propionibacterium sp. KPL2009/Propionibacterium sp. MB3007/Propionibacterium sp. HMSC068C01/Propionibacterium sp. HMSC078F01/Propionibacterium sp. HMSC069G10/Propionibacterium sp. HMSC065F07/Propionibacterium sp. HMSC078F10/Propionibacterium sp. HMSC067A02/Propionibacterium sp. HMSC075A12/Propionibacterium sp. HMSC067A01/Propionibacterium sp. HMSC062D02/Propionibacterium sp. HMSC062D05/Cutibacterium acnes/Propionibacterium sp. CG1_02_60_36/Propionibacterium sp. 5_U_42AFAA/Propionibacterium sp. 409-HC1/Propionibacterium sp. 434-HC2]	2|201174|1760|85009|31957|1912216|1747	15
ref_mOTU_v31_00946	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter bereziniae [Acinetobacter bereziniae/Acinetobacter sp. Ag2/Acinetobacter sp. WC-743]	2|1224|1236|72274|468|469|106648	9
ref_mOTU_v31_01346	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter johnsonii	2|1224|1236|72274|468|469|40214	22
ref_mOTU_v31_01401	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__[Propionibacterium] namnetense	2|201174|1760|85009|31957|1912216|1574624	13
ref_mOTU_v31_01541	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Alcaligenes|s__Alcaligenes faecalis	2|1224|28216|80840|506|507|511	9
ref_mOTU_v31_02645	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas|s__Halomonas hydrothermalis/stevensii [Halomonas hydrothermalis/Halomonas sp. BC1/Halomonas sp. BC2/Halomonas stevensii]	2|1224|1236|135619|28256|2745|NA	8
