# git tag version 3.1.0 |  motus version 3.1.0 | map_tax 3.1.0 | gene database: nr3.1.0 | calc_mgc 3.1.0 -y insert.scaled_counts -l 75 | calc_motu 3.1.0 -k mOTU -C no_CAMI -g 3 -c -p | taxonomy: ref_mOTU_3.1.0 meta_mOTU_3.1.0
# call: python /nfs3_ib/nfs-ip34/home/def-ilafores/programs/motu-profiler_env/bin/motus profile -f /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-3-DICUND-B/S-3-DICUND-B_paired_1.fastq.gz -r /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-3-DICUND-B/S-3-DICUND-B_paired_2.fastq.gz -s /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-3-DICUND-B/S-3-DICUND-B_unmatched_1.fastq.gz -s /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-3-DICUND-B/S-3-DICUND-B_unmatched_2.fastq.gz -n S-3-DICUND-B -t 24 -c -p -k mOTU -q
#mOTU	consensus_taxonomy	NCBI_tax_id	S-3-DICUND-B
ref_mOTU_v31_02853	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Paraburkholderia|s__Paraburkholderia aspalathi [Paraburkholderia aspalathi/Burkholderia sp. ST111/Burkholderia sp. OLGA172/Burkholderia sp. GAS332]	2|1224|28216|80840|119060|1822464|1324617	2
ref_mOTU_v31_02856	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia sp. 9120	2|1224|28216|80840|119060|32008|1500897	1
ref_mOTU_v31_03449	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Caballeronia|s__Caballeronia sordidicola	2|1224|28216|80840|119060|1827195|196367	1
ref_mOTU_v31_03450	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Caballeronia|s__Caballeronia sordidicola [Burkholderia sp. PAMC 26561/Burkholderia sp. PAMC 28687/Caballeronia sordidicola]	2|1224|28216|80840|119060|1827195|196367	1
ref_mOTU_v31_11294	k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella|s__Granulicella pectinivorans	2|57723|204432|204433|204434|940557|474950	1
ref_mOTU_v31_11307	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Catenulisporales|f__Catenulisporaceae|g__Catenulispora|s__Catenulispora acidiphila	2|201174|1760|414714|414877|414878|304895	1
ext_mOTU_v31_22747	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Gammaproteobacteria order incertae sedis|f__Gammaproteobacteria fam. incertae sedis|g__Gammaproteobacteria gen. incertae sedis|s__Gammaproteobacteria species incertae sedis	2|1224|1236|NA|NA|NA|NA	1
ext_mOTU_v31_22760	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptosporangiales|f__Streptosporangiales fam. incertae sedis|g__Streptosporangiales gen. incertae sedis|s__Streptosporangiales species incertae sedis	2|201174|1760|85012|NA|NA|NA	1
ext_mOTU_v31_32567	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiales fam. incertae sedis|g__Rhizobiales gen. incertae sedis|s__Rhizobiales species incertae sedis	2|1224|28211|356|NA|NA|NA	1
ext_mOTU_v31_32570	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Alphaproteobacteria order incertae sedis|f__Alphaproteobacteria fam. incertae sedis|g__Alphaproteobacteria gen. incertae sedis|s__Alphaproteobacteria species incertae sedis	2|1224|28211|NA|NA|NA|NA	1
ext_mOTU_v31_32596	k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidobacteriaceae gen. incertae sedis|s__Acidobacteriaceae species incertae sedis	2|57723|204432|204433|204434|NA|NA	1
ext_mOTU_v31_32666	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiales fam. incertae sedis|g__Rhizobiales gen. incertae sedis|s__Rhizobiales species incertae sedis	2|1224|28211|356|NA|NA|NA	2
ext_mOTU_v31_32711	k__Bacteria|p__Acidobacteria|c__Acidobacteria class incertae sedis|o__Acidobacteria order incertae sedis|f__Acidobacteria fam. incertae sedis|g__Acidobacteria gen. incertae sedis|s__Acidobacteria species incertae sedis	2|57723|NA|NA|NA|NA|NA	1
unassigned	unassigned	NA	60
