#Classification	GQ45_bracken_P.kreport
k__Bacteria	30335090
k__Bacteria|p__Bacteroidetes	16968346
k__Bacteria|p__Ignavibacteriae	1
k__Bacteria|p__Chlorobi	1
k__Bacteria|p__Gemmatimonadetes	1
k__Bacteria|p__Firmicutes	12156118
k__Bacteria|p__Actinobacteria	1095797
k__Bacteria|p__Tenericutes	23
k__Bacteria|p__Deinococcus-Thermus	12
k__Bacteria|p__Cyanobacteria	11
k__Bacteria|p__Chloroflexi	6
k__Bacteria|p__Proteobacteria	84653
k__Bacteria|p__Verrucomicrobia	28994
k__Bacteria|p__Planctomycetes	18
k__Bacteria|p__Chlamydiae	1
k__Bacteria|p__Kiritimatiellaeota	1
k__Bacteria|p__Spirochaetes	866
k__Bacteria|p__Candidatus_Saccharibacteria	124
k__Bacteria|p__Synergistetes	74
k__Bacteria|p__Fusobacteria	34
k__Bacteria|p__Acidobacteria	3
k__Bacteria|p__Thermotogae	2
k__Archaea	205071
k__Archaea|p__Euryarchaeota	205071
k__Eukaryota	746
k__Eukaryota|k__Viridiplantae	501
k__Eukaryota|k__Viridiplantae|p__Streptophyta	486
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	15
k__Eukaryota|k__Metazoa	212
k__Eukaryota|k__Metazoa|p__Chordata	212
k__Eukaryota|k__Fungi	27
k__Eukaryota|k__Fungi|p__Basidiomycota	11
k__Eukaryota|k__Fungi|p__Ascomycota	16
k__Eukaryota|p__Apicomplexa	3
k__Eukaryota|p__Euglenozoa	1
k__Viruses	5066
k__Viruses|k__Heunggongvirae	5050
k__Viruses|k__Heunggongvirae|p__Uroviricota	5050
k__Viruses|k__Shotokuvirae	16
k__Viruses|k__Shotokuvirae|p__Cressdnaviricota	13
k__Viruses|k__Shotokuvirae|p__Cossaviricota	3
