name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptococcus salivarius_D	56177	S	41514	1123000	1164514	0.07923
Streptococcus parasanguinis	56118	S	8790	431240	440030	0.02994
Streptococcus salivarius	56176	S	5263	150796	156059	0.01062
Streptococcus oralis_BL	56056	S	2374	158433	160807	0.01094
Streptococcus parasanguinis_C	56121	S	1818	112440	114258	0.00777
Streptococcus pseudopneumoniae_M	56164	S	1509	66736	68245	0.00464
Streptococcus sp001556435	56219	S	1509	42685	44194	0.00301
Streptococcus mitis_P	56034	S	1393	76688	78081	0.00531
Streptococcus infantis_B	55923	S	1333	38474	39807	0.00271
Streptococcus mitis_DG	56023	S	1279	135911	137190	0.00933
Streptococcus mitis_BX	55986	S	1214	259934	261148	0.01777
Streptococcus sp001813295	56230	S	1057	94318	95375	0.00649
Streptococcus sp001813675	56231	S	1054	130472	131526	0.00895
Streptococcus sp000187445	56205	S	818	12966	13784	0.00094
Streptococcus sp001808665	56224	S	755	119807	120562	0.00820
Streptococcus mitis_Y	56037	S	619	80433	81052	0.00551
Streptococcus parasanguinis_D	56122	S	618	73123	73741	0.00502
Streptococcus sp934201655	56356	S	551	25060	25611	0.00174
Streptococcus viridans_A	56409	S	540	24395	24935	0.00170
Streptococcus sp000314795	56211	S	378	12629	13007	0.00088
Streptococcus sp000220065	56207	S	353	1331	1684	0.00011
Streptococcus parasanguinis_F	56123	S	350	56544	56894	0.00387
Streptococcus parasanguinis_U	56138	S	336	30496	30832	0.00210
Streptococcus sp013394695	56259	S	308	17883	18191	0.00124
Streptococcus pseudopneumoniae_D	56158	S	301	18907	19208	0.00131
Streptococcus australis_D	55853	S	292	16461	16753	0.00114
Streptococcus gordonii	55902	S	288	2812	3100	0.00021
Streptococcus infantis_F	55926	S	280	15983	16263	0.00111
Streptococcus mitis_BS	55981	S	271	42784	43055	0.00293
Streptococcus parasanguinis_K	56128	S	268	18001	18269	0.00124
Streptococcus sp905221305	56329	S	246	22539	22785	0.00155
Streptococcus mitis_CI	55998	S	240	58302	58542	0.00398
Streptococcus parasanguinis_Q	56134	S	237	43852	44089	0.00300
Streptococcus mitis_CT	56009	S	202	22516	22718	0.00155
Streptococcus australis_B	55851	S	199	19053	19252	0.00131
Streptococcus mitis_BT	55982	S	197	25952	26149	0.00178
Streptococcus sp024295625	56270	S	190	29005	29195	0.00199
Streptococcus sp001811505	56228	S	188	14116	14304	0.00097
Streptococcus sp023115445	56269	S	182	13142	13324	0.00091
Streptococcus parasanguinis_P	56133	S	181	19888	20069	0.00137
Streptococcus mitis_BB	55964	S	180	23675	23855	0.00162
Streptococcus gordonii_A	55903	S	178	1219	1397	0.00010
Streptococcus sp003521145	56239	S	178	1445	1623	0.00011
Streptococcus parasanguinis_J	56127	S	166	29418	29584	0.00201
Streptococcus sp019414905	56264	S	165	31222	31387	0.00214
Streptococcus sp000187745	56206	S	164	12619	12783	0.00087
Streptococcus humanilactis	55915	S	144	26659	26803	0.00182
Streptococcus timonensis	56399	S	140	4564	4704	0.00032
Streptococcus sp905221205	56320	S	138	8492	8630	0.00059
Streptococcus mitis_Q	56035	S	136	17890	18026	0.00123
Streptococcus parasanguinis_T	56137	S	135	21873	22008	0.00150
Streptococcus sp001553685	56218	S	129	8428	8557	0.00058
Streptococcus sp934216185	56358	S	118	4682	4800	0.00033
Streptococcus sp004166885	56240	S	116	10703	10819	0.00074
Streptococcus parasanguinis_B	56120	S	111	14184	14295	0.00097
Streptococcus oralis_CE	56076	S	107	12984	13091	0.00089
Streptococcus sp943912555	56364	S	106	7877	7983	0.00054
Streptococcus parasanguinis_N	56131	S	106	12704	12810	0.00087
Streptococcus intermedius	55935	S	105	710	815	0.00006
Streptococcus mitis_BH	55970	S	97	9648	9745	0.00066
Streptococcus thermophilus	56397	S	95	2105	2200	0.00015
Streptococcus pneumoniae_C	56150	S	93	9849	9942	0.00068
Streptococcus sp905221435	56338	S	91	5645	5736	0.00039
Streptococcus sp000448565	56213	S	88	10541	10629	0.00072
Streptococcus sp000411475	56212	S	88	2917	3005	0.00020
Streptococcus equinus	55893	S	86	699	785	0.00005
Streptococcus sp001578885	56222	S	85	49	134	0.00001
Streptococcus vestibularis	56407	S	84	1211	1295	0.00009
Streptococcus infantis	55922	S	81	5331	5412	0.00037
Streptococcus mitis_BP	55978	S	79	5578	5657	0.00038
Streptococcus sp905221385	56336	S	79	4668	4747	0.00032
Streptococcus oralis_C	56071	S	78	8994	9072	0.00062
Streptococcus sp001072385	56216	S	77	5949	6026	0.00041
Streptococcus mitis_AZ	55962	S	77	5453	5530	0.00038
Streptococcus xiaochunlingii	56411	S	76	4179	4255	0.00029
Streptococcus sp012843315	56247	S	75	7239	7314	0.00050
Streptococcus parasanguinis_H	56125	S	74	1889	1963	0.00013
Streptococcus sp021341835	56267	S	73	5983	6056	0.00041
Streptococcus parasanguinis_O	56132	S	72	10178	10250	0.00070
Streptococcus mitis_BL	55974	S	72	10943	11015	0.00075
Streptococcus sp001811305	56227	S	71	5610	5681	0.00039
Streptococcus ruminantium	56174	S	70	160	230	0.00002
Streptococcus sp027659245	56273	S	70	1850	1920	0.00013
Streptococcus pseudopneumoniae_L	56163	S	69	4945	5014	0.00034
Streptococcus infantis_G	55927	S	66	1583	1649	0.00011
Streptococcus sp001808705	56225	S	66	4839	4905	0.00033
Streptococcus sp020089495	56266	S	64	9119	9183	0.00062
Streptococcus sp905372925	56346	S	63	5573	5636	0.00038
Streptococcus cristatus_C	55869	S	61	3272	3333	0.00023
Streptococcus sp934229725	56360	S	58	423	481	0.00003
Streptococcus panodentis	56116	S	58	100	158	0.00001
Streptococcus sp905221125	56314	S	57	3916	3973	0.00027
Streptococcus infantis_E	55925	S	55	3214	3269	0.00022
Streptococcus sp029948085	56277	S	55	4036	4091	0.00028
Streptococcus cristatus_H	55874	S	54	2842	2896	0.00020
Streptococcus sp902463925	56297	S	54	884	938	0.00006
Streptococcus chosunense	55862	S	53	9218	9271	0.00063
Streptococcus parasanguinis_S	56136	S	52	6827	6879	0.00047
Streptococcus sp001650315	56223	S	52	10109	10161	0.00069
Streptococcus rubneri	56173	S	51	1235	1286	0.00009
Streptococcus mitis_BF	55968	S	50	2358	2408	0.00016
Streptococcus oralis_T	56102	S	49	6111	6160	0.00042
Streptococcus sp946902905	56369	S	49	3094	3143	0.00021
Streptococcus infantis_C	55924	S	49	1741	1790	0.00012
Streptococcus mitis_BM	55975	S	48	10298	10346	0.00070
Streptococcus sp030825805	56285	S	47	4314	4361	0.00030
Streptococcus infantis_J	55930	S	46	2989	3035	0.00021
Streptococcus mitis_BY	55987	S	46	5391	5437	0.00037
Streptococcus sp905221245	56324	S	46	7055	7101	0.00048
Streptococcus pseudopneumoniae_Q	56167	S	46	3338	3384	0.00023
Streptococcus pseudopneumoniae_N	56165	S	46	2381	2427	0.00017
Streptococcus mitis_BA	55963	S	46	7572	7618	0.00052
Streptococcus mitis_O	56033	S	45	3743	3788	0.00026
Streptococcus sp901875575	56292	S	45	1147	1192	0.00008
Streptococcus infantis_M	55933	S	45	2911	2956	0.00020
Streptococcus parasanguinis_G	56124	S	44	5500	5544	0.00038
Streptococcus dentisani	55885	S	44	6822	6866	0.00047
Streptococcus mitis_BG	55969	S	43	947	990	0.00007
Streptococcus mitis_BQ	55979	S	43	2786	2829	0.00019
Streptococcus sp001814775	56232	S	43	1231	1274	0.00009
Streptococcus sp900766505	56291	S	43	8122	8165	0.00056
Streptococcus sp003428885	56238	S	42	1200	1242	0.00008
Streptococcus sp013277115	56252	S	42	5142	5184	0.00035
Streptococcus mitis_CB	55991	S	41	12550	12591	0.00086
Streptococcus sp013277555	56258	S	41	6668	6709	0.00046
Streptococcus pseudopneumoniae_C	56157	S	41	5646	5687	0.00039
Streptococcus mitis_CJ	55999	S	40	3846	3886	0.00026
Streptococcus sp006228325	56243	S	40	7257	7297	0.00050
Streptococcus pseudopneumoniae_A	56156	S	39	2571	2610	0.00018
Streptococcus australis	55849	S	38	1858	1896	0.00013
